Time LX LY LZ
8.30884 1.4462e+07 1.4462e+07 1.4462e+07
8.35865 366.302 506.191 1075.49
8.50737 5989.88 1788.37 16940.5
8.65587 6028.83 1796.46 17124.6
8.91363 6051 1808.99 17313.6
8.9179 6060.26 1824.26 17545.2
8.9231 6057.58 1839.88 17881.4
8.96088 6051.89 1856.1 15864.6
9.10977 6042.06 1872.16 16370.8
9.15913 6030.42 1887.82 16705.3
9.26015 6023.27 1903.71 16987.1
9.3685 4797.37 1681.25 13004.4
9.46714 368.878 395.924 372.113
9.56289 6558.71 2386.94 15459.2
9.66567 6540.73 2399.7 15845.8
9.7672 371.183 400.602 383.432
9.86588 377.616 524.636 1121.69
10.0229 376.779 495.294 903.036
10.1237 380.526 488.773 928.651
10.227 384.349 621.596 2009.4
10.3209 13483.8 4695.65 21134.6
10.6306 384.245 618.975 2014.28
10.6388 384.782 542.022 1381.8
10.6448 13023.1 4469.22 20282
10.7749 13012.2 4474.21 20318.7
10.7826 13003.6 4479.92 20352.8
10.8785 388.154 693.899 2927.63
10.9766 387.02 594.15 1874.17
11.2759 15262.4 4746.09 21093.7
11.3795 15270.6 4754 21134.1
11.3883 387.479 536.691 1219.11
11.3953 15477.2 4911.36 21273.7
11.4833 389.887 574.888 1574.62
11.583 14013.2 4422.99 20054.3
11.7861 388.554 704.224 2693.73
11.9889 390.481 525.15 1129.53
11.9994 390.586 604.465 1935.54
12.0083 17084.9 4866.16 21301.7
12.1415 17128.5 4876.76 21360.3
12.189 17187.9 4886.02 21400.2
12.2877 392.3 636.479 2167.52
12.4908 18626.4 4973.29 21696
12.5378 18708.7 4981.7 21722.2
12.5919 18791.7 4990.8 21751.2
12.69 18872 5000.18 21781
12.7933 18951.4 5010.25 21813.7
12.8907 19027.8 5020.57 21847.8
12.9915 19100.6 5030.69 21881.8
13.0923 19170.5 5040.5 21914.8
13.1938 19236.5 5049.85 21945.7
13.298 394.272 725.346 3804.67
13.4448 21437.9 5263.62 22778.7
13.4998 394.17 754.601 3599.46
13.6001 22951.1 5571.5 23983.1
13.8988 23000.5 5580.67 24018.3
13.9084 23048.1 5589.92 24052.3
13.9195 23098.3 5599.65 24087.8
14.0011 23155.2 5610.2 24124.1
14.1049 23215.9 5621.05 24160.7
14.2029 23280.6 5632.35 24198.7
14.4063 23347.9 5643.97 24238.4
14.4558 23420 5656.27 24280.4
14.5077 23495.9 5668.94 24324
14.6082 23574.1 5681.76 24369.8
14.7574 23656.7 5695.05 24417.1
14.8096 23749.1 5709.83 24471.3
14.9069 23850.3 5726.34 24531.7
15.0085 23963.3 5744.98 24599.4
15.1134 24092.5 5766.36 24679.6
15.32 24233.2 5788.56 24767
15.5572 24382.1 5812.23 24864.7
15.5857 24533.5 5837.44 24977.5
15.6467 24686.6 5863.32 25100.3
15.9415 25241.7 5890.54 24838.7
16.4957 25487.4 5932.28 25045.5
16.5291 25584.5 5947.8 25119.9
16.5499 25784.8 5978.42 25252.2
16.7305 26008.8 6011.72 25384.7
16.742 26257.5 6047.26 25520.4
16.7561 26524.8 6084.78 25659.1
16.7699 26813.2 6123.93 25801.8
16.7817 27121.8 6165.69 25950.8
16.7931 27453 6209.85 26107.1
16.8617 27804.6 6255.17 26268.3
16.961 28169.1 6301.62 26433
17.06 28558.5 6351.03 26606.3
17.2935 28961.5 6401.73 26785.4
17.3446 29398.9 6458.28 26979.2
17.3911 29860.1 6515.64 27178.6
17.49 30352.3 6575.38 27387.9
17.591 30865.8 6637.02 27604.1
17.6909 28477.3 6453.57 26672.9
17.791 28527.5 6463.38 26842.3
17.895 29014.1 6524.73 27066.1
17.9937 29513.9 6587.44 27291.8
18.0955 30028.8 6651.65 27521.8
18.2004 30568 6719.82 27760.1
18.2972 31146.7 6792.92 28013.1
18.4496 31224.4 6841.41 28221.6
18.4963 31854.3 6917.52 28493.2
18.697 32507.2 6993.98 28769
18.7083 33171.8 7069.87 29044.3
18.7989 33841.2 7145.69 29318
18.9012 34527.5 7223 29596.1
19.0034 35224.2 7299.85 29873.9
19.1033 35935.4 7378.64 30156.2
19.3047 36668.5 7458.66 30443.8
19.3152 37435.4 7543.19 30745.1
19.4043 38232.8 7629.11 31053.4
19.5061 39060.2 7718.31 31371.3
19.6048 38614.2 7725.07 31588
19.7083 39509.2 7817.99 31928.3
19.8085 40430.3 7911.36 32272.3
19.9066 41361 8003.68 32614.5
20.0078 42313.9 8097.24 32961
20.1113 43307.3 8194.02 33319.2
20.2253 44305.1 8288.22 33671.4
20.5674 45373.9 8393.26 34053.2
20.5797 46526.1 8504.94 34457.5
20.5909 44504.4 8484.2 34377.9
20.8653 45707.4 8600.46 34812.1
20.8796 47026.6 8728.2 35282.9
20.8937 43673.1 8472.63 34068.2
20.9203 44950.5 8599.68 34545.2
21.1215 391.628 875.083 3289.37
21.1296 52201.2 8929.9 36432.5
21.2224 49174.9 8791.76 36473.6
21.3726 50794.8 8931.87 37035.6
21.4736 49212.7 8549.6 36597.7
