Time X Y Z Roll Pitch Yaw
0.068579 1.31452e-05 -3.60944e-06 -0.00799188 -2.4145e-05 -5.09936e-05 1.57078
0.0804442 1.46451e-05 -2.90711e-06 -0.00800925 -2.31691e-05 -5.20429e-05 1.57078
0.0984249 1.53856e-05 -2.35565e-06 -0.0080182 -2.22958e-05 -5.1483e-05 1.57078
0.107965 1.6102e-05 -1.68285e-06 -0.00802712 -2.27276e-05 -5.10513e-05 1.57078
0.114803 1.66932e-05 -9.95958e-07 -0.00803609 -2.35623e-05 -4.99845e-05 1.57078
0.126824 1.72142e-05 -3.49195e-07 -0.00804492 -2.40897e-05 -5.12695e-05 1.57078
0.13719 1.76666e-05 3.44305e-07 -0.00805363 -2.51162e-05 -5.08202e-05 1.57078
0.146803 1.85425e-05 1.87808e-06 -0.00807134 -2.51471e-05 -5.00426e-05 1.57078
0.155032 1.89627e-05 2.61492e-06 -0.00808043 -2.55907e-05 -5.13087e-05 1.57078
0.167322 1.93606e-05 3.28186e-06 -0.00808955 -2.66872e-05 -5.02154e-05 1.57078
0.174827 1.96747e-05 3.8284e-06 -0.00809872 -2.66742e-05 -4.90027e-05 1.57078
0.188109 2.00417e-05 4.80416e-06 -0.00811702 -2.59465e-05 -4.85739e-05 1.57078
0.195082 2.00908e-05 5.47845e-06 -0.00812635 -2.66274e-05 -4.93058e-05 1.57078
0.207398 1.99103e-05 6.76413e-06 -0.00814501 -2.77075e-05 -4.84335e-05 1.57078
0.21662 1.97509e-05 7.35323e-06 -0.00815436 -2.69982e-05 -4.77949e-05 1.57078
0.22734 1.9507e-05 7.98504e-06 -0.00816374 -2.42263e-05 -4.97429e-05 1.57077
0.236844 1.92371e-05 8.65514e-06 -0.00817315 -2.49175e-05 -5.08005e-05 1.57077
0.249647 1.90646e-05 9.89682e-06 -0.00819202 -2.62512e-05 -5.35384e-05 1.57077
0.255712 1.89571e-05 1.05028e-05 -0.00820144 -2.69412e-05 -5.33392e-05 1.57077
0.267785 1.88265e-05 1.11785e-05 -0.00821071 -2.74533e-05 -5.32906e-05 1.57077
0.274907 1.86618e-05 1.19101e-05 -0.00821989 -2.68818e-05 -5.35024e-05 1.57077
0.28923 1.8505e-05 1.26833e-05 -0.00822896 -2.7244e-05 -5.3436e-05 1.57077
0.296198 1.8299e-05 1.33945e-05 -0.00823785 -2.76545e-05 -5.41539e-05 1.57077
0.307641 1.80433e-05 1.48851e-05 -0.00825603 -2.8627e-05 -5.28032e-05 1.57077
0.3159 1.79124e-05 1.56002e-05 -0.00826499 -2.8462e-05 -5.19778e-05 1.57077
0.327969 1.77412e-05 1.63455e-05 -0.00827369 -2.70973e-05 -5.14327e-05 1.57077
0.337383 1.75194e-05 1.70446e-05 -0.00828222 -2.76846e-05 -5.05351e-05 1.57077
0.348846 1.69452e-05 1.86377e-05 -0.0082992 -2.63349e-05 -5.09242e-05 1.57077
0.355997 1.67041e-05 1.94684e-05 -0.00830755 -2.70001e-05 -5.07207e-05 1.57077
0.3682 1.62207e-05 2.13611e-05 -0.00832395 -2.92196e-05 -5.01963e-05 1.57077
0.376856 1.60451e-05 2.22564e-05 -0.00833188 -3.00527e-05 -5.15728e-05 1.57077
0.389404 1.58906e-05 2.32773e-05 -0.00833966 -3.03256e-05 -5.02552e-05 1.57077
0.396268 1.56978e-05 2.43679e-05 -0.00834749 -3.01455e-05 -4.91927e-05 1.57077
0.40857 1.55184e-05 2.55881e-05 -0.00835514 -2.88347e-05 -4.85422e-05 1.57077
0.416325 1.53426e-05 2.68037e-05 -0.00836262 -2.75561e-05 -4.90146e-05 1.57077
0.428891 1.49224e-05 2.90892e-05 -0.00837741 -2.66405e-05 -4.89982e-05 1.57077
0.437645 1.47491e-05 3.02226e-05 -0.00838466 -2.65769e-05 -4.89886e-05 1.57077
0.449428 1.45304e-05 3.23624e-05 -0.00839897 -2.51778e-05 -4.69037e-05 1.57077
0.456952 1.45474e-05 3.33855e-05 -0.00840603 -2.51593e-05 -4.6943e-05 1.57077
0.468609 1.4544e-05 3.43935e-05 -0.00841293 -2.40028e-05 -4.68784e-05 1.57077
0.476801 1.45149e-05 3.54147e-05 -0.00841961 -2.40532e-05 -4.62594e-05 1.57077
0.489917 1.45811e-05 3.77184e-05 -0.00843268 -2.5013e-05 -4.41191e-05 1.57077
0.496833 1.46332e-05 3.88419e-05 -0.00843925 -2.4255e-05 -4.39415e-05 1.57077
0.508835 1.45926e-05 4.00387e-05 -0.00844582 -2.33855e-05 -4.22749e-05 1.57077
0.516944 1.45422e-05 4.12011e-05 -0.0084523 -2.30803e-05 -4.27037e-05 1.57077
0.528969 1.46546e-05 4.34436e-05 -0.00846487 -2.25559e-05 -4.25287e-05 1.57077
0.538619 1.46129e-05 4.45195e-05 -0.00847097 -2.27554e-05 -4.32864e-05 1.57078
0.549724 1.45314e-05 4.55773e-05 -0.00847702 -2.23023e-05 -4.4748e-05 1.57078
0.55711 1.44549e-05 4.64507e-05 -0.00848285 -2.20316e-05 -4.39854e-05 1.57078
0.569805 1.44167e-05 4.72964e-05 -0.00848858 -2.34133e-05 -4.19267e-05 1.57078
0.579045 1.43428e-05 4.81907e-05 -0.00849414 -2.31852e-05 -4.25379e-05 1.57078
0.592223 1.40081e-05 4.99393e-05 -0.00850493 -2.5925e-05 -4.37791e-05 1.57078
0.601569 1.37486e-05 5.07365e-05 -0.00851036 -2.51852e-05 -4.42387e-05 1.57077
0.611953 1.31222e-05 5.21436e-05 -0.00852084 -2.41341e-05 -4.23703e-05 1.57077
0.620081 1.2699e-05 5.26879e-05 -0.00852586 -2.48321e-05 -4.19651e-05 1.57077
0.632233 1.22765e-05 5.31745e-05 -0.00853074 -2.4786e-05 -4.07909e-05 1.57077
0.641562 1.18297e-05 5.37005e-05 -0.00853547 -2.3593e-05 -4.12041e-05 1.57077
0.653186 1.09849e-05 5.50267e-05 -0.00854465 -2.41275e-05 -4.00829e-05 1.57077
0.660297 1.06251e-05 5.56133e-05 -0.0085492 -2.32371e-05 -3.86501e-05 1.57077
0.672543 1.03245e-05 5.62171e-05 -0.00855374 -2.35206e-05 -3.92357e-05 1.57077
0.680406 1.01963e-05 5.67543e-05 -0.00855814 -2.3936e-05 -3.90135e-05 1.57077
0.692941 1.00998e-05 5.72489e-05 -0.0085625 -2.45483e-05 -3.89605e-05 1.57077
0.700642 9.90532e-06 5.77523e-05 -0.00856681 -2.47777e-05 -3.87746e-05 1.57077
0.71302 9.60735e-06 5.87508e-05 -0.00857549 -2.29551e-05 -3.88805e-05 1.57077
0.720532 9.4882e-06 5.92443e-05 -0.00857968 -2.41702e-05 -3.75047e-05 1.57077
0.732779 9.37039e-06 5.9939e-05 -0.00858374 -2.42268e-05 -3.58696e-05 1.57077
0.741379 9.31615e-06 6.07404e-05 -0.00858762 -2.39006e-05 -3.65001e-05 1.57077
0.75326 9.43327e-06 6.24041e-05 -0.00859499 -2.65238e-05 -3.51986e-05 1.57078
0.760898 9.56894e-06 6.33878e-05 -0.00859858 -2.64825e-05 -3.55195e-05 1.57078
0.772639 9.59158e-06 6.44235e-05 -0.00860211 -2.70636e-05 -3.65906e-05 1.57078
0.780828 9.63463e-06 6.5487e-05 -0.00860557 -2.69242e-05 -3.70211e-05 1.57078
0.793608 9.80388e-06 6.73511e-05 -0.00861207 -2.60414e-05 -3.66361e-05 1.57078
0.801024 9.8346e-06 6.8183e-05 -0.0086153 -2.48358e-05 -3.63237e-05 1.57078
0.813111 9.78266e-06 6.90403e-05 -0.00861841 -2.4535e-05 -3.66912e-05 1.57078
0.82109 9.77784e-06 6.98927e-05 -0.00862142 -2.39905e-05 -3.56003e-05 1.57078
0.833149 9.81209e-06 7.12682e-05 -0.00862725 -2.40492e-05 -3.64035e-05 1.57078
0.842656 9.78567e-06 7.18264e-05 -0.00863001 -2.37055e-05 -3.54949e-05 1.57077
0.853995 9.84138e-06 7.23684e-05 -0.00863275 -2.33466e-05 -3.43801e-05 1.57077
0.861565 9.89735e-06 7.28676e-05 -0.00863555 -2.09687e-05 -3.24296e-05 1.57077
