Time X Y Z Roll Pitch Yaw
8.31391 0.00110506 -0.00395288 nan 0.000173741 -0.00709545 -1.57097
8.31601 0.00112254 -0.00400538 nan 0.000154882 -0.0070244 -1.57097
8.31987 0.00114004 -0.00405782 nan 0.000136457 -0.00695288 -1.57097
8.32375 0.00115757 -0.00411076 nan 0.000118467 -0.00690173 -1.57097
8.3279 0.00117513 -0.0041641 nan 0.000100596 -0.00685209 -1.57097
8.33209 0.00119269 -0.0042166 nan 8.23896e-05 -0.00678393 -1.57097
8.33591 0.00121026 -0.00426812 nan 6.39821e-05 -0.00671599 -1.57097
8.33994 0.00122782 -0.00431919 nan 4.47768e-05 -0.00664645 -1.57097
8.34714 0.00124534 -0.00436982 nan 2.54045e-05 -0.00657595 -1.57096
8.34877 0.00126283 -0.00442002 nan 6.68239e-06 -0.00650481 -1.57096
8.3523 0.00128027 -0.00446975 nan -1.20003e-05 -0.00643247 -1.57096
8.35628 0.00165889 -0.00447103 nan -2.95465e-05 -0.0063038 -1.57096
8.36092 0.00167709 -0.00451823 nan -4.72133e-05 -0.00617516 -1.57095
8.36439 0.00169526 -0.0045658 nan -6.58828e-05 -0.00610334 -1.57095
8.36835 0.00171342 -0.00461377 nan -8.37481e-05 -0.00603406 -1.57095
8.37222 0.00173155 -0.00466206 nan -0.000101906 -0.005997 -1.57095
8.37639 0.00174965 -0.00471061 nan -0.00012058 -0.00596707 -1.57095
8.38044 0.00176769 -0.00475818 nan -0.000138832 -0.00591479 -1.57094
8.38405 0.00178567 -0.00480465 nan -0.000157153 -0.00586287 -1.57094
8.38848 0.0018036 -0.00485056 nan -0.000175357 -0.00580871 -1.57094
8.39548 0.00182154 -0.00489587 nan -0.000192753 -0.00575113 -1.57094
8.39687 0.00183943 -0.00494057 nan -0.000210403 -0.00569082 -1.57094
8.40129 0.00185726 -0.00498465 nan -0.000228249 -0.0056275 -1.57093
8.40594 0.00187503 -0.00502746 nan -0.000244309 -0.00550418 -1.57093
8.40922 0.00189278 -0.00506912 nan -0.000260248 -0.00537941 -1.57093
8.41244 0.00191052 -0.00511109 nan -0.000277295 -0.00531065 -1.57093
8.41627 0.00192823 -0.00515342 nan -0.000293261 -0.0052426 -1.57093
8.42028 0.0019459 -0.00519605 nan -0.000308465 -0.00521798 -1.57093
8.42462 0.00196355 -0.00523886 nan -0.00032306 -0.00519927 -1.57093
8.42846 0.00198115 -0.00528049 nan -0.000337275 -0.00514451 -1.57092
8.43241 0.00199869 -0.00532086 nan -0.000351711 -0.00508977 -1.57092
8.43628 0.00201614 -0.00536055 nan -0.000366496 -0.00503248 -1.57092
8.4406 0.00203355 -0.00539955 nan -0.000379972 -0.00497079 -1.57092
8.44472 0.0020509 -0.00543784 nan -0.00039232 -0.00490534 -1.57092
8.44967 0.0020682 -0.00547543 nan -0.000405314 -0.00483765 -1.57092
8.45354 0.00208547 -0.00551231 nan -0.000417769 -0.00476873 -1.57091
8.45672 0.0021027 -0.00554849 nan -0.00042938 -0.00469944 -1.57091
8.46043 0.00211987 -0.00558397 nan -0.000440473 -0.00462924 -1.57091
8.46438 0.00213698 -0.00561873 nan -0.000451089 -0.004559 -1.57091
8.4686 0.00215401 -0.00565277 nan -0.000460992 -0.00448964 -1.57091
8.47286 0.00217097 -0.00568607 nan -0.000470509 -0.00442104 -1.5709
8.47666 0.00218786 -0.00571863 nan -0.000480619 -0.00435416 -1.5709
8.48052 0.00220469 -0.00575041 nan -0.000491467 -0.0042876 -1.5709
8.48449 0.00222147 -0.00578141 nan -0.000503137 -0.00422169 -1.5709
8.48918 0.00223819 -0.00581163 nan -0.000515069 -0.00415753 -1.57089
8.49276 0.00225484 -0.00584107 nan -0.000526383 -0.00409565 -1.57089
8.49755 0.00227141 -0.00586972 nan -0.000538281 -0.00403554 -1.57089
8.50145 0.00228789 -0.00589758 nan -0.000551043 -0.00397717 -1.57089
8.50722 0.000766697 -0.00814702 nan -0.000563523 -0.00392048 -1.57089
8.50997 0.00077938 -0.00817824 nan -0.000575838 -0.00386452 -1.57088
8.51463 0.000791944 -0.00820866 nan -0.000588326 -0.00380955 -1.57088
8.51718 0.00080442 -0.00823824 nan -0.000600352 -0.00375585 -1.57088
8.52185 0.000816812 -0.00826696 nan -0.000612278 -0.00370294 -1.57088
8.52522 0.000829108 -0.00829482 nan -0.000623491 -0.00365082 -1.57087
8.52911 0.000841303 -0.00832186 nan -0.000634431 -0.00359936 -1.57087
8.53317 0.000853404 -0.00834807 nan -0.000645264 -0.00354803 -1.57087
8.53759 0.000865402 -0.0083734 nan -0.000655998 -0.00349723 -1.57087
8.54131 0.00087728 -0.00839785 nan -0.000666724 -0.0034465 -1.57086
8.54645 0.000889056 -0.00842144 nan -0.000676455 -0.00339561 -1.57086
8.55018 0.000900746 -0.00844416 nan -0.000686301 -0.00334459 -1.57086
8.55353 0.000912332 -0.00846601 nan -0.000695493 -0.00329391 -1.57086
8.55732 0.000923789 -0.00848696 nan -0.000703667 -0.00324336 -1.57085
8.56115 0.000935101 -0.00850705 nan -0.000711613 -0.00319262 -1.57085
8.56511 0.00094627 -0.00852623 nan -0.000719368 -0.0031433 -1.57085
8.56962 0.000957314 -0.00854451 nan -0.00072674 -0.0030958 -1.57085
8.57329 0.000968257 -0.0085619 nan -0.000734044 -0.00304878 -1.57084
8.57727 0.000979108 -0.0085784 nan -0.000741528 -0.00300195 -1.57084
8.58115 0.000989845 -0.00859398 nan -0.000748572 -0.0029558 -1.57084
8.58554 0.00100045 -0.0086086 nan -0.000754807 -0.00291 -1.57084
8.58976 0.00101091 -0.00862225 nan -0.00076057 -0.00286451 -1.57084
8.59509 0.00102124 -0.00863495 nan -0.000766464 -0.00281943 -1.57083
8.59951 0.00103144 -0.00864669 nan -0.000772655 -0.00277424 -1.57083
8.60212 0.00104153 -0.00865749 nan -0.000777411 -0.00272909 -1.57083
8.60681 0.0010515 -0.00866734 nan -0.000781043 -0.00268432 -1.57083
8.61048 0.00106133 -0.00867624 nan -0.000784996 -0.00264006 -1.57082
8.61379 0.001071 -0.00868418 nan -0.000788255 -0.00259639 -1.57082
8.61793 0.00108054 -0.00869116 nan -0.000792018 -0.0025537 -1.57082
8.62163 0.00108994 -0.00869715 nan -0.000795945 -0.00251113 -1.57082
8.62566 0.00109921 -0.00870217 nan -0.000799034 -0.00246874 -1.57082
8.62956 0.00110835 -0.0087062 nan -0.000803032 -0.00242696 -1.57081
8.63388 0.00111737 -0.00870924 nan -0.00080745 -0.00238585 -1.57081
8.63798 0.00112626 -0.0087113 nan -0.000811342 -0.00234541 -1.57081
8.64173 0.00113502 -0.00871237 nan -0.000814974 -0.00230535 -1.57081
8.64862 0.00114363 -0.00871245 nan -0.000818383 -0.0022654 -1.57081
8.65145 0.00115212 -0.00871151 nan -0.000821927 -0.00222562 -1.5708
8.65417 0.00116051 -0.00870955 nan -0.000826254 -0.00218679 -1.5708
8.65836 0.00140301 -0.00970504 nan -0.000831522 -0.00214789 -1.5708
8.66227 0.00141161 -0.00970304 nan -0.000836458 -0.00210859 -1.5708
8.66637 0.00142005 -0.00970001 nan -0.000840485 -0.00206998 -1.57079
8.67009 0.00142833 -0.00969596 nan -0.000845598 -0.00203245 -1.57079
8.67416 0.00143647 -0.00969086 nan -0.00085154 -0.00199459 -1.57079
8.67813 0.00144447 -0.00968469 nan -0.000857063 -0.00195734 -1.57079
8.68246 0.00145231 -0.00967744 nan -0.000862245 -0.00192038 -1.57079
8.68624 0.00146001 -0.00966913 nan -0.00086733 -0.00188336 -1.57079
8.69019 0.00146758 -0.00965977 nan -0.000873184 -0.00184692 -1.57078
8.69579 0.00147502 -0.00964936 nan -0.00088024 -0.0018114 -1.57078
8.69928 0.00148233 -0.00963785 nan -0.000887072 -0.00177597 -1.57078
8.7034 0.00148949 -0.00962524 nan -0.000894114 -0.00174052 -1.57078
8.70775 0.00149648 -0.00961157 nan -0.000901693 -0.0017062 -1.57078
8.71062 0.0015033 -0.00959685 nan -0.000908957 -0.00167252 -1.57078
8.71443 0.00150998 -0.00958106 nan -0.000915667 -0.00163966 -1.57077
8.71822 0.00151651 -0.00956417 nan -0.000921767 -0.00160803 -1.57077
8.72214 0.00152289 -0.0095462 nan -0.000927844 -0.00157681 -1.57077
8.72627 0.00152909 -0.00952715 nan -0.000933058 -0.00154536 -1.57077
8.73058 0.00153512 -0.00950699 nan -0.000938085 -0.00151497 -1.57077
