Time X Y Z Roll Pitch Yaw
8.31371 -0.00395288 0.00110506 0.182273 0.000173741 0.00709545 -3.14142
8.31602 -0.00400538 0.00112254 0.18559 0.000154882 0.0070244 -3.14142
8.31982 -0.00405782 0.00114004 0.18892 0.000136457 0.00695288 -3.14142
8.32368 -0.00411076 0.00115757 0.192264 0.000118466 0.00690173 -3.14142
8.3279 -0.0041641 0.00117513 0.195621 0.000100596 0.00685209 -3.14142
8.33199 -0.0042166 0.00119269 0.198988 8.23895e-05 0.00678393 -3.14142
8.33575 -0.00426812 0.00121026 0.202367 6.39823e-05 0.00671599 -3.14142
8.33988 -0.00431919 0.00122782 0.205755 4.47769e-05 0.00664645 -3.14142
8.34709 -0.00436982 0.00124534 0.209153 2.54044e-05 0.00657595 -3.14143
8.34874 -0.00442002 0.00126283 0.212559 6.6822e-06 0.00650481 -3.14143
8.35222 -0.00446975 0.00128027 0.215974 -1.20003e-05 0.00643248 -3.14143
8.35622 -0.00447103 0.00165889 0.22003 -2.95465e-05 0.0063038 -3.14143
8.36085 -0.00451823 0.00167709 0.223459 -4.72132e-05 0.00617516 -3.14143
8.36433 -0.0045658 0.00169526 0.226895 -6.58829e-05 0.00610334 -3.14144
8.36827 -0.00461377 0.00171342 0.230337 -8.37483e-05 0.00603406 -3.14144
8.37214 -0.00466206 0.00173155 0.233783 -0.000101906 0.005997 -3.14144
8.37621 -0.00471061 0.00174965 0.237234 -0.00012058 0.00596707 -3.14144
8.38038 -0.00475818 0.00176769 0.240689 -0.000138832 0.00591479 -3.14144
8.38399 -0.00480465 0.00178567 0.244146 -0.000157153 0.00586287 -3.14145
8.38836 -0.00485056 0.0018036 0.247607 -0.000175357 0.00580871 -3.14145
8.39528 -0.00489587 0.00182154 0.25107 -0.000192753 0.00575113 -3.14145
8.39655 -0.00494057 0.00183943 0.254534 -0.000210403 0.00569082 -3.14145
8.40107 -0.00498465 0.00185726 0.258 -0.000228249 0.0056275 -3.14145
8.40581 -0.00502746 0.00187503 0.261467 -0.000244309 0.00550418 -3.14146
8.40908 -0.00506912 0.00189278 0.264933 -0.000260249 0.00537941 -3.14146
8.41236 -0.00511109 0.00191052 0.2684 -0.000277295 0.00531065 -3.14146
8.41615 -0.00515342 0.00192823 0.271866 -0.000293261 0.00524259 -3.14146
8.42014 -0.00519605 0.0019459 0.275331 -0.000308465 0.00521798 -3.14146
8.42459 -0.00523886 0.00196355 0.278796 -0.00032306 0.00519927 -3.14146
8.42826 -0.00528049 0.00198115 0.282258 -0.000337274 0.00514451 -3.14146
8.4323 -0.00532086 0.00199869 0.285717 -0.000351711 0.00508977 -3.14147
8.43617 -0.00536055 0.00201614 0.289174 -0.000366496 0.00503248 -3.14147
8.44052 -0.00539955 0.00203355 0.292627 -0.000379972 0.00497079 -3.14147
8.44462 -0.00543784 0.0020509 0.296077 -0.00039232 0.00490534 -3.14147
8.44924 -0.00547543 0.0020682 0.299522 -0.000405313 0.00483765 -3.14147
8.45346 -0.00551231 0.00208547 0.302963 -0.000417769 0.00476873 -3.14148
8.45662 -0.00554849 0.0021027 0.306399 -0.00042938 0.00469944 -3.14148
8.46039 -0.00558397 0.00211987 0.30983 -0.000440473 0.00462924 -3.14148
8.46433 -0.00561873 0.00213698 0.313255 -0.000451089 0.004559 -3.14148
8.46856 -0.00565277 0.00215401 0.316674 -0.000460992 0.00448964 -3.14148
8.47278 -0.00568607 0.00217097 0.320087 -0.000470509 0.00442104 -3.14149
8.47649 -0.00571863 0.00218786 0.323494 -0.000480619 0.00435416 -3.14149
8.48046 -0.00575041 0.00220469 0.326894 -0.000491467 0.0042876 -3.14149
8.48445 -0.00578141 0.00222147 0.330286 -0.000503137 0.00422169 -3.14149
8.4891 -0.00581163 0.00223819 0.333672 -0.000515069 0.00415753 -3.1415
8.49269 -0.00584107 0.00225484 0.337049 -0.000526383 0.00409565 -3.1415
8.49726 -0.00586972 0.00227141 0.340419 -0.000538281 0.00403554 -3.1415
8.5014 -0.00589758 0.00228789 0.34378 -0.000551043 0.00397717 -3.1415
8.50711 -0.00814702 0.000766697 0.350712 -0.000563523 0.00392048 -3.1415
8.50952 -0.00817824 0.00077938 0.354064 -0.000575838 0.00386452 -3.1415
8.51459 -0.00820866 0.000791944 0.357408 -0.000588326 0.00380955 -3.14151
8.51701 -0.00823824 0.00080442 0.360742 -0.000600352 0.00375585 -3.14151
8.52178 -0.00826696 0.000816812 0.364067 -0.000612278 0.00370294 -3.14151
8.52516 -0.00829482 0.000829108 0.367383 -0.000623491 0.00365082 -3.14152
8.52898 -0.00832186 0.000841303 0.37069 -0.000634431 0.00359936 -3.14152
8.53312 -0.00834807 0.000853404 0.373986 -0.000645264 0.00354803 -3.14152
8.53742 -0.0083734 0.000865402 0.377273 -0.000655998 0.00349723 -3.14152
8.54123 -0.00839785 0.00087728 0.380549 -0.000666724 0.0034465 -3.14152
8.54623 -0.00842144 0.000889056 0.383814 -0.000676455 0.00339561 -3.14153
8.54977 -0.00844416 0.000900746 0.387069 -0.000686301 0.00334459 -3.14153
8.55345 -0.00846601 0.000912332 0.390313 -0.000695493 0.00329391 -3.14153
8.55724 -0.00848696 0.000923789 0.393547 -0.000703667 0.00324336 -3.14154
8.56109 -0.00850705 0.000935101 0.396769 -0.000711613 0.00319262 -3.14154
8.56505 -0.00852623 0.00094627 0.39998 -0.000719368 0.0031433 -3.14154
8.56959 -0.00854451 0.000957314 0.403179 -0.00072674 0.0030958 -3.14154
8.57323 -0.0085619 0.000968257 0.406368 -0.000734044 0.00304878 -3.14155
8.57713 -0.0085784 0.000979108 0.409544 -0.000741528 0.00300195 -3.14155
8.5811 -0.00859398 0.000989845 0.41271 -0.000748572 0.0029558 -3.14155
8.58546 -0.0086086 0.00100045 0.415863 -0.000754807 0.00291 -3.14155
8.58953 -0.00862225 0.00101091 0.419005 -0.00076057 0.00286451 -3.14155
8.59505 -0.00863495 0.00102124 0.422135 -0.000766464 0.00281943 -3.14156
8.59764 -0.00864669 0.00103144 0.425253 -0.000772655 0.00277424 -3.14156
8.60196 -0.00865749 0.00104153 0.42836 -0.000777411 0.00272909 -3.14156
8.60662 -0.00866734 0.0010515 0.431454 -0.000781043 0.00268432 -3.14156
8.61041 -0.00867624 0.00106133 0.434537 -0.000784996 0.00264006 -3.14156
8.61372 -0.00868418 0.001071 0.437607 -0.000788255 0.00259639 -3.14157
8.61789 -0.00869116 0.00108054 0.440665 -0.000792018 0.0025537 -3.14157
8.62155 -0.00869715 0.00108994 0.443712 -0.000795945 0.00251113 -3.14157
8.62561 -0.00870217 0.00109921 0.446745 -0.000799034 0.00246874 -3.14157
8.6295 -0.0087062 0.00110835 0.449767 -0.000803032 0.00242696 -3.14157
8.63382 -0.00870924 0.00111737 0.452776 -0.00080745 0.00238585 -3.14158
8.63782 -0.0087113 0.00112626 0.455772 -0.000811342 0.00234541 -3.14158
8.64167 -0.00871237 0.00113502 0.458755 -0.000814974 0.00230535 -3.14158
8.64824 -0.00871245 0.00114363 0.461724 -0.000818383 0.0022654 -3.14158
8.65138 -0.00871151 0.00115212 0.464679 -0.000821927 0.00222562 -3.14159
8.65408 -0.00870955 0.00116051 0.467619 -0.000826254 0.00218679 -3.14159
8.65825 -0.00970504 0.00140301 0.47155 -0.000831522 0.00214789 -3.14159
8.66216 -0.00970304 0.00141161 0.474462 -0.000836458 0.00210859 3.14159
8.66634 -0.00970001 0.00142005 0.477358 -0.000840485 0.00206998 3.14159
8.66998 -0.00969596 0.00142833 0.480241 -0.000845598 0.00203245 3.14159
8.6741 -0.00969086 0.00143647 0.483108 -0.00085154 0.00199459 3.14158
8.67797 -0.00968469 0.00144447 0.485962 -0.000857063 0.00195734 3.14158
8.6824 -0.00967744 0.00145231 0.488803 -0.000862245 0.00192038 3.14158
8.6862 -0.00966913 0.00146001 0.49163 -0.00086733 0.00188336 3.14158
8.69005 -0.00965977 0.00146758 0.494443 -0.000873184 0.00184692 3.14158
8.69524 -0.00964936 0.00147502 0.497243 -0.00088024 0.0018114 3.14158
8.69921 -0.00963785 0.00148233 0.500029 -0.000887072 0.00177597 3.14158
8.70328 -0.00962524 0.00148949 0.502801 -0.000894114 0.00174052 3.14158
8.70765 -0.00961157 0.00149648 0.505557 -0.000901693 0.0017062 3.14157
8.71063 -0.00959685 0.0015033 0.508298 -0.000908957 0.00167252 3.14157
8.71438 -0.00958106 0.00150998 0.511022 -0.000915667 0.00163966 3.14157
8.71823 -0.00956417 0.00151651 0.51373 -0.000921767 0.00160803 3.14157
8.72209 -0.0095462 0.00152289 0.516423 -0.000927844 0.00157681 3.14157
8.72619 -0.00952715 0.00152909 0.519101 -0.000933058 0.00154536 3.14157
8.7305 -0.00950699 0.00153512 0.521764 -0.000938085 0.00151497 3.14156
8.73426 -0.00948572 0.00154098 0.524414 -0.000942628 0.00148669 3.14156
8.73814 -0.00946332 0.00154669 0.52705 -0.000945887 0.00145992 3.14156
8.7422 -0.00943975 0.00155221 0.529674 -0.000949691 0.00143477 3.14155
8.74787 -0.00941502 0.00155754 0.532284 -0.000953095 0.00141055 3.14155
8.75077 -0.00938857 0.00156274 0.534882 -0.000955842 0.00134868 3.14155
8.75464 -0.00936047 0.0015678 0.537465 -0.000958921 0.00128538 3.14155
8.75828 -0.00933205 0.00157272 0.540035 -0.000960858 0.00125804 3.14155
8.76257 -0.00930337 0.00157756 0.542589 -0.000961848 0.00123147 3.14155
8.76634 -0.00927386 0.0015823 0.545127 -0.000962618 0.00120654 3.14154
8.77061 -0.0092435 0.0015869 0.547649 -0.000963136 0.00118321 3.14154
8.77448 -0.00921228 0.00159137 0.550153 -0.000963404 0.00116102 3.14154
8.77876 -0.00918019 0.00159571 0.55264 -0.000963851 0.0011386 3.14154
8.78249 -0.00914784 0.00159992 0.55511 -0.000965057 0.0011622 3.14153
8.78655 -0.00911514 0.00160402 0.557562 -0.000966016 0.00118437 3.14153
8.79067 -0.00908068 0.00160802 0.559994 -0.000966235 0.00115788 3.14153
8.79744 -0.00904443 0.00161189 0.562408 -0.000966171 0.00112813 3.14153
8.80016 -0.00900642 0.00161562 0.564803 -0.000966876 0.00105574 3.14153
8.80396 -0.00896669 0.00161923 0.567179 -0.000967823 0.000976911 3.14152
8.80937 -0.00892659 0.0016227 0.569535 -0.00096816 0.000932128 3.14152
8.81118 -0.00888621 0.00162599 0.571873 -0.000968656 0.000890828 3.14152
8.81482 -0.00884497 0.00162911 0.574193 -0.00096939 0.000856938 3.14152
8.81886 -0.00880287 0.00163208 0.576496 -0.000970368 0.000831766 3.14152
8.8229 -0.00876049 0.00163491 0.578782 -0.000971117 0.000855701 3.14151
8.82717 -0.00871775 0.00163763 0.581052 -0.000971225 0.000883755 3.14151
8.83097 -0.00867327 0.00164022 0.583305 -0.000971448 0.000870396 3.14151
8.83508 -0.00862698 0.00164266 0.585543 -0.000971656 0.000852905 3.14151
8.83906 -0.00857881 0.00164497 0.587765 -0.000970555 0.000777374 3.1415
8.84335 -0.00852883 0.00164714 0.589971 -0.000969614 0.000693552 3.1415
8.84875 -0.00847904 0.00164917 0.592163 -0.0009712 0.000700118 3.1415
8.85161 -0.00842945 0.00165106 0.594341 -0.000974251 0.000710062 3.1415
8.85553 -0.0083781 0.0016528 0.596506 -0.000977463 0.000683469 3.1415
8.85935 -0.00832494 0.00165439 0.598659 -0.000981148 0.000664139 3.1415
8.86322 -0.00827056 0.00165582 0.600799 -0.000984745 0.000647594 3.14149
8.86694 -0.00821493 0.00165711 0.602928 -0.000988233 0.00063003 3.14149
8.87147 -0.00815746 0.00165824 0.605045 -0.000991158 0.000577763 3.14149
8.87534 -0.00809823 0.00165924 0.60715 -0.000993121 0.000523513 3.14149
8.87915 -0.00803854 0.00166011 0.609245 -0.000994991 0.000501779 3.14149
8.88304 -0.00797846 0.00166084 0.611329 -0.00099666 0.00048249 3.14149
8.88798 -0.0079174 0.00166139 0.613402 -0.000998355 0.000467536 3.14149
8.89139 -0.00785539 0.00166176 0.615465 -0.000999967 0.000457555 3.14148
8.89718 -0.0077924 0.00166195 0.617518 -0.00100104 0.000451558 3.14148
8.9084 -0.00759115 0.0016616 0.623615 -0.00100562 0.000429688 3.14148
8.91279 -0.00751196 0.0016603 0.625627 -0.00100722 0.000382146 3.14147
8.91617 -0.00896724 0.00187143 0.628427 -0.00100927 0.000327293 3.14147
8.92072 -0.0104829 0.00216828 0.630906 -0.00101143 0.000298971 3.14147
8.92394 -0.0126602 0.00272926 0.633126 -0.0010127 0.000264247 3.14147
8.92758 -0.0125933 0.00273017 0.635104 -0.00101415 0.000258939 3.14147
8.93161 -0.0125259 0.00273096 0.637073 -0.00101487 0.00025862 3.14146
8.93575 -0.012456 0.00273163 0.639032 -0.00101448 0.000192879 3.14146
8.94012 -0.0123838 0.00273217 0.640983 -0.00101467 0.000129567 3.14146
8.94379 -0.0123117 0.00273257 0.642925 -0.00101625 0.00016049 3.14146
8.94981 -0.0122398 0.0027328 0.644859 -0.00101749 0.000192179 3.14146
8.95295 -0.0121654 0.00273289 0.646785 -0.00101746 0.000118977 3.14146
8.95636 -0.0120884 0.00273284 0.648701 -0.00101752 4.9758e-05 3.14145
8.96042 -0.0147339 0.00336193 0.650596 -0.00101748 3.62381e-05 3.14145
8.96421 -0.0146609 0.00336276 0.652496 -0.0010168 2.36217e-05 3.14145
8.96821 -0.0145875 0.00336343 0.654388 -0.00101608 5.05298e-05 3.14145
8.97274 -0.0145136 0.00336393 0.656272 -0.00101555 8.43517e-05 3.14145
8.9761 -0.0144372 0.00336428 0.658148 -0.00101593 6.27757e-05 3.14144
8.98005 -0.0143585 0.00336447 0.660016 -0.00101674 3.77887e-05 3.14144
8.98451 -0.0142793 0.00336449 0.661876 -0.00101777 3.17325e-05 3.14144
8.98843 -0.0141995 0.00336438 0.663729 -0.00101941 2.12747e-05 3.14144
8.99236 -0.0141186 0.00336412 0.665573 -0.00102183 8.73334e-06 3.14144
8.99627 -0.0140367 0.00336371 0.66741 -0.0010241 -5.09239e-06 3.14144
9.0013 -0.0139538 0.00336313 0.66924 -0.00102493 -1.95923e-05 3.14143
9.00592 -0.0138697 0.00336237 0.671062 -0.00102569 -3.29487e-05 3.14143
9.00936 -0.0137847 0.00336145 0.672876 -0.00102646 -4.51326e-05 3.14143
9.01316 -0.0136986 0.00336038 0.674682 -0.00102746 -5.57342e-05 3.14143
9.01684 -0.0136114 0.00335915 0.676482 -0.00102863 -6.56171e-05 3.14143
9.02065 -0.0135231 0.00335776 0.678273 -0.00102877 -7.52121e-05 3.14143
9.02435 -0.0134337 0.0033562 0.680058 -0.00102835 -8.51891e-05 3.14142
9.02834 -0.0133433 0.00335447 0.681834 -0.00102735 -9.62335e-05 3.14142
9.03276 -0.0132517 0.00335254 0.683604 -0.00102518 -0.000107609 3.14142
9.03674 -0.0131591 0.00335043 0.685366 -0.00102162 -0.000119352 3.14142
9.04059 -0.0130654 0.00334814 0.687119 -0.00101801 -0.000132262 3.14142
9.04456 -0.0129707 0.00334568 0.688865 -0.00101455 -0.000145438 3.14142
9.057 -0.0126798 0.00333729 0.694049 -0.00100255 -0.000187643 3.14141
9.06072 -0.0125806 0.00333417 0.69576 -0.000998096 -0.000203614 3.14141
9.06495 -0.0124804 0.00333089 0.697462 -0.000994176 -0.000220947 3.14141
9.06869 -0.0123791 0.00332746 0.699155 -0.000991397 -0.000238714 3.14141
9.0728 -0.0122767 0.00332385 0.700838 -0.000988838 -0.000257406 3.14141
