Time LX LY LZ
8.29834 1.4462e+07 1.4462e+07 1.4462e+07
8.39492 365.83 497.782 1071.44
8.54243 5589.62 1655.34 16138.1
8.64324 5650.81 1660.17 16452.5
8.79652 5696.14 1670.51 16739
8.80042 5724.25 1684.9 17059.9
8.89397 5738.33 1701.72 12836.6
8.99536 5736.31 1718.48 13194
9.09577 5727.82 1735.64 13443.7
9.19678 5711.14 1752.06 13623.5
9.39998 5690.49 1767.81 13772.6
9.40607 5665.04 1781.3 13948.7
9.50077 367.795 395.136 371.827
9.59883 6572.93 2382.62 15350.3
9.70105 5657.75 2232.11 14200.9
9.90248 5623.41 2237.1 14321.4
9.90917 370.746 400.046 383.745
10.0052 374.609 486.469 876.432
10.1077 377.986 530.486 1197.75
10.2586 379.913 482.657 918.616
10.313 383.961 612.627 1986.96
10.4586 11473.2 4135.03 18825.7
10.5116 382.262 624.36 1938.24
10.6633 385.08 535.048 1366.8
10.7113 382.784 589.894 1767.54
10.8651 387.213 663.693 2546.04
10.9124 9904.51 3546.66 17231.6
11.1642 9873.38 3543.43 17233.1
11.1765 9846.73 3541.11 17235.5
11.2236 387.484 591.767 1992.87
11.4177 384.413 520.228 1208.64
11.4256 10867.1 3689.7 17632.4
11.5192 10841.6 3689 17626
11.6224 389.022 662.601 2567.61
11.7181 12113 3938.77 18588.3
11.8726 385.758 471.701 845.401
11.9235 388.708 521.533 1221.06
12.0206 13679 4224.46 19293.9
12.1262 390.891 706.375 3397.6
12.2234 390.907 697.152 3120.25
12.3271 16200.6 4706.92 21238.5
12.4242 16195.8 4705.76 21236.7
12.5755 16190.5 4703.49 21234
12.6271 16183.4 4700.68 21241.7
12.7301 16175 4697.98 21252.4
12.8305 15672.5 4639.36 21211.8
12.9275 15659.9 4637.03 21214.4
13.0325 15642.2 4633.91 21209
13.1825 392.809 758.785 3993.23
13.3313 17421.4 4812.57 22937.6
13.3396 17400.4 4810.18 22936.3
13.4331 393.338 740.951 4579.81
13.536 18821.5 4959.04 24548.1
13.6857 393.546 659.979 3142.45
13.7412 19780.8 5162.94 25544.4
13.8885 19782.6 5163.1 25545.2
13.9396 19785.3 5163.14 25544.8
14.0364 19790.4 5163.8 25546
14.2923 19797.1 5164.76 25550
14.3025 19808 5166.46 25558.5
14.3435 19826.2 5169.27 25572.5
14.4918 19851 5173.01 25590.8
14.6411 19878.5 5177.07 25610.3
14.6501 19909.4 5181.51 25632.1
14.7427 19944 5186.53 25657
14.8433 19979 5191.66 25685.3
14.947 20014.9 5197.18 25713.4
15.0444 20058.1 5203.29 25743.4
15.1535 20105.7 5210.04 25778
15.4691 20156.2 5217.21 25818.9
15.5045 20210.7 5226.19 25864.8
15.7337 20275.4 5235.62 25916.8
15.7818 20340.4 5245.23 25971.1
15.8133 20403.7 5254.53 26025.5
16.2238 20471.9 5264.74 26084.8
16.4868 20544 5275.7 26147.7
16.5965 20620.8 5288.18 26216.3
16.6227 20708.7 5302.52 26295.9
16.7778 20802.2 5317.35 26379.7
16.7886 20905.7 5333.95 26476.3
16.8008 21018.1 5351.92 26581.3
16.8146 19342 5204.08 24720.1
16.8263 19460.4 5223.91 24823
16.8772 19586.1 5244.74 24933
16.9221 19719.9 5266.57 25047
17.0212 19856.7 5288.83 25166.7
17.1198 19999.1 5312.57 25291
17.2836 20155.8 5339.15 25431.1
17.3801 20324.2 5367.6 25584.1
17.6246 20506.4 5398.16 25751.5
17.6356 20696.3 5429.56 25928.1
17.6744 20897 5462.75 26114.6
17.7753 21104 5497.13 26316.5
17.8734 21326.1 5534.11 26531.4
17.9727 19267.3 5311.56 24395.3
18.176 19498.2 5348.61 24571.1
18.2273 19737.4 5387.11 24756.1
18.2769 19988.7 5428.77 24954
18.3778 20260.1 5472.76 25169
18.679 20546.9 5518.64 25400
18.6902 20511.1 5515.51 25509.7
18.7316 20819.9 5564.29 25755
18.7833 21136.4 5612.36 26003.2
18.8804 21460.3 5662.75 26269
18.9783 21790.1 5713.28 26543.1
19.18 22128.3 5765.44 26826.1
19.1878 22466.1 5817.66 27117.1
19.2801 22812.3 5872.52 27422.9
19.3846 23171.3 5929.86 27754.2
19.4834 23539.6 5988.72 28104.5
19.5841 23919.6 6050.51 28474.8
19.7876 24306.8 6113.75 28874.1
19.7997 24687.6 6173.95 29272.1
19.8873 25072.2 6237.19 29686.8
19.9887 30148.4 6304.59 25458.7
20.0869 30642.1 6373.79 25863.5
20.2937 31177.1 6448.86 26277
20.306 31783.7 6529.22 26710.4
20.4968 32443 6613.66 27166.5
20.505 33157.6 6701.29 27632.5
20.5943 394.43 854.836 3909.38
20.8441 36411.5 7238.11 30077.3
20.8554 33165.9 6966.01 29481.2
20.8986 34093.1 7067.53 29928.8
20.9954 31387.2 6830.4 29027
21.0953 32304.3 6931.6 29449.6
