Time X Y Z Roll Pitch Yaw
0.121701 6.96313e-05 -3.569e-05 -0.00782962 -3.21173e-05 -2.60543e-06 1.5708
0.127531 6.95532e-05 -3.52162e-05 -0.00783887 -3.15666e-05 -4.16662e-06 1.57079
0.13898 6.93361e-05 -3.43869e-05 -0.0078578 -3.45206e-05 -5.33058e-06 1.5708
0.147323 6.91545e-05 -3.39281e-05 -0.00786719 -3.56129e-05 -5.93713e-06 1.5708
0.158952 6.90481e-05 -3.33986e-05 -0.00787645 -3.60468e-05 -7.14142e-06 1.5708
0.168884 6.89491e-05 -3.28316e-05 -0.00788568 -3.69728e-05 -8.05517e-06 1.5708
0.190933 6.83954e-05 -3.17572e-05 -0.00790425 -3.47226e-05 -9.58464e-06 1.5708
0.197865 6.80513e-05 -3.12001e-05 -0.00791362 -3.37558e-05 -8.80105e-06 1.5708
0.20913 6.77333e-05 -3.07599e-05 -0.00792299 -3.19775e-05 -8.72521e-06 1.5708
0.216324 6.74665e-05 -3.03239e-05 -0.00793238 -3.10051e-05 -8.26765e-06 1.5708
0.229274 6.70185e-05 -2.95859e-05 -0.00795096 -3.2047e-05 -8.78966e-06 1.5708
0.236626 6.68661e-05 -2.92642e-05 -0.00796047 -3.06658e-05 -1.07358e-05 1.5708
0.248145 6.67786e-05 -2.90457e-05 -0.00796994 -3.07382e-05 -1.11926e-05 1.5708
0.257527 6.68478e-05 -2.88955e-05 -0.0079793 -2.86396e-05 -1.30802e-05 1.5708
0.268385 6.70457e-05 -2.86024e-05 -0.0079977 -3.01594e-05 -1.46894e-05 1.5708
0.27711 6.71598e-05 -2.84937e-05 -0.00800691 -3.00019e-05 -1.50532e-05 1.5708
0.290036 6.7808e-05 -2.86648e-05 -0.00802564 -2.91015e-05 -1.66589e-05 1.5708
0.296966 6.81697e-05 -2.87493e-05 -0.00803485 -2.66076e-05 -1.60347e-05 1.5708
0.30888 6.85799e-05 -2.87793e-05 -0.00804383 -2.65834e-05 -1.49879e-05 1.5708
0.316723 6.90662e-05 -2.87688e-05 -0.00805261 -2.74214e-05 -1.43614e-05 1.5708
0.330424 7.03072e-05 -2.88117e-05 -0.00806956 -2.50581e-05 -1.23679e-05 1.5708
0.338094 7.09384e-05 -2.88697e-05 -0.00807713 -2.4606e-05 -1.22983e-05 1.5708
0.348947 7.15849e-05 -2.9008e-05 -0.0080845 -2.38093e-05 -1.22486e-05 1.5708
0.357701 7.22087e-05 -2.90096e-05 -0.00809172 -2.23264e-05 -1.14818e-05 1.5708
0.370483 7.34311e-05 -2.90025e-05 -0.00810578 -2.11134e-05 -1.02932e-05 1.5708
0.377494 7.38859e-05 -2.90148e-05 -0.00811247 -2.13885e-05 -9.48298e-06 1.57081
0.390928 7.43876e-05 -2.9116e-05 -0.00811918 -2.17045e-05 -8.19178e-06 1.57081
0.397432 7.4814e-05 -2.9139e-05 -0.00812568 -2.08259e-05 -8.71226e-06 1.5708
0.409198 7.52716e-05 -2.91233e-05 -0.00813202 -2.1499e-05 -8.85806e-06 1.5708
0.418407 7.57636e-05 -2.90464e-05 -0.00813823 -2.07958e-05 -9.01379e-06 1.5708
0.430692 7.67435e-05 -2.90311e-05 -0.0081501 -2.15341e-05 -6.98059e-06 1.57081
0.438341 7.72267e-05 -2.89603e-05 -0.00815592 -2.08399e-05 -6.20986e-06 1.5708
0.450059 7.77627e-05 -2.87842e-05 -0.00816172 -1.95274e-05 -5.31359e-06 1.5708
0.457425 7.83613e-05 -2.86821e-05 -0.00816744 -2.05648e-05 -4.57515e-06 1.57081
0.46992 7.92062e-05 -2.85608e-05 -0.00817851 -1.93847e-05 -3.22876e-06 1.57081
0.478349 7.95588e-05 -2.84923e-05 -0.00818395 -1.95e-05 -2.60669e-06 1.57081
0.491732 7.98619e-05 -2.84537e-05 -0.00818927 -1.87261e-05 -3.81911e-06 1.57082
0.498466 8.01171e-05 -2.84144e-05 -0.00819459 -1.90044e-05 -4.56119e-06 1.57082
0.50953 8.01732e-05 -2.79568e-05 -0.00820472 -1.59217e-05 -4.57249e-06 1.57082
0.518 8.01054e-05 -2.76452e-05 -0.00820954 -1.48851e-05 -4.66272e-06 1.57082
0.531055 7.99956e-05 -2.69001e-05 -0.00821911 -1.49748e-05 -3.67038e-06 1.57082
0.538322 7.98043e-05 -2.63791e-05 -0.00822385 -1.46775e-05 -4.643e-06 1.57082
0.549953 7.95595e-05 -2.58191e-05 -0.00822839 -1.5577e-05 -5.84397e-06 1.57082
0.557842 7.93186e-05 -2.5216e-05 -0.00823285 -1.63134e-05 -6.86312e-06 1.57082
0.570267 7.90489e-05 -2.38494e-05 -0.00824144 -1.51763e-05 -6.58241e-06 1.57082
0.579623 7.88192e-05 -2.3166e-05 -0.00824557 -1.36871e-05 -7.37282e-06 1.57082
0.590676 7.85386e-05 -2.25274e-05 -0.00824976 -1.23558e-05 -7.70475e-06 1.57082
0.598386 7.82246e-05 -2.187e-05 -0.00825392 -1.17867e-05 -5.91922e-06 1.57082
0.610934 7.79888e-05 -2.12592e-05 -0.00825803 -1.13364e-05 -5.61131e-06 1.57082
0.618511 7.7831e-05 -2.0691e-05 -0.00826207 -1.0085e-05 -6.49516e-06 1.57082
0.631682 7.72622e-05 -1.92935e-05 -0.00827014 -8.36087e-06 -6.78455e-06 1.57082
0.638744 7.69261e-05 -1.85651e-05 -0.00827431 -8.9238e-06 -7.06983e-06 1.57082
0.652211 7.66266e-05 -1.78607e-05 -0.00827843 -9.52722e-06 -7.01681e-06 1.57082
0.660492 7.62798e-05 -1.71184e-05 -0.00828244 -9.21968e-06 -7.22694e-06 1.57082
0.672546 7.53317e-05 -1.55278e-05 -0.00829037 -1.13185e-05 -8.55977e-06 1.57082
0.680833 7.47125e-05 -1.45647e-05 -0.00829419 -1.14264e-05 -8.12738e-06 1.57082
0.693601 7.41881e-05 -1.35993e-05 -0.00829796 -9.33858e-06 -8.55311e-06 1.57082
0.700109 7.37583e-05 -1.2724e-05 -0.0083018 -9.1044e-06 -9.39055e-06 1.57082
0.711657 7.28416e-05 -1.10547e-05 -0.00830927 -8.88698e-06 -1.0327e-05 1.57082
0.720967 7.23399e-05 -1.01922e-05 -0.00831295 -8.87547e-06 -7.95059e-06 1.57082
0.73264 7.1911e-05 -9.24705e-06 -0.00831657 -7.56128e-06 -8.13434e-06 1.57082
0.740608 7.14625e-05 -8.19168e-06 -0.00832016 -5.24327e-06 -8.39801e-06 1.57082
0.751786 7.06154e-05 -5.98665e-06 -0.00832725 -3.68178e-06 -8.13338e-06 1.57082
0.759859 7.02381e-05 -4.78338e-06 -0.0083306 -3.26399e-06 -8.15829e-06 1.57082
0.772232 6.9621e-05 -2.7346e-06 -0.00833721 -1.7397e-06 -7.30793e-06 1.57082
0.780673 6.93376e-05 -1.87071e-06 -0.00834036 -1.39983e-06 -4.26614e-06 1.57082
0.792424 6.9137e-05 -1.03641e-06 -0.00834357 -1.18147e-06 -3.73898e-06 1.57082
0.799326 6.89575e-05 -3.22247e-07 -0.0083467 -3.15758e-07 -3.74988e-06 1.57081
0.811926 6.87082e-05 1.20135e-06 -0.00835297 -2.76611e-06 4.93155e-07 1.57081
0.820607 6.83935e-05 2.01535e-06 -0.00835595 -2.43929e-06 2.19334e-06 1.57081
0.833366 6.80341e-05 2.82668e-06 -0.00835883 -7.80415e-07 2.29627e-06 1.57081
0.840366 6.76216e-05 3.59943e-06 -0.00836168 -1.47383e-06 3.41823e-06 1.57081
0.852532 6.67877e-05 5.11381e-06 -0.00836722 -5.23759e-06 6.30881e-06 1.57081
0.860276 6.64452e-05 5.86029e-06 -0.0083699 -5.66857e-06 7.87612e-06 1.57081
0.872506 6.60973e-05 6.50969e-06 -0.00837249 -3.38963e-06 8.32851e-06 1.57081
0.881586 6.57358e-05 7.15169e-06 -0.00837503 -3.37558e-06 7.17449e-06 1.57081
0.89266 6.54505e-05 7.79375e-06 -0.00837756 -1.62627e-06 6.24956e-06 1.57081
0.900689 6.50785e-05 8.39175e-06 -0.00838017 7.9336e-07 5.76245e-06 1.57081
0.913024 6.3995e-05 9.57695e-06 -0.00838482 2.16795e-06 6.11396e-06 1.57081
0.920912 6.33917e-05 1.01444e-05 -0.00838694 3.80511e-06 5.0573e-06 1.57081
0.933585 6.2335e-05 1.11424e-05 -0.00839097 6.32368e-06 5.64992e-06 1.57081
0.940535 6.17406e-05 1.16981e-05 -0.00839297 6.0711e-06 5.99317e-06 1.57081
0.952465 6.12313e-05 1.23555e-05 -0.00839482 6.04686e-06 6.07539e-06 1.57081
0.96077 6.07353e-05 1.30262e-05 -0.00839655 6.7943e-06 5.31146e-06 1.57081
0.972643 5.96419e-05 1.41775e-05 -0.00839963 9.90596e-06 4.36234e-06 1.57081
0.98194 5.9033e-05 1.47785e-05 -0.00840104 9.66938e-06 4.29129e-06 1.57081
0.993581 5.84048e-05 1.53865e-05 -0.00840244 9.50687e-06 3.03147e-06 1.57081
1.00074 5.75759e-05 1.60046e-05 -0.00840374 9.08859e-06 3.16992e-06 1.57081
1.01288 5.57439e-05 1.70785e-05 -0.00840635 7.50735e-06 2.65881e-06 1.57081
1.02131 5.48305e-05 1.76283e-05 -0.00840752 9.31437e-06 1.10629e-06 1.57081
1.03372 5.39822e-05 1.82207e-05 -0.00840854 1.0555e-05 1.01047e-06 1.57081
1.04145 5.30198e-05 1.8863e-05 -0.00840963 9.15217e-06 1.38152e-06 1.57081
1.05297 5.19513e-05 1.94507e-05 -0.00841062 8.05467e-06 2.85744e-06 1.57081
1.06115 5.08605e-05 1.99556e-05 -0.00841161 7.70936e-06 2.58971e-06 1.57081
1.0741 4.86707e-05 2.10411e-05 -0.0084137 7.29286e-06 6.00916e-06 1.57081
1.08211 4.76149e-05 2.15816e-05 -0.00841482 7.17857e-06 6.06305e-06 1.57081
1.09393 4.65388e-05 2.20734e-05 -0.0084159 5.65704e-06 7.34692e-06 1.5708
1.1015 4.53691e-05 2.25654e-05 -0.008417 6.41329e-06 8.08399e-06 1.5708
1.11347 4.30068e-05 2.34536e-05 -0.00841929 7.89948e-06 1.12642e-05 1.5708
1.12193 4.18121e-05 2.37849e-05 -0.0084204 9.60668e-06 1.20543e-05 1.5708
1.13483 3.91276e-05 2.4263e-05 -0.00842245 1.01659e-05 9.59274e-06 1.57081
1.14191 3.7726e-05 2.43138e-05 -0.00842354 9.48905e-06 8.53679e-06 1.5708
1.15464 3.63185e-05 2.42322e-05 -0.00842455 9.41209e-06 9.85445e-06 1.5708
1.1617 3.49631e-05 2.4113e-05 -0.00842544 9.53711e-06 1.11831e-05 1.5708
1.17405 3.35784e-05 2.39938e-05 -0.00842625 1.01025e-05 1.11569e-05 1.5708
1.18281 3.21106e-05 2.38549e-05 -0.00842686 1.00556e-05 1.22402e-05 1.5708
1.19473 2.92133e-05 2.36385e-05 -0.00842817 1.23323e-05 1.44396e-05 1.57081
1.20245 2.7944e-05 2.35755e-05 -0.00842887 1.29866e-05 1.40668e-05 1.5708
1.21423 2.5411e-05 2.33206e-05 -0.00843007 1.41051e-05 1.04457e-05 1.57081
1.22243 2.41225e-05 2.31712e-05 -0.00843063 1.51257e-05 1.00873e-05 1.57081
1.2351 2.28311e-05 2.30915e-05 -0.00843106 1.59937e-05 8.57058e-06 1.57081
1.24259 2.15042e-05 2.30147e-05 -0.0084316 1.56131e-05 9.41486e-06 1.57081
