Time X Y Z Roll Pitch Yaw
8.30038 -0.00430575 0.000448468 0.0898901 0.000983719 0.0115988 -3.14132
8.30472 -0.00440392 0.000464598 0.0922833 0.000964808 0.0115669 -3.14132
8.30863 -0.00450292 0.000480948 0.0947117 0.000946232 0.0115351 -3.14132
8.31234 -0.00460273 0.000497502 0.0971753 0.000928263 0.0115037 -3.14132
8.31622 -0.00470335 0.000514249 0.0996744 0.000909883 0.0114721 -3.14132
8.32064 -0.00480483 0.000531176 0.102209 0.000891659 0.0114398 -3.14132
8.32466 -0.00490714 0.000548268 0.104779 0.000872745 0.0114063 -3.14132
8.33039 -0.00501027 0.00056551 0.107384 0.000852883 0.011371 -3.14132
8.33396 -0.00511418 0.000582905 0.110025 0.000833208 0.0113344 -3.14132
8.33693 -0.00521885 0.000600476 0.112702 0.000813849 0.011297 -3.14132
8.34124 -0.00532429 0.00061822 0.115414 0.000793821 0.0112589 -3.14132
8.34511 -0.00543046 0.000636124 0.118162 0.000773276 0.0112199 -3.14132
8.34867 -0.00553736 0.000654176 0.120945 0.00075372 0.0111797 -3.14132
8.35281 -0.00564498 0.000672349 0.123764 0.000733706 0.011139 -3.14132
8.35707 -0.00575332 0.000690625 0.126617 0.000712286 0.011099 -3.14132
8.3608 -0.00586235 0.000709009 0.129504 0.000690447 0.0110581 -3.14132
8.3648 -0.00597209 0.000727517 0.132425 0.000669358 0.0110157 -3.14132
8.36874 -0.00608253 0.000746172 0.135379 0.000648124 0.0109728 -3.14132
8.37301 -0.00619365 0.000764971 0.138366 0.000625352 0.0109298 -3.14132
8.37683 -0.00630547 0.000783887 0.141383 0.00060239 0.0108862 -3.14132
8.38195 -0.00641797 0.000802893 0.144432 0.00057958 0.0108416 -3.14133
8.38622 -0.0065311 0.000821989 0.147511 0.000557739 0.010795 -3.14133
8.38914 -0.00664481 0.000841182 0.150618 0.000537071 0.010746 -3.14133
8.39333 -0.00675647 4.66089e-05 0.157787 0.00051648 0.0106944 -3.14133
8.39716 -0.00687126 6.38809e-05 0.16096 0.00049541 0.0106401 -3.14133
8.40139 -0.00698666 8.12128e-05 0.164158 0.000474757 0.0105837 -3.14133
8.40524 -0.00710265 9.86177e-05 0.167383 0.000454229 0.0105257 -3.14133
8.40895 -0.0072192 0.000116096 0.170631 0.000432355 0.010466 -3.14133
8.41301 -0.0073363 0.000133641 0.173903 0.000410945 0.0104047 -3.14133
8.41724 -0.00745394 0.00015126 0.177197 0.0003906 0.0103426 -3.14134
8.42149 -0.00757212 0.000168945 0.180513 0.000369448 0.0102809 -3.14134
8.42553 -0.0076908 0.00018667 0.18385 0.000348238 0.0102208 -3.14134
8.43016 -0.00781 0.000204436 0.187208 0.00032768 0.0101614 -3.14134
8.43448 -0.0079297 0.000222262 0.190584 0.00030703 0.0101011 -3.14134
8.43941 -0.00804987 0.000240158 0.19398 0.000286654 0.0100391 -3.14134
8.44318 -0.00817048 0.000258113 0.197393 0.000266623 0.00997566 -3.14134
8.44571 -0.00829152 0.000276114 0.200823 0.000247044 0.00991138 -3.14134
8.44958 -0.00841299 0.000294171 0.204269 0.000229081 0.00984589 -3.14135
8.45354 -0.00853491 0.000312285 0.207731 0.000212268 0.00977821 -3.14135
8.45744 -0.00865729 0.000330434 0.211207 0.000195577 0.00970949 -3.14135
8.46137 -0.0087801 0.000348603 0.214697 0.000179117 0.00964054 -3.14135
8.46582 -0.00890389 0.000366798 0.2182 0.000163383 0.0095999 -3.14135
8.46944 -0.00902857 0.000385044 0.221715 0.000148783 0.00956089 -3.14135
8.47364 -0.00915283 0.000403347 0.225243 0.000135126 0.00949414 -3.14135
8.47744 -0.00927656 0.000421683 0.228781 0.000121393 0.00942731 -3.14135
8.48364 -0.00940028 0.000440034 0.23233 0.000106777 0.00935903 -3.14136
8.48624 -0.00952396 0.000458395 0.235888 9.23746e-05 0.00928809 -3.14136
8.49013 -0.00964761 0.000476764 0.239454 7.82187e-05 0.00921408 -3.14136
8.49396 -0.00977123 0.000495133 0.243029 6.45768e-05 0.00913806 -3.14136
8.49824 -0.00989419 0.000513515 0.246611 5.16668e-05 0.00901929 -3.14136
8.50199 -0.0100166 0.000531914 0.250199 3.75224e-05 0.00889898 -3.14136
8.50609 -0.0101398 0.000550301 0.253794 2.29241e-05 0.0088206 -3.14136
8.50996 -0.0102639 0.000568658 0.257393 8.83478e-06 0.00874378 -3.14136
8.51438 -0.0103888 0.000587 0.260998 -4.94989e-06 0.00869573 -3.14137
8.51803 -0.0105144 0.000605345 0.264608 -1.91237e-05 0.00865594 -3.14137
8.52208 -0.0106396 0.000623689 0.26822 -3.35412e-05 0.0085987 -3.14137
8.52606 -0.010764 0.000642021 0.271836 -4.73269e-05 0.00854307 -3.14137
8.5327 -0.0108884 0.000660335 0.275453 -6.11889e-05 0.00848588 -3.14137
8.53588 -0.0110126 0.000678627 0.279072 -7.47979e-05 0.00842793 -3.14138
8.539 -0.0111367 0.000696897 0.282691 -8.86767e-05 0.00836884 -3.14138
8.54342 -0.0111707 0.000232052 0.287913 -0.000102742 0.00830704 -3.14138
8.54814 -0.0112941 0.000249108 0.291536 -0.000115772 0.00824265 -3.14138
8.55052 -0.0114172 0.000266121 0.295157 -0.000128289 0.00817692 -3.14138
8.55466 -0.0115401 0.000283086 0.298776 -0.000140811 0.00810967 -3.14138
8.55824 -0.0116628 0.000299995 0.302393 -0.000152704 0.00804081 -3.14139
8.5625 -0.0117853 0.000316863 0.306007 -0.000163752 0.00797141 -3.14139
8.56643 -0.0119075 0.000333708 0.309618 -0.000175053 0.00790095 -3.14139
8.57076 -0.0120295 0.000350524 0.313225 -0.000187579 0.0078304 -3.14139
8.57444 -0.0121513 0.000367307 0.316829 -0.000200305 0.00776036 -3.14139
8.5789 -0.0122728 0.000384061 0.320428 -0.000212303 0.00769156 -3.1414
8.59068 -0.0126359 0.000433984 0.331195 -0.000248786 0.00749396 -3.1414
8.59493 -0.0127564 0.000450499 0.334774 -0.000261271 0.00743135 -3.14141
8.59866 -0.0128765 0.000466949 0.338346 -0.000274037 0.00737051 -3.14141
8.60261 -0.0129963 0.000483342 0.341913 -0.000286868 0.00730986 -3.14141
8.60661 -0.0131158 0.000499707 0.345472 -0.000299734 0.00724857 -3.14141
8.61106 -0.013235 0.000516051 0.349025 -0.000313204 0.00718758 -3.14142
8.6147 -0.0133538 0.000532346 0.352571 -0.000326731 0.00712697 -3.14142
8.61871 -0.0134723 0.000548576 0.35611 -0.000339863 0.00706664 -3.14142
8.62277 -0.0135904 0.000564738 0.359641 -0.000352597 0.00700704 -3.14142
8.62736 -0.0137082 0.00058083 0.363165 -0.000365397 0.00694805 -3.14142
8.63249 -0.0138255 0.00059685 0.366681 -0.000378205 0.00689115 -3.14143
8.63632 -0.0139425 0.000612824 0.370189 -0.000391722 0.006836 -3.14143
8.64074 -0.0140552 0.000628022 0.37369 -0.000405534 0.00678151 -3.14143
8.6458 -0.0140597 0.000619946 0.378082 -0.000418847 0.00672869 -3.14143
8.64762 -0.0141752 0.000635717 0.381567 -0.000431974 0.00667753 -3.14143
8.65115 -0.0142902 0.00065143 0.385043 -0.000443982 0.00662701 -3.14144
8.65523 -0.0144047 0.000667063 0.38851 -0.000456201 0.00657666 -3.14144
8.65955 -0.0145189 0.000682623 0.391969 -0.000468818 0.00652663 -3.14144
8.66311 -0.0146326 0.000698102 0.395418 -0.000480901 0.00647722 -3.14144
8.66727 -0.0147458 0.000713485 0.398858 -0.000492964 0.00642782 -3.14145
8.67189 -0.0148585 0.000728784 0.402289 -0.00050464 0.00637898 -3.14145
8.67589 -0.0149707 0.00074402 0.40571 -0.000516472 0.00633045 -3.14145
8.67933 -0.0150825 0.00075918 0.409122 -0.000528233 0.00628257 -3.14146
8.68559 -0.0151938 0.000774232 0.412523 -0.000539695 0.00623582 -3.14146
8.68835 -0.0153046 0.000789185 0.415915 -0.000550785 0.00618924 -3.14146
8.69152 -0.0154149 0.000804066 0.419296 -0.000561284 0.00614294 -3.14146
8.69536 -0.0155248 0.000818854 0.422666 -0.000571813 0.00609709 -3.14146
8.69924 -0.0156341 0.000833515 0.426025 -0.000582757 0.00605214 -3.14147
8.70328 -0.015743 0.00084805 0.429373 -0.000593673 0.00600783 -3.14147
8.70787 -0.0158514 0.000862483 0.432709 -0.000604058 0.00596364 -3.14147
8.71132 -0.0159593 0.000876825 0.436033 -0.000613915 0.00591998 -3.14147
8.7154 -0.0160667 0.000891072 0.439344 -0.000623796 0.00587604 -3.14148
8.71942 -0.0161735 0.000905211 0.442644 -0.000633946 0.00583098 -3.14148
8.72368 -0.0162798 0.000919234 0.445931 -0.000643901 0.00578606 -3.14148
8.72785 -0.0163857 0.000933147 0.449206 -0.000653474 0.00574279 -3.14148
8.73365 -0.016491 0.000946945 0.452468 -0.000662582 0.0056999 -3.14149
8.73645 -0.0165958 0.000960618 0.455717 -0.000671544 0.00565658 -3.14149
8.74111 -0.0167 0.000974171 0.458953 -0.000680662 0.0056143 -3.14149
8.74471 -0.0168038 0.000987602 0.462177 -0.000689657 0.00557348 -3.14149
8.74823 -0.016907 0.00100092 0.465387 -0.000698571 0.00553295 -3.1415
8.75218 -0.0170096 0.00101415 0.468584 -0.000706235 0.0054917 -3.1415
8.75637 -0.0171117 0.00102729 0.471768 -0.000712307 0.00545112 -3.1415
8.75995 -0.0172133 0.00104032 0.474939 -0.000719254 0.00541174 -3.1415
8.76393 -0.0173142 0.00105325 0.478097 -0.000726155 0.00537264 -3.1415
8.76795 -0.0174145 0.00106605 0.481242 -0.000731823 0.00533379 -3.14151
8.77211 -0.0175143 0.00107872 0.484375 -0.000737174 0.00529604 -3.14151
8.77604 -0.0176134 0.00109129 0.487496 -0.000742779 0.00526044 -3.14151
8.77994 -0.017712 0.00110374 0.490604 -0.000749016 0.00522636 -3.14151
8.78573 -0.0178099 0.00111605 0.493699 -0.000754302 0.00519314 -3.14151
8.78927 -0.0179073 0.00112821 0.496783 -0.000758898 0.00516128 -3.14151
8.79242 -0.0180042 0.00114023 0.499854 -0.000763666 0.00513048 -3.14151
8.79639 -0.0178879 0.00159407 0.50389 -0.000768901 0.00509969 -3.14152
8.80053 -0.0177904 0.00190078 0.507794 -0.00077506 0.00506887 -3.14152
8.80467 -0.0178845 0.00191391 0.510832 -0.000781414 0.00503882 -3.14152
8.80825 -0.0179779 0.00192692 0.513857 -0.000787252 0.00500878 -3.14152
8.8121 -0.0180707 0.00193984 0.51687 -0.000791889 0.00497832 -3.14152
8.8161 -0.0181629 0.00195267 0.51987 -0.000795934 0.00494669 -3.14152
8.82091 -0.0182544 0.00196541 0.522858 -0.000800057 0.0049135 -3.14153
