Time LX LY LZ
7.14408 1.4462e+07 1.4462e+07 1.4462e+07
7.24778 627.938 384.734 2147.36
7.34707 1606.48 4984.72 17554.1
7.4448 1613.69 5043.83 18061.2
7.64731 1626.49 5097.08 18539.2
7.65215 1643.04 5138.56 11915.6
7.74766 1660.76 5164.93 12315.4
7.84825 1679.03 5182.83 12670
7.95097 1614.8 4996.17 12844.1
8.05079 1631.14 4994.72 12992.2
8.20563 1646.51 4991.54 13101.3
8.30915 1661.79 4990.17 13216.1
8.5555 1680.04 4996.49 13348.3
8.75874 666.808 375.205 2710.96
8.76424 770.765 376.928 3927.37
8.90815 1395.81 4570.54 12316.7
8.91646 478.118 377.111 937.4
8.92762 493.895 378.686 975.789
9.16318 536.72 379.99 1216.45
9.17063 611.782 382.662 2010.16
9.21877 610.965 378.74 1973.38
9.56524 2425.21 9120.48 17217.4
9.57258 2440.34 9112.64 17307.4
9.62784 534.474 379.873 1380.81
9.81463 2633.19 10099.7 16397.1
9.91885 2635.81 10084.5 16427.4
9.9268 2639.55 10074.5 16458.4
9.93335 2643.89 10065.5 16488.2
9.97221 670.528 387.206 2758.31
10.1761 578.063 384.311 1742.19
10.2252 2913.57 12177.9 17356.4
10.2734 2920.89 12192.7 17396.5
10.3739 2483.09 10308.9 16154.2
10.4728 598.466 385.68 1795.42
10.5794 2541.52 10773.5 16500.7
10.6772 2546.17 10787.9 16522.5
10.8295 590.685 388.705 1860.35
10.8816 514.626 388.003 1075.94
10.979 2732.42 12607.2 17014.1
11.0787 680.267 390.892 2750.63
11.1809 2912.35 15392.7 18192.2
11.2792 2922.29 15476.5 18244.5
11.38 2933.28 15566.3 18305.5
11.5343 2945.93 15660.9 18376.7
11.5841 2959.17 15760.3 18449.6
11.6823 2971.95 15854.5 18520.2
11.8842 2983.92 15944.5 18582.9
11.8917 2995.46 16028.8 18644.1
11.9877 3006.94 16111.7 18701.4
12.0864 3017.94 16191.4 18756.8
12.1894 3028.03 16263.2 18809.7
12.2875 3037.6 16330.6 18858.9
12.3893 3047.32 16399.6 18906.9
12.4914 3056.26 16462.7 18952
12.5901 3063.87 16518.6 18989.1
12.6915 3070.98 16569.5 19023.2
