Time X Y Z Roll Pitch Yaw
1.0443 1.99835e-05 7.16564e-05 -0.00013971 0.000888766 0.000644467 1.57091
1.05947 2.00267e-05 7.04215e-05 -0.000138792 0.000889188 0.000645418 1.57091
1.06273 2.00651e-05 6.92508e-05 -0.00013785 0.000889327 0.000647091 1.57091
1.07596 2.01248e-05 6.67867e-05 -0.000135749 0.000889507 0.000647012 1.57091
1.08329 2.02669e-05 6.55126e-05 -0.000134695 0.000888845 0.000647127 1.57091
1.09935 2.04566e-05 6.41492e-05 -0.000133583 0.000888207 0.000647589 1.57091
1.10315 2.06659e-05 6.28508e-05 -0.000132378 0.00088789 0.000647299 1.57091
1.11558 2.09547e-05 6.07749e-05 -0.0001301 0.000889735 0.000648221 1.57091
1.12371 2.10386e-05 5.9948e-05 -0.000129121 0.000889765 0.00064753 1.57091
1.1405 2.10836e-05 5.90518e-05 -0.000128153 0.000890507 0.000646445 1.57091
1.14481 2.1048e-05 5.82191e-05 -0.000127147 0.000891183 0.000646734 1.57091
1.15634 2.12827e-05 5.64814e-05 -0.000124932 0.000891365 0.000647157 1.57091
1.16409 2.15194e-05 5.54821e-05 -0.000123927 0.000890242 0.000646479 1.57091
1.17992 2.1641e-05 5.44929e-05 -0.000122924 0.000890606 0.00064664 1.57091
1.18428 2.16871e-05 5.3577e-05 -0.000121903 0.000893031 0.000647284 1.5709
1.19629 2.18838e-05 5.21058e-05 -0.000120098 0.000893612 0.000644443 1.5709
1.20488 2.1915e-05 5.131e-05 -0.000119211 0.000891919 0.000645597 1.5709
1.21532 2.20723e-05 5.03654e-05 -0.000118225 0.000892526 0.000646604 1.5709
1.22426 2.23353e-05 4.93785e-05 -0.000117164 0.00089415 0.000647103 1.5709
1.23776 2.26323e-05 4.7785e-05 -0.000115128 0.000894262 0.000645268 1.5709
1.24542 2.27256e-05 4.68711e-05 -0.000114051 0.000893223 0.000643926 1.5709
1.26044 2.28881e-05 4.5898e-05 -0.000112957 0.000893122 0.000643469 1.5709
1.26468 2.30115e-05 4.50455e-05 -0.000112006 0.00089312 0.000643719 1.5709
1.27643 2.28867e-05 4.33423e-05 -0.000110348 0.00089234 0.000643874 1.57091
1.28452 2.27964e-05 4.24332e-05 -0.000109606 0.000893271 0.000643958 1.57091
1.30134 2.27652e-05 4.14367e-05 -0.000108846 0.000893887 0.000644003 1.57091
1.30529 2.27042e-05 4.04819e-05 -0.000108073 0.000894495 0.000645488 1.57091
1.3173 2.25513e-05 3.87655e-05 -0.00010644 0.000894104 0.000643968 1.57091
1.32509 2.26115e-05 3.78569e-05 -0.000105644 0.000894211 0.000643097 1.57091
1.34205 2.2681e-05 3.69571e-05 -0.000104789 0.000894605 0.000642714 1.57091
1.34636 2.27045e-05 3.61428e-05 -0.000103954 0.000894314 0.000643858 1.57091
1.35768 2.26622e-05 3.4684e-05 -0.000102343 0.000895301 0.000643225 1.57091
1.36576 2.25871e-05 3.39582e-05 -0.000101605 0.000894395 0.000643394 1.57091
1.38141 2.23913e-05 3.32066e-05 -0.000100956 0.00089383 0.000642845 1.57091
1.38525 2.21784e-05 3.24741e-05 -0.00010037 0.000893047 0.000644018 1.57091
1.39766 2.19134e-05 3.0928e-05 -9.986e-05 0.000894025 0.000646085 1.57091
1.4057 2.17308e-05 3.01151e-05 -9.98028e-05 0.000894614 0.000646962 1.57091
1.42139 2.14277e-05 2.92905e-05 -9.9807e-05 0.000893064 0.000648367 1.57091
1.42546 2.11811e-05 2.85786e-05 -9.9908e-05 0.000893452 0.000648874 1.57092
1.43875 2.08621e-05 2.70977e-05 -0.000100182 0.000895672 0.000647909 1.57092
1.44714 2.06627e-05 2.62609e-05 -0.000100313 0.000897773 0.000646872 1.57092
1.46201 2.03707e-05 2.53595e-05 -0.000100347 0.000898359 0.000644712 1.57092
1.46596 2.01076e-05 2.46446e-05 -0.000100377 0.000898796 0.000644253 1.57091
1.47812 1.95522e-05 2.36356e-05 -0.000100439 0.000898326 0.000644591 1.57091
1.48595 1.91939e-05 2.32364e-05 -0.000100522 0.000897826 0.000645214 1.57091
1.50224 1.87031e-05 2.27797e-05 -0.000100559 0.000898249 0.00064477 1.57091
1.50694 1.82304e-05 2.24012e-05 -0.000101256 0.000897774 0.000644823 1.57091
1.51836 1.73545e-05 2.18341e-05 -0.000102577 0.000898064 0.0006455 1.57091
1.52657 1.68423e-05 2.1492e-05 -0.000103198 0.000898505 0.000646376 1.57091
1.54435 1.63187e-05 2.1075e-05 -0.000103839 0.000897872 0.000645767 1.57091
1.54779 1.58644e-05 2.07741e-05 -0.000104495 0.000898766 0.000645017 1.57091
1.55908 1.52343e-05 2.05129e-05 -0.0001057 0.000896664 0.000644784 1.57092
1.56674 1.49228e-05 2.03362e-05 -0.000106289 0.000897417 0.000645033 1.57092
1.57826 1.45592e-05 1.99859e-05 -0.000106858 0.000897258 0.000645405 1.57092
1.58716 1.40132e-05 1.96767e-05 -0.00010745 0.00089906 0.000645311 1.57092
1.59974 1.27649e-05 1.95692e-05 -0.000108689 0.000899811 0.000644453 1.57091
1.6074 1.2167e-05 1.95953e-05 -0.000109297 0.000900467 0.000643411 1.57092
1.62351 1.15559e-05 1.95292e-05 -0.000109906 0.000899397 0.000641913 1.57091
1.62728 1.0921e-05 1.95117e-05 -0.000110437 0.000899119 0.000640743 1.57091
1.6403 9.65553e-06 1.9744e-05 -0.000111503 0.000898113 0.000638847 1.57091
1.64896 8.9684e-06 1.97531e-05 -0.000112169 0.000900518 0.000639478 1.57092
1.66365 8.22113e-06 1.97285e-05 -0.000112886 0.000900229 0.000637472 1.57092
1.66805 7.51712e-06 1.97931e-05 -0.000113646 0.000901293 0.000636733 1.57092
1.67949 6.20425e-06 2.00072e-05 -0.000115254 0.000901126 0.000635954 1.57092
1.68768 5.57479e-06 2.01072e-05 -0.000116011 0.000900388 0.000636022 1.57091
1.70392 4.85927e-06 2.01586e-05 -0.000116745 0.000900075 0.000636082 1.57091
1.70806 4.14235e-06 2.03547e-05 -0.000118134 0.000899361 0.000637323 1.57091
1.71997 3.05857e-06 2.08157e-05 -0.000120505 0.00090156 0.000635914 1.57092
1.72855 2.6137e-06 2.0955e-05 -0.00012156 0.000901038 0.000635695 1.57092
1.74557 2.15029e-06 2.10976e-05 -0.000122465 0.000901514 0.000634525 1.57091
1.75026 1.76281e-06 2.13284e-05 -0.00012331 0.000901147 0.000632754 1.57091
1.76061 1.46433e-06 2.19592e-05 -0.000124778 0.000900579 0.000634024 1.57091
1.76859 1.33468e-06 2.21381e-05 -0.000125457 0.000900105 0.000632929 1.57091
1.78443 1.23821e-06 2.21448e-05 -0.000126095 0.000898743 0.000631424 1.57092
1.78847 1.24521e-06 2.22424e-05 -0.000126757 0.00089805 0.00063176 1.57092
1.80125 1.26359e-06 2.25678e-05 -0.000128039 0.000896302 0.000631669 1.57092
1.8091 1.2586e-06 2.28171e-05 -0.000128697 0.000897198 0.000631751 1.57092
1.82499 1.35875e-06 2.29885e-05 -0.000129294 0.000897666 0.00063175 1.57092
1.8291 1.61461e-06 2.31881e-05 -0.000129771 0.000896926 0.000631844 1.57092
1.84257 2.36154e-06 2.36976e-05 -0.000130661 0.000895301 0.000632356 1.57092
1.8508 2.84384e-06 2.3934e-05 -0.00013108 0.000896671 0.000633633 1.57092
1.86556 3.34096e-06 2.41286e-05 -0.00013144 0.000896047 0.000632343 1.57091
1.8693 3.86853e-06 2.4273e-05 -0.000131887 0.000895163 0.000632191 1.57091
1.88139 5.11304e-06 2.45642e-05 -0.000133034 0.000896446 0.000634271 1.57091
1.88975 5.78315e-06 2.47026e-05 -0.000133567 0.000896207 0.000634099 1.57091
1.90613 6.51066e-06 2.47192e-05 -0.00013415 0.000895511 0.000633314 1.57091
1.9096 7.26565e-06 2.47158e-05 -0.0001348 0.000896198 0.000634111 1.57091
1.92154 8.81461e-06 2.48333e-05 -0.000136472 0.000896645 0.000635013 1.57091
1.92952 9.58352e-06 2.4855e-05 -0.000137355 0.000897064 0.000634262 1.57091
1.94661 1.03486e-05 2.4784e-05 -0.00013828 0.000897083 0.000633004 1.57091
1.95111 1.10871e-05 2.48444e-05 -0.000139298 0.000895832 0.000630952 1.57091
1.96223 1.25764e-05 2.49757e-05 -0.000141332 0.000896362 0.000629165 1.57091
1.97054 1.32999e-05 2.50436e-05 -0.000142393 0.000895653 0.000629078 1.57091
1.98642 1.39802e-05 2.50962e-05 -0.000143393 0.000895222 0.000629443 1.57091
1.99019 1.46342e-05 2.51758e-05 -0.000144308 0.000896944 0.000628205 1.57091
2.00259 1.57087e-05 2.53204e-05 -0.000145784 0.000894931 0.000627482 1.57091
2.01039 1.62721e-05 2.53705e-05 -0.000146495 0.000894276 0.00062811 1.57091
2.02659 1.68666e-05 2.53996e-05 -0.000147279 0.000893069 0.000627606 1.57091
2.03027 1.74721e-05 2.55409e-05 -0.000148068 0.000892409 0.00062738 1.57091
2.04311 1.86622e-05 2.60946e-05 -0.000149369 0.000892761 0.000626018 1.5709
2.05251 1.92359e-05 2.65624e-05 -0.000149921 0.000892543 0.000625969 1.5709
2.06748 1.97655e-05 2.71119e-05 -0.000150343 0.000892855 0.000627367 1.57091
2.07089 2.02119e-05 2.75849e-05 -0.000150765 0.000892113 0.000626348 1.57091
2.08335 2.09432e-05 2.81975e-05 -0.000151496 0.000890916 0.000625926 1.57091
2.09099 2.1302e-05 2.84252e-05 -0.000151923 0.000890445 0.00062518 1.57091
2.1073 2.16432e-05 2.86844e-05 -0.000152472 0.000892171 0.000626309 1.57091
2.11158 2.18724e-05 2.90294e-05 -0.000153085 0.00089204 0.000626514 1.57091
2.12245 2.19925e-05 2.94585e-05 -0.000153702 0.000890999 0.000627941 1.57091
2.13152 2.20619e-05 2.99283e-05 -0.000154228 0.000890146 0.000626656 1.57091
2.1488 2.19308e-05 3.0669e-05 -0.000154994 0.000890969 0.000622355 1.57091
2.15258 2.1929e-05 3.10212e-05 -0.000155284 0.000891914 0.000623011 1.57091
2.16408 2.19535e-05 3.1591e-05 -0.000155631 0.000891665 0.000621004 1.57091
2.17145 2.19891e-05 3.18923e-05 -0.000155857 0.000890338 0.000620031 1.5709
2.18742 2.20067e-05 3.21629e-05 -0.000156075 0.0008886 0.0006194 1.57091
2.19145 2.1969e-05 3.24847e-05 -0.00015615 0.000888151 0.000618656 1.57091
2.20386 2.17016e-05 3.32242e-05 -0.000156283 0.000887556 0.000618552 1.57091
2.21199 2.1411e-05 3.35215e-05 -0.000156366 0.000887795 0.000618694 1.57091
2.22803 2.11093e-05 3.37954e-05 -0.000156462 0.000887182 0.000618536 1.5709
2.23107 2.07812e-05 3.4076e-05 -0.000156612 0.000887277 0.000618521 1.5709
