Time X Y Z Roll Pitch Yaw
7.14907 -0.00202439 -0.000172044 nan -2.60482e-05 -0.00966588 3.14154
7.15313 -0.00206735 -0.000172771 nan -2.93746e-05 -0.00963943 3.14154
7.15772 -0.00211175 -0.000174067 nan -3.29898e-05 -0.00961137 3.14154
7.16115 -0.00215661 -0.00017536 nan -3.7011e-05 -0.00957944 3.14154
7.16514 -0.00220187 -0.000176624 nan -4.17765e-05 -0.00954385 3.14154
7.16924 -0.00224754 -0.000177858 nan -4.63186e-05 -0.0095053 3.14154
7.17362 -0.0022936 -0.000179062 nan -5.05212e-05 -0.00946475 3.14154
7.17731 -0.00234004 -0.000180248 nan -5.52189e-05 -0.00942349 3.14154
7.18395 -0.00238686 -0.000181425 nan -6.02505e-05 -0.00938199 3.14154
7.19464 -0.00252958 -0.000184845 nan -8.02783e-05 -0.00925855 3.14154
7.19769 -0.00257797 -0.000185957 nan -8.86688e-05 -0.00921792 3.14154
7.20202 -0.00262664 -0.000187068 nan -9.79374e-05 -0.00917691 3.14155
7.20551 -0.00267564 -0.000188173 nan -0.00010664 -0.00913483 3.14155
7.20938 -0.00272499 -0.00018925 nan -0.000114485 -0.00909227 3.14155
7.21326 -0.00277467 -0.000190296 nan -0.000121785 -0.00904879 3.14155
7.218 -0.00282518 -0.000191318 nan -0.000128308 -0.00901752 3.14154
7.22149 -0.00287644 -0.000192282 nan -0.000135 -0.00898956 3.14154
7.22557 -0.00292725 -0.000193242 nan -0.000141293 -0.00895222 3.14154
7.2294 -0.00297744 -0.000194208 nan -0.000146734 -0.00891478 3.14154
7.23596 -0.0030275 -0.000195116 nan -0.000152165 -0.00887621 3.14155
7.23897 -0.00307746 -0.000195988 nan -0.000157381 -0.008836 3.14155
7.24195 -0.00312731 -0.000196853 nan -0.000162675 -0.0087933 3.14155
7.24615 -0.00354555 0.000465921 nan -0.000168515 -0.00874792 3.14155
7.25044 -0.00360414 0.000482682 nan -0.000173489 -0.00864178 3.14155
7.25379 -0.00365354 0.000484039 nan -0.000178962 -0.00853403 3.14155
7.25802 -0.00370406 0.000485117 nan -0.00018569 -0.00851852 3.14155
7.26177 -0.00375591 0.000486288 nan -0.000192588 -0.00850597 3.14155
7.26711 -0.00380715 0.000487422 nan -0.000199334 -0.00846395 3.14155
7.27017 -0.00385766 0.000488539 nan -0.000206908 -0.0084243 3.14155
7.27404 -0.00390744 0.000489703 nan -0.000215083 -0.00836232 3.14155
7.27804 -0.00395657 0.000490884 nan -0.00022388 -0.00829563 3.14155
7.28485 -0.00400687 0.00049215 nan -0.000233632 -0.00828688 3.14155
7.2867 -0.00405838 0.000493545 nan -0.000243732 -0.00827346 3.14155
7.29102 -0.00410857 0.000494952 nan -0.000253324 -0.00815304 3.14155
7.29616 -0.00415738 0.000496349 nan -0.000262979 -0.00803174 3.14155
7.2991 -0.00420747 0.000497855 nan -0.000273697 -0.00803149 3.14155
7.30248 -0.00425886 0.000499473 nan -0.0002839 -0.00802616 3.14155
7.30615 -0.00430945 0.000501085 nan -0.000293927 -0.00795728 3.14155
7.31022 -0.0043591 0.000502726 nan -0.000303967 -0.00788791 3.14155
7.31447 -0.00440849 0.000504455 nan -0.00031316 -0.00781406 3.14155
7.31841 -0.00445759 0.000506239 nan -0.000321581 -0.0077349 3.14155
7.32239 -0.00450639 0.000508078 nan -0.000328615 -0.00765218 3.14155
7.32606 -0.00455485 0.000509976 nan -0.000335146 -0.0075686 3.14155
7.33075 -0.004603 0.000511924 nan -0.000341478 -0.00748553 3.14155
7.33653 -0.00465084 0.000513901 nan -0.000348344 -0.0074041 3.14155
7.3395 -0.00469837 0.0005159 nan -0.000355912 -0.0073253 3.14156
7.34263 -0.00474559 0.000517938 nan -0.000362368 -0.00724871 3.14156
7.34787 -0.00659049 0.00138992 nan -0.000368551 -0.00717417 3.14156
7.35064 -0.00668416 0.00141509 nan -0.000374386 -0.00710163 3.14156
7.35469 -0.00673578 0.00142006 nan -0.000380218 -0.00702997 3.14156
7.35877 -0.00678601 0.0014246 nan -0.000386363 -0.00695777 3.14156
7.36319 -0.0068358 0.00142918 nan -0.000392591 -0.00688575 3.14156
7.3667 -0.00688518 0.00143382 nan -0.000398586 -0.00681398 3.14156
7.37063 -0.00693414 0.00143851 nan -0.000404823 -0.00674186 3.14156
7.37451 -0.00698267 0.00144326 nan -0.000412164 -0.00666979 3.14156
7.3792 -0.00703075 0.00144808 nan -0.000420678 -0.00659734 3.14156
7.3837 -0.00707839 0.00145294 nan -0.000430089 -0.00652427 3.14156
7.38887 -0.00712558 0.00145784 nan -0.000440403 -0.00645119 3.14156
7.39233 -0.0071723 0.00146277 nan -0.000451092 -0.00637917 3.14156
7.39622 -0.00721854 0.00146777 nan -0.000461519 -0.00630772 3.14156
7.3995 -0.00726427 0.00147286 nan -0.000471153 -0.00623613 3.14156
7.40305 -0.00730949 0.00147804 nan -0.000480403 -0.00616453 3.14156
7.40688 -0.00735417 0.00148329 nan -0.000489217 -0.00609317 3.14156
7.41139 -0.00739829 0.00148864 nan -0.000496202 -0.00602239 3.14156
7.4152 -0.00744189 0.00149407 nan -0.000501591 -0.00595154 3.14156
7.41913 -0.00748494 0.00149957 nan -0.000505929 -0.00588147 3.14156
7.42325 -0.00752742 0.00150514 nan -0.000509311 -0.00581239 3.14156
7.42753 -0.0075693 0.00151078 nan -0.000511211 -0.00574429 3.14156
7.43128 -0.00761059 0.00151652 nan -0.000511624 -0.00567812 3.14156
7.43681 -0.00765128 0.00152238 nan -0.000511916 -0.00561322 3.14156
7.43996 -0.00769136 0.00152832 nan -0.00051285 -0.00555013 3.14156
7.4439 -0.00772859 0.00153458 nan -0.00051359 -0.00548937 3.14156
