Time X Y Z Roll Pitch Yaw
7.14532 -0.00017077 -0.00198085 0.0704758 -2.28813e-05 0.00969159 -1.57074
7.1489 -0.000172044 -0.00202439 0.0726123 -2.60482e-05 0.00966588 -1.57074
7.15278 -0.000173348 -0.00206839 0.0747838 -2.93746e-05 0.00963943 -1.57075
7.15732 -0.000174663 -0.00211283 0.0769904 -3.29898e-05 0.00961137 -1.57075
7.16082 -0.000175959 -0.00215769 0.0792323 -3.7011e-05 0.00957944 -1.57075
7.16481 -0.000177227 -0.00220297 0.0815095 -4.17765e-05 0.00954385 -1.57075
7.16888 -0.000178463 -0.00224865 0.083822 -4.63186e-05 0.0095053 -1.57075
7.17331 -0.00017967 -0.00229472 0.0861699 -5.05212e-05 0.00946475 -1.57075
7.17696 -0.00018086 -0.00234116 0.0885534 -5.52189e-05 0.00942349 -1.57075
7.1828 -0.000182039 -0.002388 0.0909725 -6.02505e-05 0.00938199 -1.57075
7.19434 -0.000185473 -0.0025308 0.0984435 -8.02783e-05 0.00925855 -1.57075
7.19736 -0.000186585 -0.00257914 0.101005 -8.86688e-05 0.00921792 -1.57075
7.20153 -0.000187699 -0.00262782 0.103602 -9.79374e-05 0.00917691 -1.57075
7.20521 -0.000188807 -0.00267683 0.106236 -0.00010664 0.00913483 -1.57075
7.20905 -0.000189886 -0.00272619 0.108904 -0.000114485 0.00909227 -1.57075
7.21295 -0.000190934 -0.00277588 0.111609 -0.000121785 0.00904879 -1.57075
7.21783 -0.000191958 -0.0028264 0.114349 -0.000128308 0.00901752 -1.57075
7.22118 -0.000192948 -0.00287769 0.117125 -0.000135 0.00898956 -1.57075
7.2252 -0.000193906 -0.00292848 0.119935 -0.000141293 0.00895222 -1.57075
7.22909 -0.00019484 -0.00297866 0.12278 -0.000146734 0.00891478 -1.57075
7.23561 -0.000195739 -0.00302872 0.125659 -0.000152165 0.00887621 -1.57075
7.23863 -0.000196602 -0.00307867 0.128571 -0.000157381 0.008836 -1.57075
7.24164 -0.00019746 -0.00312853 0.131516 -0.000162675 0.0087933 -1.57075
7.24566 0.000481516 -0.00355575 0.132746 -0.000168515 0.00874792 -1.57075
7.25001 0.000482495 -0.00360562 0.135749 -0.000173489 0.00864178 -1.57075
7.25344 0.000483509 -0.0036548 0.138781 -0.000178962 0.00853403 -1.57075
7.25773 0.000484577 -0.00370533 0.141842 -0.00018569 0.00851852 -1.57075
7.26145 0.00048569 -0.00375722 0.144932 -0.000192588 0.00850597 -1.57075
