Time LX LY LZ
8.48596 1.4462e+07 1.4462e+07 1.4462e+07
8.49377 366.237 503.672 1063.95
8.58678 5877.1 1745.78 16697.6
8.69044 5918.57 1753.7 16891.3
8.7918 5943.31 1766.08 17075.7
8.89003 5955.77 1781.06 17305.6
9.09159 5955.82 1796.75 17725
9.0975 5950.17 1813.02 15699.8
9.19536 5946.86 1830.07 16231.1
9.34693 5951.41 1849.06 16560.9
9.44844 5940.25 1864.79 16810.3
9.49896 5923.46 1879.15 17053.1
9.64821 368.179 395.432 371.559
9.74808 6011.82 2327.15 14542.1
9.80066 5989.22 2336.49 14798.2
9.8997 370.265 399.879 382.287
10.0014 6155.02 2848.98 15405.4
10.1034 375.496 493.333 896.049
10.3577 377.536 470.277 767.888
10.3681 383.399 619.508 2003.98
10.6029 380.348 511.672 1025.56
10.6104 382.194 635.739 2018.55
10.6186 383.908 539.506 1376.61
10.7602 386.159 627.628 2127.95
10.8098 12547.2 4375.85 19239.7
10.9075 12530 4376.67 19268.5
11.0107 387.684 693.759 2997.11
11.1089 386.64 592.173 1902.44
11.2141 14792 4647.57 20041.8
11.3133 14783.8 4651.39 20069.3
11.4112 14777.4 4655.79 20096.1
11.5658 14774.5 4661.01 20123.5
11.6157 14780.2 4667.99 20155.3
11.7152 12848.1 4138.97 18876.9
11.8166 390.044 600.127 1962.56
11.9186 391.361 719.086 3307.36
12.0196 390.387 608.825 2068.5
12.2182 16080.5 4532.08 20157.9
12.2261 16110.9 4538.55 20178.7
12.3191 16142.8 4545.32 20200.4
12.5228 391.73 653.545 2511.23
12.5308 17256.5 4654.08 20683.2
12.6237 17308.7 4660.21 20704.2
12.7227 17349.9 4665.51 20742.1
12.8238 17388.8 4671.78 20788.8
12.9226 17426 4678.33 20825.2
13.0235 17467.1 4685.11 20853
13.1252 17509.7 4691.72 20878.8
13.2257 17550.8 4697.97 20904.4
13.3263 17587.2 4703.61 20929.9
13.5808 17624.3 4709.42 20957.4
13.5927 17659.6 4715.14 20985.7
13.6318 17693.2 4720.82 21013.8
13.7819 17726 4726.42 21042.3
13.8316 17757.3 4731.97 21071.5
13.932 17790.3 4737.91 21102.1
14.0328 394.262 701.16 2711.14
14.1841 19046.1 4982.22 22259.2
14.2376 19085.6 4989.52 22297.2
14.3355 19128.2 4997.31 22337.7
14.538 19173.4 5005.25 22375.8
14.5474 19220.8 5013.35 22413.3
14.6366 19273.1 5021.97 22450.3
14.7408 19330.5 5030.96 22486.9
14.8391 19392.1 5040.36 22524.8
14.9418 19455.4 5050.01 22566.6
15.0979 19522.2 5060.23 22611.4
15.3678 19596.4 5071.66 22662.3
15.3798 19676.4 5084 22717.4
15.4 19758.6 5096.69 22774.5
16.1814 19912.3 5120.9 22885.9
16.2179 20010.4 5135.96 22953.9
16.2441 20115.4 5152.2 23027.5
16.3853 20227.2 5169.6 23105.5
16.5809 20411.3 5198.8 23239.4
16.5904 20488 5210.44 23294.1
16.6028 20632.8 5232.95 23400.4
16.616 20788.7 5257.24 23515.8
16.6306 20957 5283.55 23641.5
16.6443 21129 5310.3 23772.2
16.728 21304 5337.44 23905.6
16.7741 21483.1 5365.44 24046.9
16.8754 21662.7 5393.75 24192.2
16.9715 21846 5422.89 24340.3
17.1714 22040.2 5454.86 24508.8
17.2215 22242.5 5488.17 24689.5
17.3238 22449.4 5395.17 24783.8
17.4186 22668.3 5430.91 24990.3
17.5175 22893.1 5468.79 25217.8
17.6231 23123.3 5508.08 25462.1
17.7265 25716.9 5548.05 23355
17.8231 25987.9 5589.26 23585.3
17.92 22276.9 5400.76 23951.3
18.0218 22555.1 5441.51 24137.1
18.1743 22834.5 5484.58 24346.8
18.2733 23126.8 5530.47 24579
18.4268 23425.5 5578.66 24836
18.4358 23721.2 5628.41 25122.1
18.5269 23678 5642.64 25119.8
18.6242 24004.1 5694.74 25410.2
18.7781 24327.6 5749.23 25737.3
18.8283 26087.7 5804.24 24640.9
18.9282 26471.8 5860.04 24937.3
19.028 26880.6 5917.81 25231.6
19.1281 26951.5 5943.51 25387.4
19.2277 27443.1 6010.97 25725.8
19.4327 27985.9 6080.35 26054.9
19.4419 28574.7 6151.52 26375.1
19.5336 29192.9 6223.58 26688.9
19.6863 29825.6 6296.11 26998
19.7886 30484.9 6368.72 27298.6
19.8348 31148.8 6440.28 27595.2
19.9369 31809.5 6510.58 27881.8
20.0405 394.681 771.371 2848.22
20.1372 33393.6 6652.91 28753.6
20.3031 34162.8 6731.11 29061.6
20.403 393.149 781.172 2836.83
20.5988 34000.3 6706.38 29619.7
20.6076 34922.3 6794.62 29982.4
20.6449 35904.3 6887.74 30364
20.7489 36965.7 6985.08 30763.6
20.8467 38083.9 7086.32 31178.9
20.9447 39241.9 7189.55 31602.6
21.1976 36216.5 6947.69 30532.5
21.2091 393.118 875.697 3492.51
21.2501 38542.1 7171.83 31591.3
21.4064 39766.2 7280.44 32047.6
21.4524 38820.4 7244.4 32206.4
21.5507 40165.6 7361.01 32722.6
21.6498 41639.3 7485.72 33274.8
21.7529 43240.4 7617.37 33856.4
21.9518 43142.5 7591.95 34052.1
21.9591 42396.9 7575.83 34039.3
22.0535 44260.7 7720.05 34688.9
22.1573 391.598 1023.09 4001.1
22.2552 50894.8 8285.2 36887.2
22.3581 53493 8468.73 37707.4
22.5597 56383.3 8665.82 38590.5
22.6142 44527.8 7959.22 34761.8
22.6613 47026.8 8161.92 35613
22.7599 39538.4 7600.92 32307.3
22.9094 41718.2 7796.48 33129.1
22.9593 36686.4 7128.33 29964.6
23.0631 391.802 844.266 2093.87
23.2653 393.811 697.848 1260.95
23.2738 391.604 863.179 1993.77
23.3647 23957.4 5531.33 25781.9
23.4655 16875.6 4333.77 21356.7
23.6175 17729.9 4445.26 21841.1
23.6715 18639.8 4560.74 22356.6
23.7729 18834.7 4547.37 22826.2
23.8726 388.812 952.631 2296.79
23.9735 18877 4478.13 23042
24.0748 19855.4 4587.51 23562.4
24.2249 19908.6 4576.03 24027.1
24.3334 386.796 1081.78 2917.53
24.3788 388.589 914.253 1901.37
24.478 21801.1 4788.53 25120.5
24.5761 23098.3 4921.12 25747.1
24.7818 24525.6 5062.18 26411.8
24.7913 391.008 761.743 1184.06
24.8821 386.792 1106.16 2730.02
24.9834 386.45 1130.71 2634.82
25.1821 30744.3 5832.91 29229.1
25.2901 32741.8 6012.02 30024.8
25.2974 34997 6206.47 30881.4
25.4368 37558.7 6418.61 31808.8
25.49 29193.6 5685.37 30269.6
25.5906 27085.1 5566.67 30012.2
25.6889 29033 5749.38 31257.5
25.8886 33008.4 5948.71 30875.2
25.8962 35455.1 6162.12 32472
25.9905 38197.3 6256.24 33794.7
26.0929 33539.9 5999.85 31321.1
26.2429 383.949 1042.4 1824.49
26.2917 384.175 1053.45 1867.78
26.4493 19186.6 4549.54 25361.5
26.498 12459.9 3913.77 20300.4
26.5949 13508.2 4048.29 21024.4
26.7007 383.628 971.878 1493.32
26.7965 13924.6 4201.31 22082
26.8971 15141.7 4351.55 22899.4
26.9985 14558.3 4298.58 21930
27.0994 15882.3 4449.28 22735.2
27.2009 381.702 1142.41 1734.14
27.3009 19997 4845.7 24972
27.4503 380.385 1113.81 1734.05
27.6126 373.445 1610.45 2988.9
27.6267 26705.7 5863.06 29533
27.7119 16074 4898.65 26242.6
27.8665 17948.4 5092.2 27683.7
27.9156 16890.8 4840.95 26194.1
28.0078 19021.3 5021.51 27648.5
28.1087 21480.9 5209.6 29250.8
28.2619 24324.4 5403.56 31046.9
28.413 21295 5240.91 28929
28.4198 12775.2 4959.64 23675.2
28.5631 11413.5 5080.71 23121.7
28.6133 12729.7 5310.88 24654.7
28.7125 14240.3 5562.07 26396.7
28.8176 15959.6 5836.11 28386.1
28.9147 16877.7 6050.08 28716.6
29.0241 317.287 317.287 2864.98
29.1228 19852.4 35302.6 41290
29.2838 22276.2 36038.6 43395.7
29.3761 1007.58 314.798 3802.99
29.4708 320.895 817.985 3470.6
29.5269 318.228 1188.78 5175.65
29.6243 316.016 1053.42 3153.09
