Time X Y Z Roll Pitch Yaw
0.204669 8.0704e-06 1.63957e-06 0.299634 -6.20013e-06 1.63945e-05 4.95743e-06
0.224603 7.8298e-06 1.55123e-06 0.299652 -5.90566e-06 1.55924e-05 4.95744e-06
0.244388 7.60098e-06 1.46722e-06 0.299669 -5.62563e-06 1.48297e-05 4.95744e-06
0.264696 7.38339e-06 1.38733e-06 0.299686 -5.35932e-06 1.41044e-05 4.95745e-06
0.284359 7.17645e-06 1.31135e-06 0.299701 -5.10607e-06 1.34147e-05 4.95745e-06
0.303764 6.97966e-06 1.23909e-06 0.299716 -4.86523e-06 1.27587e-05 4.95746e-06
0.324766 6.79252e-06 1.17038e-06 0.29973 -4.63619e-06 1.21349e-05 4.95746e-06
0.344591 6.61454e-06 1.10504e-06 0.299743 -4.41837e-06 1.15416e-05 4.95747e-06
0.363913 6.44529e-06 1.04289e-06 0.299756 -4.21123e-06 1.09774e-05 4.95747e-06
0.384035 6.28433e-06 9.83796e-07 0.299768 -4.01425e-06 1.04409e-05 4.95747e-06
0.403728 6.13127e-06 9.27595e-07 0.299779 -3.82691e-06 9.9307e-06 4.95748e-06
0.426501 5.9857e-06 8.74149e-07 0.29979 -3.64876e-06 9.44548e-06 4.95748e-06
0.443952 5.84727e-06 8.23322e-07 0.299801 -3.47934e-06 8.98404e-06 4.95748e-06
0.463682 5.71562e-06 7.74986e-07 0.29981 -3.31823e-06 8.54522e-06 4.95748e-06
0.484673 5.59042e-06 7.29019e-07 0.29982 -3.16501e-06 8.1279e-06 4.95748e-06
0.5049 5.47137e-06 6.85305e-07 0.299829 -3.01929e-06 7.73104e-06 4.95749e-06
0.5246 5.35814e-06 6.43733e-07 0.299837 -2.88072e-06 7.35362e-06 4.95749e-06
0.543885 5.25046e-06 6.04199e-07 0.299845 -2.74895e-06 6.99471e-06 4.95749e-06
0.565978 5.14807e-06 5.66602e-07 0.299853 -2.62363e-06 6.65338e-06 4.95749e-06
0.588255 5.05069e-06 5.30848e-07 0.29986 -2.50445e-06 6.32878e-06 4.95749e-06
0.606721 4.95808e-06 4.96847e-07 0.299867 -2.39111e-06 6.02009e-06 4.95749e-06
0.627258 4.87001e-06 4.64511e-07 0.299874 -2.28333e-06 5.72653e-06 4.95749e-06
0.646688 4.78626e-06 4.33761e-07 0.29988 -2.18083e-06 5.44736e-06 4.9575e-06
0.666639 4.70661e-06 4.04517e-07 0.299886 -2.08335e-06 5.18186e-06 4.9575e-06
0.68811 4.63087e-06 3.76707e-07 0.299892 -1.99066e-06 4.92938e-06 4.9575e-06
0.706554 4.55883e-06 3.5026e-07 0.299897 -1.9025e-06 4.68928e-06 4.9575e-06
0.728083 4.49033e-06 3.25109e-07 0.299902 -1.81866e-06 4.46094e-06 4.9575e-06
0.747023 4.43796e-06 3.05879e-07 0.299906 -1.75456e-06 4.28635e-06 4.9575e-06
0.766801 4.36324e-06 2.78445e-07 0.299912 -1.66312e-06 4.03729e-06 4.9575e-06
0.78742 4.31587e-06 2.61053e-07 0.299915 -1.60515e-06 3.8794e-06 4.9575e-06
0.807211 4.24829e-06 2.36242e-07 0.29992 -1.52245e-06 3.65415e-06 4.9575e-06
0.828435 4.20545e-06 2.20514e-07 0.299923 -1.47002e-06 3.51135e-06 4.9575e-06
0.847226 4.14434e-06 1.98075e-07 0.299928 -1.39523e-06 3.30764e-06 4.9575e-06
0.866933 4.1056e-06 1.8385e-07 0.299931 -1.34781e-06 3.1785e-06 4.9575e-06
0.888392 4.05033e-06 1.63557e-07 0.299935 -1.28017e-06 2.99426e-06 4.9575e-06
0.907292 4.01529e-06 1.50693e-07 0.299938 -1.23729e-06 2.87747e-06 4.9575e-06
0.927286 3.9653e-06 1.3234e-07 0.299941 -1.17611e-06 2.71085e-06 4.9575e-06
0.946923 3.93362e-06 1.20706e-07 0.299944 -1.13733e-06 2.60523e-06 4.9575e-06
0.967343 3.88841e-06 1.04108e-07 0.299947 -1.08201e-06 2.45454e-06 4.9575e-06
0.987862 3.85975e-06 9.35861e-08 0.299949 -1.04694e-06 2.35901e-06 4.9575e-06
1.0072 3.83222e-06 8.34788e-08 0.299951 -1.01324e-06 2.26725e-06 4.9575e-06
1.02767 3.79295e-06 6.90596e-08 0.299954 -9.65182e-07 2.13634e-06 4.9575e-06
1.04768 3.75598e-06 5.54842e-08 0.299957 -9.19931e-07 2.0131e-06 4.9575e-06
1.0676 3.73831e-06 4.89974e-08 0.299958 -8.98309e-07 1.9542e-06 4.9575e-06
1.08927 3.70453e-06 3.6596e-08 0.299961 -8.56972e-07 1.84161e-06 4.9575e-06
1.10791 3.67273e-06 2.49204e-08 0.299963 -8.18054e-07 1.73561e-06 4.9575e-06
1.12867 3.65754e-06 1.93414e-08 0.299964 -7.99458e-07 1.68496e-06 4.9575e-06
1.14847 3.62849e-06 8.67551e-09 0.299967 -7.63906e-07 1.58813e-06 4.9575e-06
1.16794 3.60114e-06 -1.36619e-09 0.299969 -7.30434e-07 1.49696e-06 4.9575e-06
1.18907 3.5838e-06 -7.73202e-09 0.29997 -7.09215e-07 1.43917e-06 4.9575e-06
1.20855 3.56714e-06 -1.3847e-08 0.299971 -6.88832e-07 1.38365e-06 4.9575e-06
1.22938 3.55114e-06 -1.97211e-08 0.299972 -6.69252e-07 1.33033e-06 4.9575e-06
1.24899 3.52101e-06 -3.07839e-08 0.299975 -6.32377e-07 1.22989e-06 4.9575e-06
1.26898 3.50683e-06 -3.59905e-08 0.299976 -6.15022e-07 1.18262e-06 4.9575e-06
1.28959 3.49321e-06 -4.0992e-08 0.299977 -5.9835e-07 1.13721e-06 4.9575e-06
1.30913 3.47693e-06 -4.69676e-08 0.299978 -5.78432e-07 1.08296e-06 4.9575e-06
1.3297 3.46146e-06 -5.26504e-08 0.299979 -5.5949e-07 1.03137e-06 4.9575e-06
1.34946 3.44674e-06 -5.80546e-08 0.29998 -5.41476e-07 9.82303e-07 4.9575e-06
1.36968 3.43274e-06 -6.3194e-08 0.299981 -5.24345e-07 9.35644e-07 4.9575e-06
1.3899 3.41684e-06 -6.90299e-08 0.299982 -5.04893e-07 8.82661e-07 4.9575e-06
1.40988 3.40188e-06 -7.45242e-08 0.299983 -4.86578e-07 8.32779e-07 4.9575e-06
1.43088 3.40188e-06 -7.45242e-08 0.299983 -4.86578e-07 8.32779e-07 4.9575e-06
1.45007 3.38779e-06 -7.96971e-08 0.299985 -4.69336e-07 7.85816e-07 4.9575e-06
1.46992 3.37239e-06 -8.53507e-08 0.299986 -4.50491e-07 7.34487e-07 4.9575e-06
1.49061 3.35804e-06 -9.06202e-08 0.299987 -4.32926e-07 6.86646e-07 4.9575e-06
1.51055 3.35804e-06 -9.06202e-08 0.299987 -4.32926e-07 6.86646e-07 4.9575e-06
1.53138 3.34466e-06 -9.55318e-08 0.299988 -4.16555e-07 6.42055e-07 4.9575e-06
