Time X Y Z Roll Pitch Yaw
0.0640754 1.81211e-05 2.79072e-05 -0.00785865 -2.44971e-05 -1.13232e-05 1.57078
0.0885555 1.75184e-05 2.77276e-05 -0.00786789 -2.46323e-05 -9.86142e-06 1.57078
0.0915732 1.68402e-05 2.75347e-05 -0.00787713 -2.54619e-05 -8.89361e-06 1.57078
0.102197 1.61467e-05 2.72972e-05 -0.00788625 -2.59035e-05 -7.28668e-06 1.57078
0.109457 1.54377e-05 2.70017e-05 -0.00789524 -2.75349e-05 -6.70266e-06 1.57078
0.121955 1.4055e-05 2.63016e-05 -0.00791304 -2.67742e-05 -7.55936e-06 1.57078
0.129612 1.33916e-05 2.59146e-05 -0.00792214 -2.5821e-05 -6.93329e-06 1.57078
0.141447 1.28378e-05 2.55501e-05 -0.00793123 -2.46705e-05 -5.59265e-06 1.57078
0.149318 1.2324e-05 2.52154e-05 -0.00794022 -2.55803e-05 -6.1807e-06 1.57078
0.161113 1.14636e-05 2.45451e-05 -0.00795813 -2.40882e-05 -5.70084e-06 1.57078
0.169793 1.11321e-05 2.42129e-05 -0.00796696 -2.40175e-05 -6.66783e-06 1.57079
0.187659 1.08781e-05 2.3859e-05 -0.00797573 -2.4543e-05 -7.19815e-06 1.57079
0.193198 1.05888e-05 2.34607e-05 -0.00798465 -2.35983e-05 -6.68609e-06 1.57078
0.204726 9.99926e-06 2.25099e-05 -0.00800197 -2.45252e-05 -6.05442e-06 1.57078
0.213928 9.75877e-06 2.18866e-05 -0.00801048 -2.4335e-05 -5.5919e-06 1.57078
0.22403 9.55325e-06 2.12353e-05 -0.00801879 -2.46527e-05 -4.77369e-06 1.57078
0.232785 9.36994e-06 2.06089e-05 -0.00802684 -2.4159e-05 -3.84779e-06 1.57078
0.244347 8.84398e-06 1.95605e-05 -0.00804274 -2.36618e-05 -2.64464e-06 1.57079
0.252271 8.65975e-06 1.91218e-05 -0.00805052 -2.23136e-05 -3.21487e-06 1.57079
0.264672 8.29687e-06 1.85653e-05 -0.00806578 -2.08747e-05 -2.23968e-06 1.57079
0.273233 8.09894e-06 1.82897e-05 -0.00807322 -2.05061e-05 -2.64978e-06 1.57079
0.284734 7.89856e-06 1.80039e-05 -0.00808064 -2.09067e-05 -3.12454e-06 1.57079
0.292021 7.71771e-06 1.7651e-05 -0.00808794 -2.10162e-05 -4.35467e-06 1.57079
0.304006 7.31102e-06 1.70517e-05 -0.00810223 -2.01983e-05 -4.81887e-06 1.57079
0.312193 7.15015e-06 1.67904e-05 -0.00810909 -2.01634e-05 -6.5464e-06 1.57079
0.325086 7.00249e-06 1.64926e-05 -0.0081159 -1.9698e-05 -9.1644e-06 1.57079
0.332213 6.86377e-06 1.61207e-05 -0.00812275 -2.00615e-05 -8.16244e-06 1.57079
0.344743 6.60511e-06 1.55826e-05 -0.00813611 -2.05034e-05 -8.07007e-06 1.57079
0.351801 6.56789e-06 1.5323e-05 -0.00814264 -2.04275e-05 -9.19965e-06 1.57079
0.363885 6.65579e-06 1.49334e-05 -0.00814902 -2.14407e-05 -9.20137e-06 1.57079
0.372968 6.9245e-06 1.45388e-05 -0.00815536 -2.25739e-05 -9.66123e-06 1.57079
0.384475 7.84776e-06 1.36977e-05 -0.0081678 -2.04961e-05 -7.41894e-06 1.57079
0.392499 8.41878e-06 1.33071e-05 -0.0081738 -2.00996e-05 -6.76802e-06 1.57079
0.403699 9.00486e-06 1.29066e-05 -0.00817967 -2.10672e-05 -6.81698e-06 1.57079
0.41173 9.5864e-06 1.25228e-05 -0.00818545 -2.15987e-05 -5.27232e-06 1.57079
0.425386 1.06273e-05 1.16912e-05 -0.00819658 -2.43632e-05 -5.27696e-06 1.57079
0.432218 1.10849e-05 1.11575e-05 -0.00820202 -2.66541e-05 -5.83313e-06 1.57079
0.443927 1.15478e-05 1.06515e-05 -0.0082073 -2.6392e-05 -6.51017e-06 1.57079
0.451747 1.20305e-05 1.00834e-05 -0.00821257 -2.68079e-05 -5.64778e-06 1.57079
0.463961 1.24843e-05 9.39202e-06 -0.00821783 -2.59682e-05 -6.52789e-06 1.57079
0.473618 1.30065e-05 8.65482e-06 -0.008223 -2.48759e-05 -8.38576e-06 1.57079
0.484746 1.40655e-05 7.1938e-06 -0.00823312 -2.42626e-05 -8.84216e-06 1.57079
0.491991 1.45624e-05 6.45485e-06 -0.00823823 -2.35298e-05 -7.8587e-06 1.57079
0.504939 1.5898e-05 5.13227e-06 -0.0082481 -2.08068e-05 -7.11134e-06 1.57079
0.511977 1.65511e-05 4.60015e-06 -0.00825294 -1.90401e-05 -8.17416e-06 1.57079
0.525089 1.71892e-05 4.15497e-06 -0.00825767 -1.95681e-05 -7.95139e-06 1.57079
0.532445 1.77493e-05 3.69431e-06 -0.00826242 -1.97405e-05 -8.81771e-06 1.57079
0.54392 1.83159e-05 3.2981e-06 -0.00826707 -2.01482e-05 -9.46126e-06 1.57079
0.552728 1.89803e-05 2.97736e-06 -0.00827163 -2.02366e-05 -9.6983e-06 1.57079
0.566062 2.03388e-05 2.47805e-06 -0.00828081 -1.86742e-05 -8.99466e-06 1.57079
0.577504 2.09412e-05 2.17352e-06 -0.00828536 -1.80435e-05 -1.01749e-05 1.57079
0.588326 2.1777e-05 1.93162e-06 -0.00828973 -1.68546e-05 -1.12232e-05 1.57079
0.594936 2.26921e-05 1.71153e-06 -0.00829418 -1.81293e-05 -1.105e-05 1.57079
0.606753 2.45596e-05 1.14139e-06 -0.00830287 -1.74632e-05 -1.06248e-05 1.57079
0.615198 2.54562e-05 7.54022e-07 -0.00830689 -1.5952e-05 -1.02431e-05 1.57079
0.627413 2.62234e-05 3.78617e-07 -0.00831071 -1.51366e-05 -8.68139e-06 1.57079
0.634982 2.69279e-05 2.9355e-08 -0.00831442 -1.5122e-05 -9.34132e-06 1.57079
0.646854 2.82392e-05 -5.65292e-07 -0.00832187 -1.63262e-05 -7.748e-06 1.57079
0.654834 2.88021e-05 -8.90224e-07 -0.00832542 -1.69465e-05 -7.30326e-06 1.57079
0.666783 2.93193e-05 -1.19166e-06 -0.00832884 -1.64222e-05 -4.76417e-06 1.57079
