Time X Y Z Roll Pitch Yaw
8.49053 0.00143864 -0.00494035 nan 8.77435e-05 -0.00700357 -1.57097
8.49313 0.00106191 -0.00611528 nan 6.98658e-05 -0.00687295 -1.57097
8.497 0.000900363 -0.00617659 nan 5.11316e-05 -0.00680433 -1.57096
8.50107 0.000810565 -0.0062385 nan 3.27689e-05 -0.00673758 -1.57096
8.5055 0.000753397 -0.00630093 nan 1.53316e-05 -0.00671534 -1.57096
8.509 0.000713812 -0.00636378 nan -2.19404e-06 -0.00669914 -1.57095
8.51303 0.000684795 -0.00642567 nan -1.97373e-05 -0.00664721 -1.57095
8.51695 0.000662638 -0.00648653 nan -3.72767e-05 -0.00659568 -1.57095
8.52176 0.000645196 -0.00654695 nan -5.44606e-05 -0.00654058 -1.57095
8.52549 0.000631128 -0.00660689 nan -7.20334e-05 -0.00648046 -1.57095
8.53102 0.000619569 -0.00666635 nan -8.98581e-05 -0.00641553 -1.57094
8.53491 0.000609941 -0.00672532 nan -0.000106581 -0.00634696 -1.57094
8.5418 0.000601839 -0.0067838 nan -0.000122626 -0.00627586 -1.57094
8.54221 0.000594969 -0.0068418 nan -0.000138814 -0.00620431 -1.57094
8.54532 0.000589108 -0.00689932 nan -0.000155482 -0.00613302 -1.57093
8.54943 0.000584086 -0.00695632 nan -0.00017293 -0.0060617 -1.57093
8.55381 0.000792433 -0.00701279 nan -0.000189262 -0.00599022 -1.57093
8.5574 0.000809935 -0.00706873 nan -0.000204697 -0.00591838 -1.57093
8.56145 0.000827411 -0.00712352 nan -0.000219999 -0.00580982 -1.57093
8.56534 0.000844861 -0.00717722 nan -0.000234899 -0.00570075 -1.57092
8.56958 0.00086228 -0.00723117 nan -0.000248937 -0.00562921 -1.57092
8.57342 0.000879688 -0.00728543 nan -0.000262325 -0.00556009 -1.57092
8.57913 0.000897077 -0.00733998 nan -0.000275779 -0.00552329 -1.57091
8.58272 0.000914413 -0.00739475 nan -0.000289926 -0.00549265 -1.57091
8.58564 0.00078429 -0.00750497 nan -0.000304449 -0.00543846 -1.57091
8.58967 0.000698875 -0.00818153 nan -0.000318289 -0.00538553 -1.5709
8.59339 0.000715429 -0.00823494 nan -0.000332289 -0.00533063 -1.5709
