Time X Y Z Roll Pitch Yaw
8.48679 -0.00488123 0.00143175 0.21264 0.000106267 0.00713558 -3.14142
8.49011 -0.00494035 0.00145209 0.216075 8.77437e-05 0.00700357 -3.14142
8.49267 -0.00611528 0.000526045 0.222425 6.98657e-05 0.00687295 -3.14142
8.49665 -0.00617659 0.00054399 0.225883 5.11315e-05 0.00680433 -3.14143
8.50066 -0.0062385 0.000561928 0.229348 3.27687e-05 0.00673758 -3.14143
8.50512 -0.00630093 0.000579856 0.23282 1.53315e-05 0.00671534 -3.14143
8.50865 -0.00636378 0.000597771 0.236297 -2.19391e-06 0.00669914 -3.14143
8.51273 -0.00642567 0.000615661 0.239779 -1.97373e-05 0.00664721 -3.14144
8.51663 -0.00648653 0.000633512 0.243266 -3.72765e-05 0.00659568 -3.14144
8.52114 -0.00654695 0.00065131 0.246756 -5.44608e-05 0.00654058 -3.14144
8.5251 -0.00660689 0.000669066 0.25025 -7.20336e-05 0.00648046 -3.14144
8.53043 -0.00666635 0.000686796 0.253746 -8.98585e-05 0.00641553 -3.14145
8.53432 -0.00672532 0.000704498 0.257245 -0.000106581 0.00634696 -3.14145
8.54123 -0.0067838 0.000722161 0.260746 -0.000122626 0.00627586 -3.14145
8.54189 -0.0068418 0.000739781 0.264248 -0.000138814 0.00620431 -3.14145
8.545 -0.00689932 0.000757359 0.267752 -0.000155482 0.00613302 -3.14145
8.54906 -0.00695632 0.000774907 0.271255 -0.000172931 0.0060617 -3.14146
8.5534 -0.00701279 0.000792433 0.274759 -0.000189262 0.00599022 -3.14146
8.5571 -0.00706873 0.000809935 0.278262 -0.000204697 0.00591838 -3.14146
8.56103 -0.00712352 0.000827411 0.281765 -0.000219999 0.00580982 -3.14146
8.56503 -0.00717722 0.000844861 0.285266 -0.000234899 0.00570075 -3.14147
8.56933 -0.00723117 0.00086228 0.288766 -0.000248937 0.00562921 -3.14147
8.57302 -0.00728543 0.000879688 0.292264 -0.000262325 0.00556009 -3.14147
8.57865 -0.00733998 0.000897077 0.29576 -0.000275779 0.00552329 -3.14148
8.58199 -0.00739475 0.000914413 0.299254 -0.000289926 0.00549265 -3.14148
8.58535 -0.00750497 0.00078429 0.302831 -0.000304449 0.00543846 -3.14148
8.58936 -0.00818153 0.000698875 0.307192 -0.000318289 0.00538553 -3.14148
8.59304 -0.00823494 0.000715429 0.310677 -0.000332289 0.00533063 -3.14149
8.59692 -0.00828772 0.000731925 0.314158 -0.000345867 0.00527301 -3.14149
8.60132 -0.00833986 0.000748348 0.317634 -0.000358431 0.00521349 -3.14149
8.60515 -0.00839134 0.000764699 0.321105 -0.000370562 0.0051522 -3.1415
8.60909 -0.00844218 0.000781001 0.32457 -0.00038274 0.00508914 -3.1415
8.61308 -0.00849234 0.000797235 0.328028 -0.000395058 0.00502449 -3.1415
8.6174 -0.00854183 0.000813386 0.33148 -0.000408016 0.00495921 -3.1415
8.62152 -0.00859065 0.000829469 0.334925 -0.00041983 0.00489358 -3.1415
8.62683 -0.00863882 0.00084546 0.338362 -0.000430742 0.0048274 -3.1415
8.6304 -0.00868633 0.000861338 0.341792 -0.000441766 0.0047608 -3.14151
8.63496 -0.00873312 0.00087712 0.345213 -0.000452833 0.00469422 -3.14151
8.63905 -0.0087792 0.000892835 0.348626 -0.00046401 0.00462908 -3.14151
8.64192 -0.00882456 0.000908474 0.352031 -0.000474847 0.00456561 -3.14151
8.64615 -0.00886919 0.000924026 0.355427 -0.000486155 0.00450359 -3.14152
8.65019 -0.00891308 0.0009395 0.358815 -0.00049656 0.00444347 -3.14152
8.65386 -0.00895622 0.000954885 0.362193 -0.000506143 0.00438388 -3.14152
8.65784 -0.00899863 0.000970165 0.365561 -0.000516117 0.00432629 -3.14152
8.66232 -0.00904029 0.000985348 0.36892 -0.00052567 0.00427112 -3.14153
8.66601 -0.00908117 0.00100044 0.372269 -0.00053478 0.0042157 -3.14153
8.66982 -0.00912126 0.00101547 0.375608 -0.000543825 0.00416137 -3.14153
8.67374 -0.00916057 0.00103043 0.378937 -0.000553242 0.00410755 -3.14153
8.67973 -0.00919912 0.00104532 0.382255 -0.000563179 0.00405325 -3.14154
8.68331 -0.00923687 0.00106011 0.385563 -0.000572565 0.00400033 -3.14154
8.68612 -0.00927383 0.0010748 0.38886 -0.000581457 0.0039479 -3.14154
8.69027 -0.0101065 0.00136816 0.393102 -0.00058991 0.00389489 -3.14154
8.69419 -0.0101436 0.00138325 0.39638 -0.00059725 0.00384284 -3.14155
8.69804 -0.0101798 0.00139824 0.399646 -0.000603689 0.00379111 -3.14155
8.70209 -0.0102153 0.00141313 0.402902 -0.000610085 0.00373945 -3.14155
8.70591 -0.0102499 0.00142791 0.406146 -0.00061626 0.00368847 -3.14156
8.70995 -0.0102837 0.00144259 0.409378 -0.000622057 0.00363739 -3.14156
8.71406 -0.0103167 0.00145716 0.412599 -0.000627501 0.00358698 -3.14156
8.71778 -0.0103488 0.00147163 0.415808 -0.000633834 0.00353787 -3.14156
8.7218 -0.0103802 0.00148599 0.419005 -0.000640805 0.00348939 -3.14157
8.73558 -0.0104692 0.0015283 0.428521 -0.000661743 0.00335061 -3.14157
8.74064 -0.0104972 0.00154216 0.431667 -0.000669638 0.00330535 -3.14157
8.74276 -0.0105243 0.00155589 0.4348 -0.000678062 0.00326036 -3.14158
8.74646 -0.0105505 0.00156952 0.437918 -0.000687101 0.00321625 -3.14158
8.75026 -0.0105759 0.00158303 0.441022 -0.00069669 0.00317181 -3.14158
8.75416 -0.0106004 0.00159641 0.444111 -0.000705567 0.00312762 -3.14158
8.75853 -0.0106239 0.00160968 0.447185 -0.000713325 0.00308354 -3.14159
8.76231 -0.0106466 0.00162285 0.450244 -0.000720055 0.00303969 -3.14159
8.76638 -0.0106683 0.00163592 0.453287 -0.00072725 0.00299734 -3.14159
8.77025 -0.0106885 0.00164887 0.456314 -0.000735228 0.00291196 -3.14159
8.77505 -0.0107073 0.00166169 0.459324 -0.000743204 0.00282634 3.14159
8.78012 -0.010726 0.00167437 0.462319 -0.000751776 0.0027844 3.14159
8.78354 -0.0107447 0.00168694 0.465298 -0.000760236 0.0027451 3.14159
8.78662 -0.0107634 0.0016994 0.46826 -0.000769074 0.00275164 3.14159
8.79137 -0.0119549 0.00185533 0.471938 -0.000777834 0.00276216 3.14158
8.79473 -0.0119744 0.00186787 0.474869 -0.000785956 0.00273423 3.14158
8.79859 -0.0119924 0.00188029 0.477784 -0.000792587 0.00270493 3.14158
8.80268 -0.0120094 0.0018926 0.480683 -0.000798151 0.00266982 3.14158
8.80703 -0.0120254 0.00190478 0.483566 -0.000804029 0.0026274 3.14157
8.81084 -0.0120404 0.00191684 0.486433 -0.000809471 0.00258145 3.14157
8.81473 -0.0120544 0.00192876 0.489285 -0.000813958 0.00253354 3.14157
8.81873 -0.0120674 0.00194056 0.492121 -0.00081804 0.00248525 3.14156
8.82371 -0.0120795 0.00195224 0.494941 -0.000822621 0.00243956 3.14156
8.82927 -0.0120905 0.00196376 0.497746 -0.000827097 0.00239741 3.14156
8.83132 -0.0121006 0.00197514 0.500536 -0.000830296 0.00235872 3.14156
8.83544 -0.0121097 0.00198638 0.503311 -0.000833224 0.00232295 3.14156
8.84033 -0.0121179 0.00199747 0.50607 -0.000836053 0.00228987 3.14155
8.84451 -0.012125 0.0020084 0.508815 -0.000839033 0.00225951 3.14155
8.84714 -0.0121312 0.00201918 0.511546 -0.000842841 0.00223067 3.14155
8.85109 -0.0121363 0.00202984 0.514261 -0.000847981 0.00220237 3.14155
8.85573 -0.0121403 0.00204038 0.516962 -0.000854691 0.00217451 3.14154
8.85912 -0.0121434 0.00205078 0.519649 -0.000861667 0.00214604 3.14154
8.86313 -0.0121454 0.00206106 0.522322 -0.000868274 0.00211591 3.14154
8.86696 -0.0121463 0.00207123 0.52498 -0.000874324 0.0020853 3.14154
8.87157 -0.0121461 0.00208127 0.527625 -0.00087998 0.00205464 3.14154
8.87506 -0.0121449 0.00209117 0.530256 -0.000885339 0.00202486 3.14153
8.88116 -0.0121427 0.00210094 0.532873 -0.000890238 0.00199629 3.14153
8.88481 -0.0121394 0.00211058 0.535477 -0.000894666 0.00196786 3.14153
