Time LX LY LZ
8.35412 1.4462e+07 1.4462e+07 1.4462e+07
8.45684 986.952 385.168 6327.45
8.55279 3442.52 9972.36 33032.8
8.75421 3448.18 10350.9 34177.9
8.81226 2850.09 8301.27 33376.9
8.90363 2878.11 8512.49 34059.2
8.95876 2909.29 8687.43 34857.6
9.05928 2942.53 8829.69 35864.8
9.15743 2975.29 8939.57 21225.8
9.26269 2592.17 7233.67 22000.9
9.41198 2618.87 7353.01 22826.9
9.46291 2637.66 7419.65 23463.5
9.5605 2661.7 7501.42 24049.4
9.66332 2692.71 7606.38 24660
9.81388 880.001 381.531 5457.49
9.86527 2912.74 9731.74 28325.5
9.9655 567.557 384.747 1468
10.0663 523.822 384.952 1116.83
10.1746 527.314 379.395 1207.14
10.3669 5448.02 12573 34336.6
10.3735 526.39 382.071 1194.01
10.5218 749.635 382.002 3295.09
10.6195 4331.42 11730.6 26874.9
10.6741 600.863 379.521 1865.27
10.8699 4511.85 14671.5 28508.5
10.9256 599.987 387.108 1825.97
10.9733 801.376 383.188 4142.91
11.0742 4873.77 17592.3 31087.9
11.1743 606.509 389.645 1724.12
11.2755 710.329 390.348 2699.54
11.3744 5095.76 18820.9 33613.4
11.4776 548.232 389.663 1201.25
11.579 616.253 386.43 1741.04
11.6812 5464.99 22719.8 35640.5
11.7795 5506.39 22949.4 36267.5
11.8891 5552.29 23209.6 36900.3
11.9821 689.658 389.048 2290.52
12.0809 5679.74 25615.9 39107.9
12.1839 5734.53 25965 39726.9
12.2826 5795.61 26375.8 40468.1
12.3824 5856.57 26834.1 41041
12.4857 610.439 384.385 1550.1
12.584 6054.63 28602.2 41703
12.6858 6121.55 29115 41923.3
12.786 6186.73 29610.4 42077.2
12.9402 6248.73 30076.1 42178.1
12.9911 799.669 383.733 4203.1
13.0887 709.249 384.619 2997.82
13.1896 838.687 386.066 4625.83
13.3419 7057.86 39756.6 44417.5
13.3904 7092.4 40078.9 44512.4
13.4933 7122.14 40382.7 44722.3
13.5926 7139.74 40311.8 44763.9
13.6924 7162.69 40646.2 45368.1
13.9002 7186.05 41011 46367.8
13.9068 7214.76 41418.5 47924.7
13.9981 7250.92 41870.2 50234.8
14.0958 7292.12 42336.2 53459.2
14.1979 7339.67 42819.1 57680.5
14.2992 7390.59 43297.3 62852.4
14.3991 7442.45 43755.7 68780.8
14.5014 7492.5 44173.8 75118.1
14.6013 7537.86 44530.2 81446.9
14.7001 7577.3 44820.1 87414.3
14.8501 7610.86 45046 92825.7
14.9557 7638.79 45217.4 97597.7
15.0042 7660.68 45337.6 101724
15.1066 7679.77 45416.9 105300
15.2092 7696.26 45469.6 108392
15.3069 7711.99 45511.4 111076
15.4139 7726.84 45548.5 113434
15.5144 7740.99 45583 115521
15.7411 7754.28 45613.2 117375
15.9196 7767.08 45637.8 119047
15.9538 7779.37 45655.9 120571
16.7031 7796.14 45576.5 121647
16.7485 7815.84 45684.5 123456
16.759 7836.98 45761 124865
16.77 7863.32 45860.5 126186
16.7834 7896.47 46009 127493
16.8011 7931.25 46193.7 128747
16.8106 7971.37 46409.7 129995
16.9938 8016.29 46656.8 131240
17.0036 1142.79 396.369 9070.41
17.0872 9277.9 55484.2 140691
17.2292 9350.31 55905.7 141922
17.3623 9426.58 56359.9 143152
17.4126 9511.24 56866.2 144467
17.5097 9613.82 57457.3 145777
17.6089 9729.39 58162.7 147258
17.7101 9849.08 58953 148822
17.8128 9975.93 59821 150438
18.1158 10110.6 60759.9 152140
18.1255 10251.1 61767.3 153943
18.1342 10395.5 62824.8 155818
18.2137 10548 63930.5 157771
18.3185 10706.8 65076.2 159793
18.4133 10869.4 66253.8 161930
18.5149 11060.8 67505.3 164069
18.6157 11264.7 68865.1 166432
18.7162 11477.8 70319.3 168924
18.8159 11700.8 71851.5 171522
18.9161 11936.3 73468.2 174274
19.0201 12178.9 75163.8 177137
19.1176 12428.2 76908.2 180049
19.2728 12690 78717.3 183105
19.3212 10959.3 66796.2 176947
19.4699 11185.6 68326.1 180069
19.5239 11427.6 69946.2 183174
19.624 11705.8 71729.8 186991
19.7248 12005.5 73685.8 191062
19.8269 723.684 391.2 2789.56
19.9237 12516.5 78671.2 202207
20.0292 12872.4 81069.7 207161
20.1289 13252.4 83602 212420
20.2303 716.301 388.995 2548.19
20.3359 14308.9 90796.3 224832
20.5868 14784.6 93789.8 231140
20.5988 791.422 389.662 3193.31
20.6382 14627.3 83744.6 238304
20.7391 673.731 390.676 1865.54
20.8325 15548.8 82187.6 254408
20.9319 14848.9 75170.6 234798
21.0872 15556.8 78438 244784
21.1338 15741.4 75859.7 254181
21.234 15804.6 64910.3 240008
21.3408 16647.7 67904.7 252343
21.486 17548.4 265554 71018.4
21.5389 18112.9 268139 73258.2
21.6373 19181 284622 76863.3
21.7899 698.398 388.804 1894.8
21.9387 22015 324066 85581.7
21.9461 23380 345097 90128.8
22.0428 809.653 381.815 2746.1
22.1442 26503.5 376752 96567.8
22.245 27950 379998 97244.9
22.3957 1337.26 395.696 6555.55
22.4459 30995.1 525746 116602
22.5525 28019.2 537039 95742
22.6464 29648.3 588385 100585
22.7454 31434.5 645004 105843
22.8474 33396.4 701574 111501
22.9502 700.631 397.32 1351.04
23.0486 11360.4 76019.6 213410
23.1525 10769.4 65605.5 211459
23.2504 961.859 382.247 3311.98
23.3514 11779 78381.9 236255
23.5048 11295.5 52566 183020
23.6041 11892.6 55269.5 192832
23.6587 818.679 395.279 1766.15
23.8087 13450.2 63620.7 219129
23.8599 14321.7 67514.2 67514.2
23.9595 15010.6 69614.1 69614.1
24.0629 15414.6 72804 72804
24.1614 16590.3 267015 77796.7
24.3213 17803.1 285039 82788
24.3642 19278.5 306634 88584.3
24.4675 20930.8 329094 94864.9
24.5646 22811.3 351108 101795
24.7242 1192.02 391.677 4019.48
24.772 1159.95 389.956 3623.15
24.868 896.004 391.861 1790.93
25.0202 19128 339609 88651.5
25.1162 20848.5 348488 89018.9
25.2253 23076.2 99105.6 99105.6
25.2731 1150.55 388.43 3151.4
25.3737 1065.89 389.6 2591.85
25.6713 28430.1 2.50545e+06 148146
25.682 20893.7 2.20591e+06 132247
25.6899 10454.2 42885.8 147659
25.7753 10980.8 46596.8 46596.8
25.8744 12134.8 183214 51116.6
25.9762 1375.72 378.393 3969.06
26.133 988.803 390.439 1871.66
26.2265 12327.2 54853.5 164106
26.3291 13626.6 60731.4 60731.4
26.3823 1079.84 384.111 2209.7
26.5339 17175.9 234905 78507
26.5803 12270.4 212290 70364.8
26.7309 13692.5 241693 79966.9
26.8299 1115.18 390.088 2115.43
27.1336 18190.2 307111 108203
27.1419 1018.35 384.921 1788.23
27.1513 26222.3 3.10952e+06 157715
27.1885 31951.7 4.96869e+06 188428
27.2908 39655.7 2.32548e+07 226325
27.3881 44350.8 6.5181e+07 259135
27.4901 44957.7 3.4427e+08 271874
27.5962 55534.5 7.86526e+09 312797
27.7454 69779.8 1.48423e+12 342708
27.7914 88322.7 1.29133e+09 425889
27.8933 9758.36 58478.9 58478.9
27.9927 11455.1 965234 69719.3
28.094 13756.2 84197.1 84197.1
28.2406 15306.6 3.9709e+06 97675.5
28.3015 18195.8 112858 112858
28.4001 5303.06 4.14934e+07 254740
28.5076 3504.39 400.104 5071.46
28.6438 3504.39 400.104 5071.46
28.6988 3504.39 400.104 5071.46
28.7997 3504.39 400.104 5071.46
28.8995 3504.39 400.104 5071.46
29.0011 3504.39 400.104 5071.46
29.1117 296.225 746.953 3294.22
29.2093 242.22 549.417 3571.32
29.3622 289.183 514.526 1897.78
29.6035 479.53 4663.38 23571.7
29.6604 309.469 623.683 2322.47
29.7592 447.319 4534.37 24220.2
29.8601 420.282 4165.75 23183.7
29.9632 992.76 3159.14 3159.14
30.063 448.449 4091.92 23954.1
30.1641 251.85 633.596 3693.24
30.2645 439.107 3646.76 23283.4
30.3753 285.94 562.482 1991.32
30.4733 191.589 430.053 1374.1
30.567 217.124 491.661 1881.08
30.6685 452.525 3446.53 23273.6
30.8273 203.032 918.975 4250.92
30.872 207.872 796.302 3510.51
30.9728 122.478 407.864 1227.28
31.074 185.145 706.826 4950.95
31.1749 177.35 712.835 4757.14
31.2752 163.367 709.362 4430.17
31.3776 203.02 516.614 1726.79
31.479 175.158 554.895 2208.55
31.5803 210.063 770.702 2944.65
31.6776 1849.9 13592.2 50930.6
31.7832 1899.76 14102 52019.8
31.9303 1948.14 14601 53099.4
32.0336 1991.95 15063.4 54106.1
32.0867 276.037 681.479 3889.26
32.1888 265.228 626.783 3362.27
32.2844 3457.6 19142.5 63659.8
32.3865 3492.74 19387.5 64231.4
32.5907 3515.39 19549.8 64638.3
32.6006 3527.42 19641.6 64907.8
32.6885 3529.05 19663.8 65047.2
32.8394 3521.58 19623.3 65072.6
32.8906 3507.36 19536.4 65007.5
32.991 3486.87 19407.8 64863.2
33.0927 3462.37 19251.7 64662.5
33.1919 3435.37 19077.5 64423.4
33.3455 3406.66 18891 64156.6
33.3978 3377.65 18700 63877.5
33.4949 3348.7 18510.2 63592.7
33.5982 3320.89 18326.5 63311.8
33.6978 3294.58 18153.2 63043.1
33.8016 3270.5 17990.8 62789.4
33.8988 3249.37 17845.3 62559.4
34.0041 3231.92 17722.6 62364.4
34.1501 3217.4 17621.7 62201.3
34.2062 156.258 545.859 3093.03
34.3071 3206.51 18577.5 64141.2
34.4072 3199.18 18535.8 64073.6
34.6584 3194.44 18513.5 64035.5
