Time X Y Z Roll Pitch Yaw
8.36214 0.00243712 0.000231204 -0.0579408 -0.00352299 0.0616463 3.14145
8.36556 0.00250316 0.000238265 -0.0601016 -0.00352723 0.061686 3.14145
8.36944 0.00257076 0.000245072 -0.0622945 -0.00353257 0.0617294 3.14145
8.37322 0.00264057 0.000251597 -0.064521 -0.00353756 0.0617755 3.14145
8.37779 0.00271308 0.000257856 -0.0667806 -0.00354177 0.0618245 3.14145
8.38154 0.00278871 0.000263868 -0.0690726 -0.00354455 0.0618766 3.14145
8.3856 0.00286781 0.000269672 -0.0713961 -0.00354664 0.0619299 3.14144
8.39422 0.00295069 0.000275307 -0.0737504 -0.0035495 0.0619845 3.14144
8.3971 0.0030376 0.000280803 -0.0761344 -0.00355262 0.0620419 3.14144
8.39872 0.00312874 0.000286194 -0.0785472 -0.0035551 0.0621011 3.14144
8.4033 0.00322427 0.000291508 -0.0809879 -0.00355778 0.0621623 3.14145
8.40674 0.00332427 0.00029677 -0.0834555 -0.0035605 0.0622258 3.14145
8.41159 0.00342875 0.000302013 -0.0859489 -0.00356305 0.0622903 3.14145
8.41422 0.00353775 0.000307251 -0.0884674 -0.00356549 0.0623553 3.14145
8.41801 0.00365124 0.000312498 -0.0910098 -0.00356892 0.0624213 3.14145
8.42193 0.00376914 0.00031778 -0.0935752 -0.00357324 0.0624881 3.14145
8.42619 0.00389136 0.000323124 -0.0961626 -0.00357679 0.0625551 3.14145
8.43024 0.00401775 0.000328539 -0.0987712 -0.00358007 0.0626217 3.14145
8.43419 0.00414819 0.000334031 -0.1014 -0.00358417 0.0626897 3.14145
8.43802 0.00428254 0.000339603 -0.104048 -0.00358847 0.06276 3.14145
8.44489 0.00442067 0.000345257 -0.106714 -0.00359196 0.0628313 3.14145
8.44841 0.00456244 0.000350994 -0.109398 -0.00359501 0.0629048 3.14145
8.45101 0.0047077 0.000356823 -0.112099 -0.00359829 0.0629805 3.14145
8.45437 0.00486344 0.000344964 -0.114869 -0.00360193 0.0630573 3.14144
8.45867 0.00502134 0.000335124 -0.117649 -0.00360606 0.0631345 3.14144
8.46228 0.00518156 0.000327159 -0.120437 -0.00361072 0.0632123 3.14144
8.4661 0.00534408 0.000320869 -0.123235 -0.00361579 0.0632901 3.14144
8.47005 0.00550884 0.000316076 -0.126041 -0.00362197 0.0633661 3.14144
8.47448 0.0056758 0.000312606 -0.128855 -0.0036284 0.0634407 3.14144
8.47834 0.00584489 0.000310302 -0.131677 -0.00363531 0.0635136 3.14144
8.48203 0.00601603 0.000309037 -0.134507 -0.00364347 0.0635851 3.14144
8.48608 0.00618914 0.000308719 -0.137344 -0.00365163 0.0636557 3.14144
8.49914 0.00646628 0.000297261 -0.145913 -0.00367325 0.0638645 3.14144
8.50366 0.00670633 0.000303871 -0.148774 -0.00368022 0.0639352 3.14144
8.50759 0.00693369 0.000310071 -0.151641 -0.00368673 0.0640056 3.14144
8.51094 0.007152 0.00031601 -0.154513 -0.00369271 0.064076 3.14144
8.51457 0.00736385 0.000321779 -0.15739 -0.00369864 0.0641472 3.14144
8.51851 0.00757113 0.000327459 -0.160271 -0.00370352 0.0642166 3.14144
8.5227 0.00777522 0.00033311 -0.163157 -0.00370904 0.0642836 3.14144
8.52657 0.00797717 0.000338767 -0.166046 -0.00371616 0.0643479 3.14144
8.53053 0.00817776 0.000344474 -0.168939 -0.00372393 0.064411 3.14144
8.5345 0.00837755 0.000350268 -0.171835 -0.00373111 0.0644729 3.14144
8.53899 0.00857698 0.000356169 -0.174733 -0.00373825 0.0645329 3.14144
8.54557 0.00877639 0.000362165 -0.177634 -0.00374653 0.064592 3.14144
8.54854 0.00897601 0.000368252 -0.180536 -0.00375558 0.0646505 3.14144
8.5512 0.00917607 0.000374414 -0.18344 -0.00376392 0.064707 3.14144
8.55516 0.00934488 0.000585895 -0.188915 -0.00377002 0.0647543 3.14144
8.5588 0.00952023 0.000774262 -0.194123 -0.00377784 0.0648097 3.14144
8.56272 0.0096993 0.000940826 -0.199069 -0.00378518 0.0648646 3.14144
8.56678 0.00988158 0.00108828 -0.203783 -0.003791 0.0649171 3.14144
8.57143 0.0100668 0.00121916 -0.208292 -0.00379665 0.0649682 3.14144
8.57493 0.010255 0.0013356 -0.212621 -0.00380129 0.0650182 3.14144
