Time X Y Z Roll Pitch Yaw
8.35732 0.000223409 0.00231574 0.0558151 -0.00351931 -0.0616098 -1.57065
8.36173 0.000231249 0.00244042 0.0579403 -0.00352299 -0.0616463 -1.57065
8.36523 0.000239241 0.00256789 0.0601 -0.00352723 -0.061686 -1.57065
8.3691 0.000247399 0.00269813 0.0622937 -0.00353257 -0.0617294 -1.57065
8.3729 0.00025574 0.0028311 0.0645208 -0.00353756 -0.0617755 -1.57065
8.37738 0.000264259 0.00296676 0.0667805 -0.00354177 -0.0618245 -1.57065
8.38111 0.000272939 0.00310509 0.0690721 -0.00354455 -0.0618766 -1.57065
8.38513 0.000281762 0.00324602 0.0713948 -0.00354664 -0.0619299 -1.57065
8.3921 0.000290717 0.00338948 0.0737478 -0.0035495 -0.0619845 -1.57065
8.39677 0.000299808 0.00353544 0.0761301 -0.00355262 -0.0620419 -1.57065
8.39871 0.000309041 0.00368383 0.078541 -0.0035551 -0.0621011 -1.57065
8.40276 0.000318406 0.00383461 0.0809794 -0.00355778 -0.0621623 -1.57065
8.40638 0.000327881 0.00398771 0.0834444 -0.0035605 -0.0622258 -1.57065
8.41109 0.000337461 0.00414308 0.0859352 -0.00356305 -0.0622903 -1.57065
8.41387 0.000347161 0.00430068 0.0884507 -0.00356549 -0.0623553 -1.57065
8.41765 0.000356979 0.00446044 0.0909901 -0.00356892 -0.0624213 -1.57065
8.42163 0.000366914 0.0046223 0.0935523 -0.00357324 -0.0624881 -1.57065
8.42577 0.000376954 0.0047862 0.0961365 -0.00357679 -0.0625551 -1.57065
8.4299 0.000387064 0.00495207 0.0987418 -0.00358007 -0.0626217 -1.57065
8.43387 0.000397245 0.00511987 0.101367 -0.00358417 -0.0626897 -1.57065
8.4377 0.000407517 0.00528955 0.104012 -0.00358847 -0.06276 -1.57065
8.44486 0.000417887 0.00546108 0.106675 -0.00359196 -0.0628313 -1.57065
8.44794 0.000428359 0.0056344 0.109356 -0.00359501 -0.0629048 -1.57065
8.45068 0.000438938 0.00580947 0.112053 -0.00359829 -0.0629805 -1.57065
8.45405 0.000294059 0.00604898 0.115233 -0.00360193 -0.0630573 -1.57065
8.45829 0.000304481 0.00622764 0.117963 -0.00360606 -0.0631345 -1.57065
8.46193 0.000314989 0.00640792 0.120706 -0.00361072 -0.0632123 -1.57065
8.46578 0.000325593 0.00658977 0.123464 -0.00361579 -0.0632901 -1.57065
8.46978 0.000336304 0.00677314 0.126234 -0.00362197 -0.0633661 -1.57065
8.47418 0.000347123 0.00695801 0.129017 -0.0036284 -0.0634407 -1.57065
8.47792 0.000358052 0.00714434 0.13181 -0.00363531 -0.0635136 -1.57064
8.48175 0.000369085 0.00733209 0.134615 -0.00364347 -0.0635851 -1.57064
8.48576 0.000380211 0.00752119 0.13743 -0.00365163 -0.0636557 -1.57064
8.49878 0.000414051 0.00809629 0.145926 -0.00367325 -0.0638645 -1.57064
8.50323 0.000425483 0.00829053 0.148775 -0.00368022 -0.0639352 -1.57064
8.50689 0.000436991 0.00848599 0.15163 -0.00368673 -0.0640056 -1.57064
8.51044 0.000448579 0.00868263 0.154493 -0.00369271 -0.064076 -1.57064
8.51426 0.000460261 0.00888046 0.157361 -0.00369864 -0.0641472 -1.57064
8.51826 0.000472033 0.00907944 0.160234 -0.00370352 -0.0642166 -1.57064
8.52239 0.000483907 0.00927954 0.163113 -0.00370904 -0.0642836 -1.57064
8.52627 0.000495894 0.00948075 0.165995 -0.00371616 -0.0643479 -1.57064
8.53034 0.000507982 0.00968301 0.168882 -0.00372393 -0.064411 -1.57064
8.53421 0.000520161 0.00988627 0.171773 -0.00373111 -0.0644729 -1.57064
8.53849 0.000532435 0.0100905 0.174666 -0.00373825 -0.0645329 -1.57064
8.5445 0.000544795 0.0102958 0.177563 -0.00374653 -0.064592 -1.57064
8.54821 0.000557229 0.010502 0.180461 -0.00375558 -0.0646505 -1.57064
8.55079 0.000569746 0.0107092 0.183361 -0.00376392 -0.064707 -1.57064
8.5548 0.00227063 0.0106016 0.208337 -0.00377002 -0.0647543 -1.57064
8.55847 0.0022873 0.0108101 0.211292 -0.00377784 -0.0648097 -1.57064
8.56241 0.00230403 0.0110195 0.214248 -0.00378518 -0.0648646 -1.57064
8.56647 0.0023208 0.0112299 0.217204 -0.003791 -0.0649171 -1.57064
8.57106 0.00233761 0.0114411 0.220161 -0.00379665 -0.0649682 -1.57064
8.57464 0.00235449 0.0116532 0.223117 -0.00380129 -0.0650182 -1.57064
8.57858 0.00237142 0.0118662 0.226073 -0.0038046 -0.0650664 -1.57064
8.58264 0.0023884 0.0120805 0.229028 -0.0038062 -0.065156 -1.57064
8.58712 0.00240545 0.0122962 0.231981 -0.00380697 -0.065243 -1.57064
8.59445 0.00242257 0.0125119 0.234934 -0.00380818 -0.0652846 -1.57064
8.59707 0.00243976 0.0127275 0.237885 -0.00380923 -0.0653234 -1.57064
8.59949 0.00245701 0.0129435 0.240835 -0.00381113 -0.0653575 -1.57064
8.60486 0.0024743 0.01316 0.243783 -0.00381356 -0.0653867 -1.57064
8.6082 0.00249162 0.0133763 0.246728 -0.00381663 -0.0653663 -1.57064
8.61135 0.00250898 0.0135924 0.249671 -0.00382001 -0.065343 -1.57064
8.61498 0.0025264 0.0138097 0.252612 -0.00382237 -0.0653647 -1.57064
8.61934 0.00254387 0.0140284 0.255549 -0.00382514 -0.0653886 -1.57064
8.62292 0.00256137 0.0142484 0.258483 -0.00382816 -0.0654443 -1.57064
8.62693 0.00257892 0.0144695 0.261413 -0.00383003 -0.0655059 -1.57064
8.63093 0.00259655 0.0146906 0.26434 -0.0038311 -0.065544 -1.57064
8.63521 0.00261428 0.0149115 0.267263 -0.00383194 -0.0655825 -1.57064
8.63891 0.00263214 0.0151328 0.270183 -0.00383189 -0.0656191 -1.57064
8.65136 0.00268628 0.0157989 0.278917 -0.00382795 -0.0657078 -1.57064
8.65521 0.00270449 0.0160217 0.28182 -0.00382716 -0.0657309 -1.57064
8.65896 0.00272273 0.0162448 0.284719 -0.00382786 -0.0657523 -1.57065
8.66299 0.00274103 0.0164682 0.287612 -0.00382901 -0.0657728 -1.57065
8.66733 0.00275938 0.016692 0.290501 -0.00382996 -0.0657922 -1.57065
8.67109 0.00277779 0.0169162 0.293385 -0.00383069 -0.065811 -1.57065
8.67504 0.00279627 0.0171406 0.296263 -0.0038319 -0.0658299 -1.57065
8.679 0.0028148 0.0173654 0.299137 -0.00383304 -0.0658489 -1.57065
8.68326 0.00283339 0.0175905 0.302005 -0.00383332 -0.0658669 -1.57065
8.68721 0.00285203 0.017816 0.304868 -0.00383391 -0.0658847 -1.57065
8.70069 0.00290815 0.0184944 0.313422 -0.00383602 -0.0659396 -1.57065
8.70501 0.00292692 0.0187212 0.316262 -0.0038367 -0.0659565 -1.57065
8.70745 0.00294574 0.0189482 0.319095 -0.00383747 -0.0659717 -1.57065
8.71148 0.00296464 0.0191756 0.321923 -0.00383757 -0.0659867 -1.57065
8.71549 0.00298365 0.0194031 0.324744 -0.0038366 -0.0660015 -1.57065
8.71942 0.00300275 0.019631 0.32756 -0.00383522 -0.066015 -1.57065
8.7233 0.00302192 0.0198592 0.330369 -0.00383396 -0.0660278 -1.57065
8.72735 0.00304116 0.0200876 0.333171 -0.00383225 -0.0660395 -1.57065
8.73181 0.00306047 0.0203162 0.335967 -0.00382915 -0.0660516 -1.57065
8.73547 0.00307985 0.0205452 0.338757 -0.00382517 -0.0660647 -1.57065
8.73946 0.00309928 0.0207744 0.34154 -0.00382125 -0.0660769 -1.57065
8.74668 0.00311878 0.0210038 0.344316 -0.00381711 -0.0660875 -1.57065
8.74967 0.00313833 0.0212334 0.347085 -0.00381244 -0.066098 -1.57065
8.75221 0.00315793 0.0214633 0.349848 -0.00380694 -0.0661094 -1.57065
8.75615 0.00348856 0.0208545 0.36104 -0.00380016 -0.0661087 -1.57065
8.75991 0.00350885 0.0210832 0.363806 -0.00379361 -0.0661191 -1.57065
8.76415 0.00352915 0.0213121 0.366566 -0.00378614 -0.0661291 -1.57065
8.76796 0.00354951 0.0215412 0.369318 -0.00377862 -0.06614 -1.57065
8.77176 0.00356991 0.0217705 0.372064 -0.00377136 -0.0661518 -1.57065
8.77586 0.00359036 0.0220001 0.374802 -0.00376422 -0.0661635 -1.57065
8.78004 0.00361084 0.0222299 0.377533 -0.00375775 -0.0661749 -1.57065
8.78387 0.00363135 0.02246 0.380256 -0.00375181 -0.0661865 -1.57065
8.78804 0.00365188 0.0226903 0.382972 -0.00374542 -0.0661989 -1.57065
8.79776 0.0036724 0.0229209 0.385681 -0.00373831 -0.0662116 -1.57065
8.79805 0.00369294 0.0231517 0.388382 -0.00373064 -0.0662239 -1.57065
8.80056 0.00371351 0.0233827 0.391076 -0.00372213 -0.0662358 -1.57065
8.80427 0.00373412 0.023614 0.393762 -0.00371371 -0.0662473 -1.57065
8.81007 0.00425897 0.0232523 0.403438 -0.00370435 -0.0662335 -1.57065
8.81593 0.00428068 0.0234828 0.406123 -0.00369595 -0.0662442 -1.57065
8.81701 0.0043024 0.0237135 0.4088 -0.00368774 -0.0662551 -1.57065
8.82039 0.00432413 0.0239444 0.411469 -0.00368074 -0.066266 -1.57065
8.82451 0.00434586 0.0241756 0.414131 -0.00367442 -0.0662769 -1.57065
