Time LX LY LZ
8.43063 1.4462e+07 1.4462e+07 1.4462e+07
8.58437 367.984 720.616 2779.35
8.63362 5409.12 1686.42 11803.8
8.73538 5472.47 1696.8 11959.5
8.83405 5537.6 1710.19 12073.8
8.93845 5000.88 1572.92 11537.1
9.03728 5049.17 1586.12 11597
9.13884 5092.46 1600.01 11657.5
9.23848 5130.95 1615.23 11723.4
9.40538 5161.84 1630.38 11791.4
9.4961 5186.58 1645.52 11861.6
9.54866 5203.36 1660.16 11933
9.64936 5216.12 1674.93 12010.4
9.75998 5228.78 1690.55 12099.6
9.84801 366.719 671.027 2629.34
9.95523 367.748 400.6 379.593
10.1003 5976.88 2386.11 13402.5
10.1612 377.095 551.428 1391.57
10.2534 375.974 456.57 718.029
10.3558 372.873 490.924 995.974
10.4562 377.22 470.86 784.766
10.5607 381.671 626.61 2018.55
10.6618 380.294 621.311 2116.53
10.7597 7324.98 2803.12 14954.3
10.858 380.208 682.411 2484.94
10.9642 379.526 633.563 2222.51
11.0689 378.204 543.248 1410.68
11.1637 383.686 629.208 2125.38
11.2623 13847.4 3720.28 19497
11.4269 13892.4 3730.05 19590.5
11.4679 13941.5 3741.17 19675.2
11.5706 382.817 595.598 1872.52
11.6691 383.859 438.121 564.239
11.7703 12858.9 3720.15 18900.1
11.9239 12902 3729.18 18942.7
11.9727 384.596 480.055 829.586
12.0738 384.117 473.047 789.105
12.2308 13298 4013.18 19187.8
12.3275 13354.2 4027.02 19239.1
12.3832 13427.5 4043.88 19301.8
12.4838 13453.9 3956.02 19330.3
12.5795 386.839 632.536 2178.57
12.7455 388.44 507.69 984.692
12.7894 389.394 536.558 1184.91
12.8897 389.397 658.485 2285.6
12.9874 387.758 577.377 1560.11
13.1483 390.695 688.051 3124.41
13.1895 390.929 689.841 3150.3
13.3934 391.155 691.672 3175.22
13.5939 391.372 693.351 3197.71
13.6065 391.579 694.96 3217.84
13.6223 391.776 696.602 3236.02
13.8488 391.961 698.206 3252.22
13.8592 392.134 699.8 3266.71
13.946 392.297 701.118 3278.99
14.1001 392.449 702.353 3289.27
14.1103 392.592 703.731 3298.56
14.2024 20517.3 4720.65 21906.9
14.4056 20587.7 4731.21 21944
14.4201 20659.7 4742.08 21984
14.5033 20728.8 4752.83 22025.4
14.6625 20795.4 4763.22 22067.1
14.7057 20859.9 4773.2 22107.7
14.8025 20923.9 4783.07 22148.1
14.9046 20987.7 4793.22 22190.4
15.1788 21055.9 4804.01 22235.6
15.2099 21132.8 4816.33 22288.6
15.2431 20460.7 4713.68 21864.3
15.5545 20555.6 4727.11 21916.5
15.8684 20657.1 4741.34 21971.6
16.1545 20761.3 4756.04 22028.1
16.4367 20863.7 4770.32 22083.3
16.5423 20968.3 4784.44 22137.9
16.5749 21075.4 4799.12 22194.3
16.73 21237 4820.89 22276.4
16.7449 21297.1 4829.07 22310.6
16.7631 21416.9 4844.79 22370.8
16.7809 21541.8 4861.25 22433.8
16.7957 21678.2 4878.85 22500.4
16.8263 21821.7 4897.18 22569
16.968 21971.8 4916.31 22640.1
16.9785 22132.9 4936.93 22716.3
17.01 22301.6 4958.58 22795.9
17.1042 22481.3 4981.61 22880.3
17.2268 22668.6 5005.79 22968.6
17.5215 22868.7 5031.62 23062.8
17.5348 23089.5 5060.3 23169.8
17.6211 23362.7 5093.61 23273.9
17.6762 23647.9 5130.73 23410.5
17.7685 23964.2 5171.04 23555.4
17.8714 24312.4 5214.98 23712.5
17.974 24686.5 5261.93 23879.7
18.1244 25089 5312.05 24057.7
18.2764 22764.1 5204.74 24025.7
18.3762 23146.6 5258.02 24250.1
18.3874 23543.7 5314.56 24501.4
18.4813 23033.4 5249.57 24294.9
18.5792 23528.8 5313.78 24547.1
18.7316 24016.3 5022.87 24676
18.7918 24527.3 5090 25010.5
18.89 25454.5 5160.21 24977.4
18.9858 26027.2 5233.27 25346.1
19.0988 26674.6 5308.52 25677.9
19.2415 27377.8 5386.93 26006.3
19.3939 28123.4 5468.01 26337.9
19.4493 28911.5 5551.73 26678
19.6549 29765.8 5640.16 27033.7
19.6695 30583.8 5688.06 27412.1
19.7123 31602.4 5789.65 27820.1
19.8041 31959.1 5860.09 28189.7
19.9054 29292.4 5662.14 26991.7
20.0095 29638.8 5687.15 27411.5
20.2658 30484.8 5782.96 27847.6
20.3783 31316.8 5874.6 28247.6
20.3964 391.556 838.402 3159.3
20.5246 33717.3 6077.46 29643.3
20.5428 391.277 782.059 2765.9
20.6268 33057.9 5955.64 29890.8
20.782 33700.7 6012.44 30145.8
20.8391 391.333 844.861 3407.69
20.9263 37268.4 6239.64 31227.7
21.0344 37831.7 6285.8 31439.7
21.1306 38353.5 6328.15 31635.2
21.2382 38865.3 6369.22 31825.6
21.3341 39334.3 6406.29 31999.3
21.4875 39767.6 6440.47 32159.3
21.5373 390.69 895.783 3833.59
21.6367 43358.4 6696.67 33160.6
21.7387 43961.6 6745.62 33374.9
21.8468 44630.2 6798.91 33610.9
21.9412 45370.8 6857.24 33868.9
22.043 46171.3 6920.11 34141.1
22.1451 47080.5 6990.19 34443.4
22.3049 48027 7062.36 34753.8
22.3504 43482.6 6918.15 33509.9
22.4533 44500 7001.17 33860.6
22.5592 45661.1 7099.42 34254.8
22.7588 39063.5 6524.05 31773.3
22.8055 40376.9 6634.21 32237.9
22.9018 41844 6755.21 32745.8
22.9557 43478.2 6887.85 33299.5
23.0565 38796.5 6295.07 31735.5
23.423 31331.9 5251.21 28134.5
23.4336 32696.4 5359.67 28668.1
23.4466 34170.7 5473.53 29226.5
23.4703 23867.2 4427.06 24592.4
23.5709 24900.7 4521.78 25054.9
23.772 393.35 717.148 1366.51
23.7822 390.897 935.134 2405.07
23.8711 19403.4 3828.57 21696
23.9699 20205.8 3929.11 22309.3
24.1185 23057.8 4035.64 20990
24.1712 23973.6 4147.55 21721.1
24.372 25069.2 4264.86 22392.3
24.3829 26318.9 4386.59 23017.4
24.4805 17948.2 3667.19 21377.3
24.5751 387.597 1086.78 3101.7
24.7347 20120.4 4001.03 23118.9
24.7862 389.224 977.043 2149.6
24.8854 17363.6 3751.04 23261.4
24.9804 386.716 1132.82 2848.97
25.1304 21476.8 4157.63 25527.3
25.287 22898.6 4304.1 26316.5
25.2975 388.556 958.929 1888.43
25.39 386.311 1138.48 2800.15
25.8475 30639.4 4733.4 28318.4
25.8579 386.941 1067.39 2253.93
25.8697 384.21 1230.95 2936.78
25.885 384.175 1215.24 2900.27
25.9062 40381.3 5376.31 33541.1
25.9982 387.116 952.527 1742.32
26.1523 48644.3 5677.61 35886.5
26.3044 53234.3 5945.26 37302.2
26.313 35187.1 4879.49 31962
26.6199 385.209 1166.78 2260.35
