Time X Y Z Roll Pitch Yaw
0.0583763 8.44199e-06 1.7469e-06 0.299396 -6.55789e-06 1.76331e-05 4.95742e-06
0.0859614 8.44245e-06 1.74978e-06 0.299416 -6.56748e-06 1.76346e-05 4.95742e-06
0.106673 8.4429e-06 1.75266e-06 0.299436 -6.57708e-06 1.76361e-05 4.95742e-06
0.143631 8.44335e-06 1.75554e-06 0.299456 -6.58667e-06 1.76376e-05 4.95742e-06
0.153624 8.44381e-06 1.75841e-06 0.299476 -6.59626e-06 1.76392e-05 4.95742e-06
0.171261 8.44426e-06 1.76129e-06 0.299496 -6.60585e-06 1.76407e-05 4.95742e-06
0.192977 8.44472e-06 1.76417e-06 0.299515 -6.61544e-06 1.76422e-05 4.95742e-06
0.21198 8.44517e-06 1.76705e-06 0.299535 -6.62504e-06 1.76437e-05 4.95742e-06
0.233581 8.44563e-06 1.76992e-06 0.299555 -6.63463e-06 1.76452e-05 4.95742e-06
0.252884 8.44608e-06 1.7728e-06 0.299575 -6.64422e-06 1.76467e-05 4.95742e-06
0.273616 8.44653e-06 1.77568e-06 0.299595 -6.65381e-06 1.76482e-05 4.95742e-06
0.293672 8.3234e-06 1.73246e-06 0.299615 -6.50976e-06 1.72378e-05 4.95742e-06
0.312918 8.0704e-06 1.63957e-06 0.299634 -6.20013e-06 1.63945e-05 4.95743e-06
0.333595 7.8298e-06 1.55123e-06 0.299652 -5.90566e-06 1.55924e-05 4.95744e-06
0.353891 7.60098e-06 1.46722e-06 0.299669 -5.62563e-06 1.48297e-05 4.95744e-06
0.373529 7.38339e-06 1.38733e-06 0.299686 -5.35932e-06 1.41044e-05 4.95745e-06
0.39439 7.17645e-06 1.31135e-06 0.299701 -5.10607e-06 1.34147e-05 4.95745e-06
0.414144 6.97966e-06 1.23909e-06 0.299716 -4.86523e-06 1.27587e-05 4.95746e-06
0.435333 6.79252e-06 1.17038e-06 0.29973 -4.63619e-06 1.21349e-05 4.95746e-06
0.453754 6.61454e-06 1.10504e-06 0.299743 -4.41837e-06 1.15416e-05 4.95747e-06
0.474079 6.44529e-06 1.04289e-06 0.299756 -4.21123e-06 1.09774e-05 4.95747e-06
0.495188 6.28433e-06 9.83796e-07 0.299768 -4.01425e-06 1.04409e-05 4.95747e-06
0.515084 6.13127e-06 9.27595e-07 0.299779 -3.82691e-06 9.9307e-06 4.95748e-06
0.536383 5.9857e-06 8.74149e-07 0.29979 -3.64876e-06 9.44548e-06 4.95748e-06
0.554534 5.84727e-06 8.23322e-07 0.299801 -3.47934e-06 8.98404e-06 4.95748e-06
0.574934 5.71562e-06 7.74986e-07 0.29981 -3.31823e-06 8.54522e-06 4.95748e-06
0.599951 5.59042e-06 7.29019e-07 0.29982 -3.16501e-06 8.1279e-06 4.95748e-06
0.622121 5.47137e-06 6.85305e-07 0.299829 -3.01929e-06 7.73104e-06 4.95749e-06
0.641942 5.35814e-06 6.43733e-07 0.299837 -2.88072e-06 7.35362e-06 4.95749e-06
0.6615 5.25046e-06 6.04199e-07 0.299845 -2.74895e-06 6.99471e-06 4.95749e-06
0.680896 5.14807e-06 5.66602e-07 0.299853 -2.62363e-06 6.65338e-06 4.95749e-06
0.701646 5.05069e-06 5.30848e-07 0.29986 -2.50445e-06 6.32878e-06 4.95749e-06
0.721616 4.95808e-06 4.96847e-07 0.299867 -2.39111e-06 6.02009e-06 4.95749e-06
0.743397 4.87001e-06 4.64511e-07 0.299874 -2.28333e-06 5.72653e-06 4.95749e-06
0.761244 4.78626e-06 4.33761e-07 0.29988 -2.18083e-06 5.44736e-06 4.9575e-06
0.781441 4.70661e-06 4.04517e-07 0.299886 -2.08335e-06 5.18186e-06 4.9575e-06
0.804332 4.63087e-06 3.76707e-07 0.299892 -1.99066e-06 4.92938e-06 4.9575e-06
0.821829 4.55883e-06 3.5026e-07 0.299897 -1.9025e-06 4.68928e-06 4.9575e-06
0.843615 4.49033e-06 3.25109e-07 0.299902 -1.81866e-06 4.46094e-06 4.9575e-06
0.86179 4.43796e-06 3.05879e-07 0.299906 -1.75456e-06 4.28635e-06 4.9575e-06
0.882907 4.36324e-06 2.78445e-07 0.299912 -1.66312e-06 4.03729e-06 4.9575e-06
0.902709 4.31587e-06 2.61053e-07 0.299915 -1.60515e-06 3.8794e-06 4.9575e-06
0.922616 4.24829e-06 2.36242e-07 0.29992 -1.52245e-06 3.65415e-06 4.9575e-06
0.944106 4.20545e-06 2.20514e-07 0.299923 -1.47002e-06 3.51135e-06 4.9575e-06
0.963141 4.14434e-06 1.98075e-07 0.299928 -1.39523e-06 3.30764e-06 4.9575e-06
0.983252 4.1056e-06 1.8385e-07 0.299931 -1.34781e-06 3.1785e-06 4.9575e-06
1.00444 4.05033e-06 1.63557e-07 0.299935 -1.28017e-06 2.99426e-06 4.9575e-06
1.02418 4.01529e-06 1.50693e-07 0.299938 -1.23729e-06 2.87747e-06 4.9575e-06
1.04568 3.9653e-06 1.3234e-07 0.299941 -1.17611e-06 2.71085e-06 4.9575e-06
1.06391 3.93362e-06 1.20706e-07 0.299944 -1.13733e-06 2.60523e-06 4.9575e-06
1.08392 3.88841e-06 1.04108e-07 0.299947 -1.08201e-06 2.45454e-06 4.9575e-06
1.10658 3.85975e-06 9.35861e-08 0.299949 -1.04694e-06 2.35901e-06 4.9575e-06
1.12435 3.83222e-06 8.34788e-08 0.299951 -1.01324e-06 2.26725e-06 4.9575e-06
1.14509 3.79295e-06 6.90596e-08 0.299954 -9.65182e-07 2.13634e-06 4.9575e-06
1.16472 3.75598e-06 5.54842e-08 0.299957 -9.19931e-07 2.0131e-06 4.9575e-06
1.18514 3.73831e-06 4.89974e-08 0.299958 -8.98309e-07 1.9542e-06 4.9575e-06
1.20637 3.70453e-06 3.6596e-08 0.299961 -8.56972e-07 1.84161e-06 4.9575e-06
1.22551 3.67273e-06 2.49204e-08 0.299963 -8.18054e-07 1.73561e-06 4.9575e-06
1.24622 3.65754e-06 1.93414e-08 0.299964 -7.99458e-07 1.68496e-06 4.9575e-06
1.26716 3.62849e-06 8.67551e-09 0.299967 -7.63906e-07 1.58813e-06 4.9575e-06
1.2859 3.60114e-06 -1.36619e-09 0.299969 -7.30434e-07 1.49696e-06 4.9575e-06
1.30675 3.5838e-06 -7.73202e-09 0.29997 -7.09215e-07 1.43917e-06 4.9575e-06
1.32619 3.56714e-06 -1.3847e-08 0.299971 -6.88832e-07 1.38365e-06 4.9575e-06
1.34756 3.55114e-06 -1.97211e-08 0.299972 -6.69252e-07 1.33033e-06 4.9575e-06
1.36734 3.52101e-06 -3.07839e-08 0.299975 -6.32377e-07 1.22989e-06 4.9575e-06
1.38647 3.50683e-06 -3.59905e-08 0.299976 -6.15022e-07 1.18262e-06 4.9575e-06
1.40851 3.49321e-06 -4.0992e-08 0.299977 -5.9835e-07 1.13721e-06 4.9575e-06
1.4271 3.47693e-06 -4.69676e-08 0.299978 -5.78432e-07 1.08296e-06 4.9575e-06
1.44826 3.46146e-06 -5.26504e-08 0.299979 -5.5949e-07 1.03137e-06 4.9575e-06
1.46805 3.44674e-06 -5.80546e-08 0.29998 -5.41476e-07 9.82303e-07 4.9575e-06
1.48803 3.43274e-06 -6.3194e-08 0.299981 -5.24345e-07 9.35644e-07 4.9575e-06
1.50806 3.41684e-06 -6.90299e-08 0.299982 -5.04893e-07 8.82661e-07 4.9575e-06
1.52812 3.40188e-06 -7.45242e-08 0.299983 -4.86578e-07 8.32779e-07 4.9575e-06
1.5505 3.40188e-06 -7.45242e-08 0.299983 -4.86578e-07 8.32779e-07 4.9575e-06
