Time X Y Z Roll Pitch Yaw
1.04865 3.78267e-05 3.70739e-05 -0.299943 -1.3749e-05 9.00994e-06 1.57081
1.0567 3.73551e-05 3.81305e-05 -0.299947 -1.40348e-05 1.12497e-05 1.57081
1.06917 3.71416e-05 3.87923e-05 -0.299949 -1.44594e-05 1.12449e-05 1.57081
1.07701 3.69754e-05 3.94223e-05 -0.299951 -1.26984e-05 1.0414e-05 1.5708
1.08834 3.67777e-05 4.00266e-05 -0.299953 -1.26572e-05 1.24677e-05 1.5708
1.09692 3.63238e-05 4.08543e-05 -0.299956 -1.23691e-05 1.21075e-05 1.57081
1.1085 3.61068e-05 4.11916e-05 -0.299958 -1.24493e-05 1.13863e-05 1.57081
1.11677 3.59807e-05 4.14532e-05 -0.29996 -1.09718e-05 1.11551e-05 1.57081
1.12826 3.57873e-05 4.17988e-05 -0.299962 -9.32429e-06 1.03306e-05 1.57081
1.13748 3.52786e-05 4.23456e-05 -0.299965 -1.15267e-05 1.13263e-05 1.57081
1.14918 3.51538e-05 4.26573e-05 -0.299967 -1.2233e-05 1.1858e-05 1.57081
1.1568 3.50153e-05 4.29832e-05 -0.299968 -1.30576e-05 1.24372e-05 1.57081
1.16953 3.4919e-05 4.33303e-05 -0.299969 -1.29885e-05 1.16974e-05 1.57081
1.17673 3.45889e-05 4.38334e-05 -0.299972 -1.24231e-05 1.27256e-05 1.57081
1.18928 3.42922e-05 4.41379e-05 -0.299973 -1.14581e-05 1.16025e-05 1.57081
1.19846 3.39491e-05 4.43431e-05 -0.299974 -1.12254e-05 1.14413e-05 1.57081
1.20982 3.36649e-05 4.45799e-05 -0.299975 -9.89383e-06 1.20799e-05 1.57081
1.21919 3.30688e-05 4.51237e-05 -0.299976 -1.05489e-05 1.25881e-05 1.57081
1.22944 3.28386e-05 4.53936e-05 -0.299977 -1.24431e-05 1.20004e-05 1.57081
1.23762 3.25907e-05 4.56614e-05 -0.299978 -1.3093e-05 1.09536e-05 1.57081
1.25031 3.23254e-05 4.594e-05 -0.299979 -1.21994e-05 1.05215e-05 1.57081
1.25767 3.16882e-05 4.61401e-05 -0.29998 -1.38172e-05 1.27298e-05 1.57081
1.27135 3.14106e-05 4.61528e-05 -0.299981 -1.3561e-05 1.24206e-05 1.57081
1.2779 3.10794e-05 4.60676e-05 -0.299982 -1.48416e-05 1.35807e-05 1.57081
1.2907 3.06482e-05 4.59307e-05 -0.299982 -1.45678e-05 1.56996e-05 1.57081
1.29856 2.94921e-05 4.54654e-05 -0.299984 -1.50638e-05 1.58057e-05 1.57081
1.31065 2.88143e-05 4.51757e-05 -0.299984 -1.49994e-05 1.46146e-05 1.57081
1.31839 2.80304e-05 4.47866e-05 -0.299985 -1.4666e-05 1.57218e-05 1.57081
