Time X Y Z Roll Pitch Yaw
8.43503 -0.00325321 0.000742066 0.116848 0.000521896 0.00885258 -3.14134
8.43789 -0.00332157 0.000759674 0.11894 0.000499488 0.00878903 -3.14134
8.44182 -0.00339014 0.000777392 0.121035 0.000476837 0.00872548 -3.14134
8.44589 -0.00345889 0.000795192 0.123135 0.000454273 0.00866191 -3.14134
8.45095 -0.00352783 0.000813062 0.125238 0.00043207 0.00859809 -3.14134
8.45437 -0.00359697 0.000831016 0.127344 0.000410011 0.00853397 -3.14135
8.45799 -0.0036663 0.000849052 0.129453 0.000388413 0.00846944 -3.14135
8.46251 -0.00373581 0.000867166 0.131565 0.000367641 0.0084041 -3.14135
8.46829 -0.00380548 0.000885343 0.133679 0.000347354 0.00833862 -3.14135
8.48094 -0.00401539 0.000940051 0.140032 0.000290427 0.00814184 -3.14135
8.48302 -0.00408564 0.000958319 0.142154 0.000272405 0.00807662 -3.14136
8.48984 -0.00415604 0.000976594 0.144276 0.000254202 0.00801344 -3.14136
8.49152 -0.00422658 0.000994903 0.1464 0.000236098 0.00795209 -3.14136
8.49669 -0.00429723 0.00101324 0.148524 0.00021854 0.00789172 -3.14136
8.49925 -0.004368 0.00103158 0.150649 0.000201185 0.00783244 -3.14136
8.50309 -0.00443886 0.00104995 0.152775 0.00018378 0.00777439 -3.14136
8.50677 -0.00450979 0.00106837 0.154901 0.000167325 0.00771778 -3.14137
8.51066 -0.00458079 0.0010868 0.157027 0.00015052 0.00766192 -3.14137
8.51512 -0.00465182 0.00110523 0.159153 0.000133952 0.00760485 -3.14137
8.51957 -0.00472289 0.00112368 0.161279 0.000118423 0.00754715 -3.14137
8.52447 -0.00479399 0.00114214 0.163404 0.000103227 0.00748947 -3.14137
8.52807 -0.00486511 0.00116063 0.16553 8.90853e-05 0.00743092 -3.14137
8.53105 -0.00493626 0.00117914 0.167654 7.58075e-05 0.00737146 -3.14138
8.53514 -0.00500744 0.00119769 0.169778 6.24966e-05 0.00731235 -3.14138
8.54001 -0.00507864 0.00121624 0.171901 4.84621e-05 0.00725424 -3.14138
8.54356 -0.00514986 0.00123479 0.174022 3.44943e-05 0.0071966 -3.14138
8.54819 -0.00522107 0.00125334 0.176143 2.07953e-05 0.00714073 -3.14138
8.5512 -0.00529231 0.00127189 0.178263 7.72215e-06 0.00708643 -3.14138
8.55493 -0.00536355 0.00129044 0.180381 -4.95246e-06 0.00703243 -3.14138
8.5594 -0.00543477 0.00130898 0.182498 -1.7699e-05 0.00697955 -3.14138
8.56361 -0.00550594 0.00132752 0.184613 -2.99823e-05 0.00692744 -3.14139
8.56737 -0.00557704 0.00134602 0.186727 -4.21156e-05 0.00687497 -3.14139
8.57201 -0.00564805 0.00136449 0.188839 -5.34435e-05 0.00682278 -3.14139
8.57702 -0.00571894 0.00138295 0.19095 -6.37521e-05 0.00677114 -3.14139
8.57984 -0.00578968 0.00140141 0.193058 -7.43546e-05 0.00671867 -3.14139
8.58421 -0.00806365 -0.001196 0.19905 -8.62053e-05 0.00666502 -3.14139
8.58965 -0.00813931 -0.00118393 0.201164 -9.81453e-05 0.00661206 -3.14139
8.59221 -0.00821483 -0.00117192 0.203276 -0.000109347 0.00655986 -3.1414
8.59591 -0.0082902 -0.00115998 0.205386 -0.000120834 0.00650843 -3.1414
8.60074 -0.00836544 -0.00114809 0.207494 -0.000133019 0.00645841 -3.1414
8.60372 -0.00844056 -0.00113625 0.2096 -0.000145483 0.00640949 -3.1414
8.60807 -0.00851551 -0.00112445 0.211703 -0.000157356 0.00636099 -3.1414
8.61194 -0.00859027 -0.00111268 0.213805 -0.000168142 0.00631297 -3.1414
8.61585 -0.00866487 -0.00110092 0.215904 -0.000177515 0.00626565 -3.1414
8.62029 -0.00873929 -0.00108917 0.218001 -0.000185949 0.00621924 -3.1414
8.6248 -0.00881355 -0.00107742 0.220095 -0.00019408 0.00617322 -3.1414
8.62903 -0.00888766 -0.00106569 0.222188 -0.00020094 0.00612724 -3.1414
