Time LX LY LZ
8.2549 1.4462e+07 1.4462e+07 1.4462e+07
8.5088 709.236 384.724 2715.01
8.55771 1940.99 5663.46 19305.5
8.5622 1958.09 5773.56 19814.4
8.65976 1983.48 5893.89 11572.7
8.8101 2008.17 5977.64 11898.5
8.86308 2033.47 6044.87 12166.7
8.95851 2059.25 6103.9 12380.4
9.06402 2070.66 6111.28 12368.5
9.21706 2093.78 6162.52 12494.2
9.2631 1706.71 4631.38 11782
9.42056 1432.83 3517.38 10702.2
9.51463 667.278 375.077 2714.34
9.56534 1529.37 4026.11 11078.4
9.71557 1536.89 4046.79 11213.4
9.76991 593.406 377.256 1671.85
9.86976 550.696 377.574 1421.25
9.97843 489.002 374.844 842.106
10.0735 489.976 375.428 928.101
10.1748 618.868 382.181 1923.52
10.2707 3345.31 9713.71 17232.7
10.3737 3363.14 9790.4 17368.2
10.4759 540.709 383.503 1295.35
10.581 631.632 385.973 1987.48
10.7321 548.754 383.326 1279.96
10.7785 4046.69 15668.1 20014.7
10.8808 701.894 388.139 2851.07
10.9792 4297.51 17554.1 20763.1
11.0829 4317.56 17674.6 20851.9
11.2334 598.024 387.271 1832.63
11.2915 3680.27 14948.3 19473.8
11.4889 3690.85 15009.1 19509.4
11.5363 3702.62 15075.6 19550.3
11.6854 3714.67 15142.3 19592.7
11.6939 3726.65 15207.1 19634.3
11.7861 3640.1 14304.7 19474.8
11.94 3649.56 14356.1 19510
11.9899 3639.38 13898 19497.9
12.0917 495.51 389.657 876.253
12.1915 4032.2 16171.4 20986.4
12.2927 548.334 390.302 1217.5
12.3944 634.021 390.94 1973.61
12.4955 696.863 390.27 2450.61
12.5948 4348.34 18385.8 22175.9
12.7476 4370.74 18511.5 22294.4
12.7949 4394.6 18643.3 22421.8
12.8957 4419.24 18776 22553.9
12.9973 4337.26 18891.9 22682.8
13.1037 744.446 393.09 3643.62
13.2004 4560.02 20177.1 24117
13.3006 4582.36 20288.3 24266.3
13.4526 4602.17 20388.8 24396
13.502 4621.05 20491.2 24510.1
13.6016 571.89 393.834 1511.83
13.7059 669.022 392.24 2498.2
13.8093 4805.24 21862.2 25351
13.9061 4812.71 21913.7 25376.4
14.0074 748.09 392.45 3167
14.1079 5316.75 28520.4 23023.3
14.4111 5318.18 28495.5 23056.8
14.4196 5317.74 28450.9 23084.6
14.4287 5315.11 28391.9 23099.1
14.5086 5311.32 28327.1 23106.2
14.6097 5306.31 28257.6 23103.8
14.7133 5299.76 28182.3 23089.4
14.8145 5292.79 28108.7 23068.4
14.9153 5284.43 28028 23035.9
15.0151 5275.82 27948.9 22996.6
15.1168 5267.77 27878.2 22955.5
15.5902 5259.47 27810.5 22909.1
15.6287 5250.68 27741.1 22857
15.849 5242.25 27675.7 22804.3
15.871 5234 27611.2 22751.2
16.2493 5225.94 27543.4 22698.8
16.293 5218.26 27480.4 22648.2
16.4167 5211.18 27423.7 22600.5
16.4533 5205.39 27369.8 22562.4
16.7039 5200.91 27325.6 22532.2
16.7161 5197.51 27292.5 22509.1
16.7271 5195.54 27270.9 22495.5
16.7421 5195.02 27259.8 22491.6
16.7539 5195.75 27257.4 22497
16.7649 5197.98 27267 22512.3
16.8421 5201.65 27288.1 22536.4
16.9631 5206.86 27322.2 22569.5
17.1008 5213.57 27368.9 22611.4
17.241 5221.67 27421.3 22662.4
17.3403 5233.81 27499.5 22732.5
17.3868 5249.19 27606.2 22820
17.487 5267.32 27736.1 22922.4
17.588 5287.67 27884.1 23036.6
17.6921 5310.02 28047.2 23160.5
17.7888 5334.83 28235.2 23293.9
17.8851 5361.8 28441.4 23436.5
17.9868 5391.24 28665.8 23590.4
18.0872 5423.28 28910.6 23756
18.2436 5457.7 29171.8 23933.3
18.289 5496.41 29472.3 24124.5
18.4378 5540.02 29810.1 24340.9
18.4917 5587.47 30187.3 24572.7
18.5932 5638.34 30596.8 24819
18.7967 5692.85 31040.6 25081
18.8092 5751.26 31523.8 25359
18.8978 5812.35 32045.2 25646.5
18.995 5876.32 32597.5 25946.2
19.1961 5943.16 33179.2 26257.1
19.206 6012.22 33782.6 26578.2
19.4026 6087.95 34446.4 26925.7
19.4493 6168.95 35187 27293
19.5001 6255.12 35986.5 27680.3
19.6004 672.223 389.472 2362.37
19.7017 6450.87 38476.1 28782
19.8505 6552.84 39478.9 29225.6
19.9063 6660.79 40555.9 29690.9
20.0114 6645.76 40632.5 29976.7
20.1046 6675 41016.1 30449
20.2585 6724.94 40271.2 30250.1
20.4573 6173.62 35385.7 29387.5
20.4706 6292.35 36496.3 30003.9
20.612 6409.47 36873 30279.8
20.9119 6542.05 38190.1 30952.9
20.9196 6680.5 39616.9 31649.9
20.9286 6209.54 36176.9 28892.7
20.9394 6248.46 36365 29327.7
21.011 5954.44 34491.5 29024.7
21.1153 664.954 386.943 1654.93
21.2149 6268.55 37523.5 30983.9
21.3693 594.427 389.357 1163.87
21.4627 5353.73 34832.4 27666.3
21.5169 5544.93 36246.6 28621.5
21.6146 5755.73 37836.5 29620.1
21.7207 5989.15 39594.8 30667.7
21.8161 5387.08 26467.4 31391.8
21.9243 584.877 387.856 963.179
22.0207 834.343 381.14 2136.1
22.1201 5156.81 24954.5 29557.2
22.2234 862.351 393.592 2094.04
22.3219 5861.41 28192.7 31783.5
22.4218 6095.01 28477.1 32430.2
22.5243 6445.21 29224.1 33474
22.6279 823.643 382.369 1707.11
22.7265 7091.29 32462.2 35979.6
22.8266 6311.05 28357.2 35682.7
22.9292 4453.13 24636.8 35680.4
23.0277 17504.9 3223.85 29088
23.1282 18353.1 3295.4 30494.2
23.227 16431.6 3031.94 30682
23.3867 483.667 381.779 539.821
23.4803 878.759 387.283 1898.5
23.5892 19595.9 3488.07 34089.4
23.6363 20398.8 3565.56 34527
23.832 20303.3 3456.39 35078.7
23.8385 20943 2851.67 34988.9
23.9376 2816.87 14956.6 26457.1
24.0375 2819.41 15820.3 27160.9
24.1361 2819.87 16824.7 27940.1
24.2369 2822.12 17980.6 28814.9
24.3388 2829.41 19288.8 29807.1
24.4386 1436.94 389.303 2816.49
24.5396 2448.29 7432.53 17135.5
24.6397 2291.7 7016.42 16531.2
24.7437 880.279 378.198 1682.07
24.8467 2521.53 8620.67 17787
24.9445 2568.34 9118.94 18237.7
25.1507 2618.1 9651.98 18710.5
25.1563 2670.03 10217.9 19205.6
25.2964 2724.05 10819.7 19723.4
25.3475 2496.3 5793.6 14299.9
25.4489 872.604 382.423 1813.04
25.6035 905.003 383.459 1797.59
25.6504 994.948 384.555 2091.04
25.7517 1106.91 383.266 2725.3
25.8533 826.981 384.586 1398.03
25.954 1224.42 379.327 3156.1
26.1127 1299.62 379.3 3287.07
26.2571 4220.91 19264 27928.7
26.2627 483.616 387.447 527.224
26.3586 4714.74 20957.6 29261.3
26.4605 921.583 381.394 1551.35
26.5605 4430.33 25650 31899.9
26.7632 3662.23 15992.9 24687.2
26.7692 3807.71 17448.3 25663.6
26.8619 3968.55 19096.9 26727.2
26.9632 4145.2 20965.1 27893.1
27.0645 4338.82 23066.3 29180.4
27.1702 4549.66 25400.7 30631
27.2751 4779.57 27923 32333.8
27.3738 4630.53 25682.8 30680.8
27.5191 4849.95 28763.5 32194.3
27.6693 4091.54 28677.3 32755.3
27.677 3704.76 20608.8 30251.5
27.7763 1227.29 378.004 1856.89
27.8716 4176.06 29039.4 34321.4
27.9717 4089.9 27563 32027.9
28.0728 4266.32 32207.7 34156.2
28.1783 3772.22 15740.7 26437.4
28.279 3664.84 10805.1 22438
28.3756 3832.36 11996.8 23809.2
28.4793 4024.55 13386.8 25445.5
28.578 4239.14 15006.8 27318.2
28.6796 4480.4 16887 29478.8
28.8315 3742.59 11043.5 18957.6
28.894 287.126 643.641 2903.74
