Time X Y Z Roll Pitch Yaw
1.03376 1.91162e-05 9.46266e-05 0.0021594 0.000929619 0.000611703 1.57094
1.0426 1.88924e-05 9.50961e-05 0.00215952 0.000929096 0.000613606 1.57094
1.05394 1.85411e-05 9.55621e-05 0.00215964 0.000928587 0.000614386 1.57094
1.06149 1.81644e-05 9.59212e-05 0.00215985 0.00092825 0.00061562 1.57094
1.07345 1.74293e-05 9.66613e-05 0.00216069 0.000929267 0.000616692 1.57094
1.08186 1.6992e-05 9.70088e-05 0.00216117 0.000926968 0.00061624 1.57094
1.09443 1.65098e-05 9.74097e-05 0.00216176 0.000925118 0.000616359 1.57094
1.10171 1.60054e-05 9.79431e-05 0.00216236 0.000923808 0.000615342 1.57094
1.1139 1.5081e-05 9.90656e-05 0.00216384 0.000923979 0.000612308 1.57094
1.12161 1.46648e-05 9.95917e-05 0.00216457 0.000925201 0.000612504 1.57094
1.13365 1.42499e-05 0.000100135 0.00216529 0.000924804 0.000613467 1.57094
1.14276 1.37679e-05 0.000100662 0.00216602 0.000924902 0.000615136 1.57094
1.15476 1.29755e-05 0.000101548 0.00216746 0.000925381 0.000616198 1.57094
1.16206 1.26274e-05 0.000101858 0.00216829 0.000924938 0.000615664 1.57094
1.17443 1.18772e-05 0.000102258 0.00217006 0.0009233 0.000614225 1.57094
1.18249 1.15548e-05 0.00010236 0.00217103 0.000923949 0.000615278 1.57094
1.19768 1.13287e-05 0.000102449 0.002172 0.000923364 0.000615709 1.57094
1.20356 1.10832e-05 0.000102542 0.00217229 0.000922949 0.000616362 1.57094
1.21536 1.07941e-05 0.000102719 0.00217267 0.000922361 0.000616709 1.57094
1.22325 1.0575e-05 0.000102911 0.0021731 0.000922136 0.00061643 1.57094
1.23545 1.05301e-05 0.000103248 0.00217377 0.000920692 0.000615966 1.57094
1.24475 1.05448e-05 0.00010342 0.00217384 0.00091967 0.000616436 1.57094
1.2561 1.05311e-05 0.000103505 0.0021739 0.000919628 0.000617214 1.57094
1.26348 1.04096e-05 0.000103606 0.00217416 0.00091939 0.00061723 1.57094
1.27551 1.03487e-05 0.000103903 0.00217454 0.000918797 0.000617888 1.57094
1.28315 1.0368e-05 0.000104028 0.00217469 0.000919544 0.000617193 1.57094
1.29618 1.04008e-05 0.00010425 0.00217519 0.000921752 0.000613856 1.57094
1.30374 1.04543e-05 0.000104408 0.00217561 0.000922481 0.000612696 1.57094
