Time X Y Z Roll Pitch Yaw
8.26214 -0.00342846 -0.000107116 -0.137318 -0.000248246 -0.00936306 3.14156
8.26673 -0.00348905 -0.000106453 -0.14035 -0.000252072 -0.00931516 3.14156
8.2704 -0.00354962 -0.000105704 -0.143411 -0.0002572 -0.00926372 3.14156
8.2742 -0.00361014 -0.000104871 -0.146501 -0.000262993 -0.00920912 3.14156
8.27816 -0.0036706 -0.00010397 -0.14962 -0.000268553 -0.00915232 3.14156
8.28244 -0.00373099 -0.000103018 -0.152766 -0.000273911 -0.00909302 3.14156
8.28669 -0.0037913 -0.000102023 -0.155938 -0.000280411 -0.0090317 3.14156
8.29928 -0.00397171 -9.87432e-05 -0.165601 -0.000301058 -0.00884505 3.14156
8.30328 -0.0040317 -9.75576e-05 -0.168869 -0.000306315 -0.0087825 3.14156
8.30861 -0.00409157 -9.63364e-05 -0.172159 -0.000311125 -0.00871999 3.14156
8.31046 -0.00415132 -9.50624e-05 -0.175469 -0.000316388 -0.00865676 3.14156
8.31516 -0.00421093 -9.37318e-05 -0.178799 -0.000321464 -0.0085923 3.14156
8.31858 -0.0042704 -9.23475e-05 -0.182148 -0.00032586 -0.0085258 3.14156
8.32249 -0.00432968 -9.08973e-05 -0.185515 -0.000329921 -0.00845778 3.14156
8.32655 -0.00438877 -8.93847e-05 -0.188899 -0.000333908 -0.00838879 3.14156
8.33074 -0.00444767 -8.78106e-05 -0.192299 -0.000337541 -0.00831879 3.14156
8.33468 -0.00450634 -8.61768e-05 -0.195714 -0.000340565 -0.00824704 3.14156
8.33863 -0.0045648 -8.44904e-05 -0.199145 -0.000343352 -0.0081728 3.14156
8.3448 -0.00462306 -8.27309e-05 -0.202589 -0.000346531 -0.00809804 3.14156
8.3492 -0.00468112 -8.08827e-05 -0.206045 -0.000350416 -0.00802389 3.14156
8.35097 -0.00473897 -7.89593e-05 -0.209514 -0.000355156 -0.00795 3.14156
8.35493 -0.00479659 -7.69827e-05 -0.212995 -0.000359904 -0.00787682 3.14156
8.35878 -0.00485398 -7.49702e-05 -0.216486 -0.000365048 -0.00780434 3.14156
8.3633 -0.00491109 -7.29144e-05 -0.219988 -0.000371127 -0.00773202 3.14156
8.36691 -0.00496792 -7.07912e-05 -0.223498 -0.00037761 -0.00765918 3.14156
8.37096 -0.00502448 -6.85904e-05 -0.227018 -0.000383625 -0.00758626 3.14156
8.37487 -0.00508073 -6.63037e-05 -0.230545 -0.000389877 -0.00751285 3.14156
8.37917 -0.00513666 -6.39252e-05 -0.23408 -0.00039705 -0.00743861 3.14156
8.38284 -0.0051923 -6.14623e-05 -0.237621 -0.000403902 -0.00736353 3.14156
8.38708 -0.00524763 -5.89292e-05 -0.241169 -0.00041055 -0.00728761 3.14156
8.39327 -0.00530264 -5.63241e-05 -0.244722 -0.000417133 -0.00721213 3.14156
8.39687 -0.00535729 -5.36441e-05 -0.248281 -0.00042352 -0.00713683 3.14156
8.39948 -0.00541158 -5.08967e-05 -0.251844 -0.00043002 -0.00706243 3.14156
8.40639 -0.0054655 -4.80666e-05 -0.255411 -0.000436736 -0.00699003 3.14156
8.40789 -0.00551904 -4.5155e-05 -0.258982 -0.000443766 -0.00692033 3.14156
8.41143 -0.00557216 -4.21929e-05 -0.262556 -0.000451301 -0.00685353 3.14157
8.41511 -0.00562487 -3.91817e-05 -0.266132 -0.00045778 -0.00678795 3.14157
8.4192 -0.00567717 -3.61101e-05 -0.269711 -0.000463258 -0.00672342 3.14157
8.42308 -0.00572906 -3.29872e-05 -0.273291 -0.000468658 -0.00665929 3.14157
8.42761 -0.00578053 -2.98199e-05 -0.276872 -0.000473265 -0.00659578 3.14157
8.43111 -0.00583155 -2.65877e-05 -0.280454 -0.000476889 -0.00653375 3.14157
8.4353 -0.00588212 -2.32534e-05 -0.284037 -0.000479835 -0.00647167 3.14157
8.43918 -0.00593222 -1.98096e-05 -0.287619 -0.00048316 -0.00640986 3.14157
8.44385 -0.00598183 -1.62719e-05 -0.291201 -0.000486023 -0.00634861 3.14157
8.44929 -0.00603097 -1.26544e-05 -0.294783 -0.00048781 -0.00628967 3.14157
8.45153 -0.00607963 -8.96118e-06 -0.298362 -0.000490267 -0.00623245 3.14157
8.45578 -0.00612784 -5.17754e-06 -0.301941 -0.000493307 -0.0061763 3.14157
8.45963 -0.00617559 -1.30327e-06 -0.305517 -0.000497093 -0.00612151 3.14157
8.46343 -0.00622288 2.6466e-06 -0.309091 -0.000502079 -0.00606829 3.14157
8.46746 -0.00626965 6.67493e-06 -0.312663 -0.000508014 -0.00601767 3.14157
8.47145 -0.00631589 1.07982e-05 -0.316231 -0.000514055 -0.00596839 3.14157
8.47582 -0.00636157 1.50217e-05 -0.319797 -0.000520326 -0.00592007 3.14157
8.4797 -0.00640671 1.93557e-05 -0.323358 -0.000527446 -0.00587359 3.14157
8.48354 -0.00645131 2.38152e-05 -0.326917 -0.000533296 -0.00582794 3.14157
8.48803 -0.00649536 2.83794e-05 -0.330471 -0.000538544 -0.00578251 3.14157
8.49245 -0.00653883 3.30113e-05 -0.334021 -0.000543155 -0.00573765 3.14157
8.49917 -0.00658174 3.76962e-05 -0.337566 -0.000546919 -0.00569287 3.14157
8.50026 -0.00662409 4.24343e-05 -0.341107 -0.000550178 -0.00564955 3.14157
8.50903 -0.0082974 0.00103529 -0.34322 -0.000553144 -0.0056079 3.14157
8.50924 -0.00834241 0.00104257 -0.346746 -0.00055524 -0.00556642 3.14157
8.51205 -0.00838684 0.00104993 -0.350267 -0.000555551 -0.00552547 3.14157
8.51613 -0.00843066 0.00105736 -0.353782 -0.00055583 -0.00548562 3.14157
8.52009 -0.00847386 0.00106486 -0.357291 -0.000557394 -0.00544719 3.14157
8.52449 -0.00851644 0.00107242 -0.360794 -0.000558968 -0.00540982 3.14157
8.52828 -0.00855841 0.00108004 -0.36429 -0.000558952 -0.00537274 3.14157
8.53218 -0.00859974 0.00108775 -0.367779 -0.00055941 -0.0053359 3.14157
8.53622 -0.00864045 0.00109552 -0.371261 -0.000561046 -0.0052995 3.14157
8.54045 -0.00868053 0.00110333 -0.374736 -0.000562288 -0.00526307 3.14157
8.54698 -0.00872002 0.0011112 -0.378203 -0.000563537 -0.00522666 3.14157
8.55054 -0.00875892 0.00111916 -0.381663 -0.00056485 -0.00519127 3.14157
8.55302 -0.00879718 0.0011272 -0.385115 -0.00056634 -0.00515637 3.14157
