Time X Y Z Roll Pitch Yaw
8.25829 -0.000107709 -0.00336784 0.134318 -0.000243998 0.00940807 -1.57076
8.26202 -0.000107116 -0.00342846 0.137318 -0.000248246 0.00936306 -1.57076
8.26674 -0.000106453 -0.00348905 0.14035 -0.000252072 0.00931515 -1.57076
8.27023 -0.000105704 -0.00354962 0.143411 -0.0002572 0.00926372 -1.57076
8.27409 -0.000104871 -0.00361014 0.146501 -0.000262993 0.00920912 -1.57076
8.27807 -0.00010397 -0.0036706 0.14962 -0.000268553 0.00915232 -1.57076
8.28237 -0.000103018 -0.00373099 0.152766 -0.000273911 0.00909302 -1.57076
8.2866 -0.000102023 -0.0037913 0.155938 -0.000280411 0.0090317 -1.57076
8.29912 -9.87432e-05 -0.00397171 0.165601 -0.000301058 0.00884505 -1.57077
8.30314 -9.75576e-05 -0.0040317 0.168869 -0.000306315 0.0087825 -1.57077
8.3085 -9.63364e-05 -0.00409157 0.172159 -0.000311125 0.00871999 -1.57077
8.3104 -9.50624e-05 -0.00415132 0.175469 -0.000316388 0.00865676 -1.57077
8.31485 -9.37318e-05 -0.00421093 0.178799 -0.000321464 0.0085923 -1.57077
8.31856 -9.23475e-05 -0.0042704 0.182148 -0.00032586 0.0085258 -1.57077
8.32244 -9.08973e-05 -0.00432968 0.185515 -0.000329921 0.00845779 -1.57077
8.3264 -8.93847e-05 -0.00438877 0.188899 -0.000333908 0.00838879 -1.57077
8.33066 -8.78106e-05 -0.00444767 0.192299 -0.000337541 0.00831879 -1.57077
8.3345 -8.61768e-05 -0.00450634 0.195714 -0.000340565 0.00824704 -1.57077
8.33865 -8.44904e-05 -0.0045648 0.199145 -0.000343352 0.0081728 -1.57077
8.34461 -8.27309e-05 -0.00462306 0.202589 -0.000346531 0.00809804 -1.57077
8.34911 -8.08827e-05 -0.00468112 0.206045 -0.000350416 0.00802389 -1.57077
8.35087 -7.89593e-05 -0.00473897 0.209514 -0.000355156 0.00795 -1.57077
8.35489 -7.69826e-05 -0.00479659 0.212995 -0.000359904 0.00787682 -1.57077
8.35871 -7.49702e-05 -0.00485398 0.216486 -0.000365048 0.00780434 -1.57077
8.3632 -7.29144e-05 -0.00491109 0.219988 -0.000371127 0.00773202 -1.57077
8.36682 -7.07912e-05 -0.00496792 0.223498 -0.00037761 0.00765918 -1.57077
8.3709 -6.85904e-05 -0.00502448 0.227018 -0.000383625 0.00758626 -1.57077
8.37478 -6.63037e-05 -0.00508073 0.230545 -0.000389877 0.00751285 -1.57077
8.37905 -6.39252e-05 -0.00513666 0.23408 -0.00039705 0.00743861 -1.57077
8.38278 -6.14623e-05 -0.0051923 0.237621 -0.000403902 0.00736352 -1.57077
8.38685 -5.89292e-05 -0.00524763 0.241169 -0.00041055 0.00728761 -1.57077
8.39302 -5.63241e-05 -0.00530264 0.244722 -0.000417133 0.00721213 -1.57077
8.39647 -5.36441e-05 -0.00535729 0.248281 -0.00042352 0.00713683 -1.57077
8.39937 -5.08967e-05 -0.00541158 0.251844 -0.00043002 0.00706243 -1.57077
8.40632 -4.80666e-05 -0.0054655 0.255411 -0.000436736 0.00699003 -1.57077
8.4079 -4.5155e-05 -0.00551904 0.258982 -0.000443766 0.00692033 -1.57077
8.41138 -4.21929e-05 -0.00557216 0.262556 -0.000451301 0.00685353 -1.57077
8.41501 -3.91817e-05 -0.00562487 0.266132 -0.00045778 0.00678795 -1.57077
8.41912 -3.61101e-05 -0.00567717 0.269711 -0.000463258 0.00672342 -1.57077
8.42302 -3.29872e-05 -0.00572906 0.273291 -0.000468658 0.00665929 -1.57077
8.42751 -2.98199e-05 -0.00578053 0.276872 -0.000473265 0.00659578 -1.57077
8.43103 -2.65877e-05 -0.00583155 0.280454 -0.000476889 0.00653375 -1.57077
8.43515 -2.32534e-05 -0.00588212 0.284037 -0.000479835 0.00647167 -1.57077
8.4391 -1.98096e-05 -0.00593222 0.287619 -0.00048316 0.00640986 -1.57077
8.4436 -1.62719e-05 -0.00598183 0.291201 -0.000486023 0.00634861 -1.57077
8.44921 -1.26544e-05 -0.00603097 0.294783 -0.00048781 0.00628967 -1.57077
8.45143 -8.96118e-06 -0.00607963 0.298362 -0.000490267 0.00623245 -1.57077
8.45551 -5.17754e-06 -0.00612784 0.301941 -0.000493307 0.0061763 -1.57077
8.45957 -1.30327e-06 -0.00617559 0.305517 -0.000497093 0.00612151 -1.57077
8.46336 2.6466e-06 -0.00622288 0.309091 -0.000502079 0.00606829 -1.57077
8.46744 6.67493e-06 -0.00626965 0.312663 -0.000508014 0.00601767 -1.57077
8.47137 1.07982e-05 -0.00631589 0.316231 -0.000514055 0.00596839 -1.57077
8.47573 1.50217e-05 -0.00636157 0.319796 -0.000520326 0.00592007 -1.57077
8.47964 1.93557e-05 -0.00640671 0.323358 -0.000527446 0.00587359 -1.57077
8.48347 2.38152e-05 -0.00645131 0.326917 -0.000533296 0.00582794 -1.57077
8.48804 2.83794e-05 -0.00649536 0.330471 -0.000538544 0.00578251 -1.57077
8.49223 3.30113e-05 -0.00653883 0.334021 -0.000543155 0.00573765 -1.57077
8.49919 3.76962e-05 -0.00658174 0.337566 -0.000546919 0.00569287 -1.57077
8.50012 4.24343e-05 -0.00662409 0.341107 -0.000550178 0.00564955 -1.57077
8.50861 0.00103529 -0.0082974 0.34322 -0.000553144 0.0056079 -1.57077
8.50916 0.00104257 -0.00834241 0.346746 -0.000555241 0.00556642 -1.57077
8.51197 0.00104993 -0.00838684 0.350267 -0.000555551 0.00552547 -1.57077
8.51614 0.00105736 -0.00843066 0.353782 -0.00055583 0.00548562 -1.57077
8.52 0.00106486 -0.00847386 0.357291 -0.000557394 0.00544719 -1.57077
8.52439 0.00107242 -0.00851644 0.360794 -0.000558968 0.00540982 -1.57077
8.52819 0.00108004 -0.00855841 0.36429 -0.000558952 0.00537274 -1.57077
8.53211 0.00108775 -0.00859974 0.367779 -0.00055941 0.0053359 -1.57077
8.53623 0.00109552 -0.00864045 0.371261 -0.000561046 0.0052995 -1.57077
8.54036 0.00110333 -0.00868053 0.374736 -0.000562288 0.00526307 -1.57077
8.54681 0.0011112 -0.00872002 0.378203 -0.000563537 0.00522666 -1.57077
8.55027 0.00111916 -0.00875892 0.381663 -0.00056485 0.00519127 -1.57077
8.55288 0.0011272 -0.00879718 0.385115 -0.00056634 0.00515637 -1.57077
8.55699 0.00134317 -0.00987672 0.389081 -0.000567838 0.00512204 -1.57077
8.56081 0.00135193 -0.00991433 0.392519 -0.000568406 0.00508785 -1.57077
8.56462 0.0014561 -0.0112972 0.396475 -0.000568063 0.00505408 -1.57077
8.56855 0.00146516 -0.0113382 0.399896 -0.000567444 0.00502177 -1.57077
8.57271 0.00147431 -0.011378 0.403309 -0.000567001 0.00494776 -1.57077
8.57647 0.00148356 -0.0114166 0.406714 -0.000566544 0.00487414 -1.57077
8.58058 0.00149288 -0.0114553 0.410109 -0.000566557 0.00484371 -1.57077
8.5847 0.00150228 -0.0114943 0.413495 -0.000566851 0.00481545 -1.57077
