Time LX LY LZ
8.44687 1.4462e+07 1.4462e+07 1.4462e+07
8.54831 369.91 507.306 1073.55
8.64821 5924.45 1764.19 16737.5
8.94782 5961.73 1771.57 16913.3
8.95367 5982.74 1783.26 17085
8.9593 5991.41 1797.79 17329.7
9.05134 5988.11 1813.24 17741
9.15014 5980.69 1829.81 18503.6
9.25288 5974.53 1847.54 16123.1
9.35145 5962.15 1864.29 16461.7
9.45226 5949.97 1879.83 16769.2
9.60357 5271.47 1701.21 13478
9.65611 5262.11 1713.32 13670.8
9.75512 5243.4 1723.25 13888
9.85916 372.993 778.331 3832.83
10.0147 5756.9 1668.17 14870.4
10.0575 377.266 523.04 1116.01
10.5206 376.699 493.459 896.4
10.5284 378.369 469.988 761.019
10.5376 383.786 617.925 1959.69
10.5465 380.988 511.403 1015.02
10.5654 382.84 634.983 1983.72
10.6666 383.796 539.012 1371.99
10.7651 11064.6 2689.08 17689.4
11.0685 385.424 584.622 1752.01
11.0758 11238.2 2682.25 17790
11.084 387.87 689.471 2949.03
11.2248 12743.5 2847.34 18310.5
11.2684 12743.1 2852.37 18345.9
11.3709 12745.9 2857.77 18380.4
11.4763 389.343 615.719 1979.56
11.7216 11409.1 2394.13 17279.4
11.7294 11403.8 2395.87 17291.8
11.7718 11403.7 2398.49 17307.3
11.9272 11408.4 2401.69 17325.2
12.0271 389.57 593.755 1870.03
12.0847 388.164 493.975 915.887
12.18 391.353 706.121 3005.9
12.2786 16324.3 3110.56 19380.3
12.3775 16380 3117.97 19426.3
12.4823 390.899 517.81 1088.83
12.6808 16699.3 3182.13 19488.9
12.6912 391.951 626.273 1990.6
12.7842 391.972 558.341 1348.22
12.9334 18438.3 3275.68 19844.5
12.9827 18518.6 3284.64 19878.6
13.0862 18596.7 3293.49 19912.7
13.1874 393.15 755.894 4039.11
13.2851 20365.2 3486.25 21224.8
13.3893 20427.2 3495.99 21282.4
13.4904 20486.7 3504.76 21331.7
13.5885 20542.9 3512.83 21373.3
13.742 393.76 684.42 2925.88
13.7915 22674.7 3722.26 21266.9
13.891 22725.9 3729.77 21304
13.9918 22772.1 3736.94 21342.9
14.0917 22819.5 3744.4 21384.2
14.192 22863 3751.46 21424.5
14.295 22906.9 3758.68 21466.7
14.3966 22953.4 3766.34 21512.5
14.4938 23003.8 3774.26 21559.1
14.5954 23057.2 3782.49 21607.8
14.7501 23111.2 3790.85 21658.3
14.8476 23168.1 3799.43 21710.1
14.9003 23229.7 3808.39 21763.9
15.0001 23301.7 3818.95 21822.8
15.153 23379.9 3829.71 21884.9
15.209 23466 3841.33 21950.6
15.5339 23558.2 3853.68 22018.2
15.8446 23658.9 3866.86 22089.3
16.4043 23814.4 3886.34 22192.6
16.4449 24135.7 3925.29 22380.5
16.4812 24283 3942.59 22471.6
16.5101 24437.9 3961.3 22563.4
16.5254 24608.9 3981.53 22660
16.7088 24795.7 4003.37 22762.3
16.7198 25005.6 4027.98 22873.5
16.7339 25232.2 4053.79 22991.1
16.7462 23159.6 3859.51 21896.9
16.7884 23394.6 3887.26 22006.9
17.0404 23645.8 3916.67 22122.4
