Time X Y Z Roll Pitch Yaw
1.06146 -3.5154e-06 8.88008e-06 -0.0085261 2.16923e-05 2.80554e-05 1.57082
1.06979 -3.94406e-06 9.42251e-06 -0.00852916 2.16099e-05 2.78714e-05 1.57082
1.08385 -4.66767e-06 1.05336e-05 -0.00853519 2.30452e-05 2.73027e-05 1.57082
1.09023 -4.92592e-06 1.10939e-05 -0.00853807 2.2057e-05 2.65222e-05 1.57082
1.10193 -5.18336e-06 1.16591e-05 -0.00854082 2.12685e-05 2.57485e-05 1.57082
1.10973 -5.53897e-06 1.22179e-05 -0.00854351 2.07379e-05 2.57938e-05 1.57082
1.12167 -5.91129e-06 1.27442e-05 -0.00854601 2.10808e-05 2.47745e-05 1.57082
1.13159 -6.30958e-06 1.31855e-05 -0.00854838 2.06487e-05 2.36215e-05 1.57082
1.14306 -7.18707e-06 1.39198e-05 -0.00855274 2.11939e-05 2.25678e-05 1.57082
1.15028 -7.70352e-06 1.42837e-05 -0.00855493 2.11414e-05 2.29408e-05 1.57082
1.16233 -8.20586e-06 1.47139e-05 -0.00855713 2.17954e-05 2.36636e-05 1.57082
1.17005 -8.70137e-06 1.51529e-05 -0.00855932 2.15611e-05 2.48408e-05 1.57082
1.18259 -9.66883e-06 1.59522e-05 -0.00856351 2.28395e-05 2.36776e-05 1.57082
1.19146 -1.0014e-05 1.62536e-05 -0.0085656 2.28485e-05 2.58211e-05 1.57082
1.20259 -1.02704e-05 1.66085e-05 -0.00856773 2.3726e-05 2.59607e-05 1.57082
1.21065 -1.04753e-05 1.69237e-05 -0.00856988 2.55555e-05 2.46858e-05 1.57081
1.22262 -1.08553e-05 1.7721e-05 -0.00857384 2.69668e-05 2.50376e-05 1.57081
1.23076 -1.11053e-05 1.83031e-05 -0.00857575 2.75794e-05 2.47524e-05 1.57082
1.24311 -1.19151e-05 1.94019e-05 -0.00857941 2.75816e-05 2.64042e-05 1.57082
1.2516 -1.23579e-05 2.00151e-05 -0.00858111 2.66006e-05 2.74845e-05 1.57082
1.26278 -1.27705e-05 2.06648e-05 -0.00858276 2.62119e-05 2.85943e-05 1.57082
1.27077 -1.32461e-05 2.12962e-05 -0.00858441 2.49333e-05 2.96944e-05 1.57082
1.2842 -1.43356e-05 2.22746e-05 -0.00858763 2.22477e-05 3.0145e-05 1.57082
1.29223 -1.4899e-05 2.27302e-05 -0.00858927 2.29547e-05 3.05032e-05 1.57082
1.30283 -1.5443e-05 2.32636e-05 -0.008591 2.42864e-05 3.07796e-05 1.57082
1.3109 -1.59391e-05 2.37048e-05 -0.00859277 2.53759e-05 3.30825e-05 1.57081
1.32342 -1.67655e-05 2.43914e-05 -0.00859609 2.44881e-05 3.46193e-05 1.57081
1.33197 -1.7164e-05 2.4742e-05 -0.0085977 2.43037e-05 3.52765e-05 1.57081
1.34423 -1.75815e-05 2.50894e-05 -0.00859933 2.45931e-05 3.56949e-05 1.57081
1.35153 -1.79414e-05 2.54197e-05 -0.00860106 2.5854e-05 3.53683e-05 1.57081
1.36343 -1.82193e-05 2.57123e-05 -0.0086027 2.55099e-05 3.50329e-05 1.57081
1.37182 -1.83983e-05 2.59328e-05 -0.00860439 2.49828e-05 3.60803e-05 1.57081
1.38462 -1.88219e-05 2.61067e-05 -0.00860758 2.48908e-05 3.66193e-05 1.57081
1.39194 -1.91744e-05 2.62307e-05 -0.00860916 2.65188e-05 3.77214e-05 1.57081
1.40398 -1.98232e-05 2.59909e-05 -0.00861222 2.51952e-05 3.93751e-05 1.57081
1.41182 -2.00539e-05 2.56515e-05 -0.00861367 2.71794e-05 4.03211e-05 1.57082
1.42379 -2.01857e-05 2.52794e-05 -0.00861507 2.80614e-05 4.02268e-05 1.57081
1.43317 -2.02593e-05 2.49558e-05 -0.00861629 2.76657e-05 4.15025e-05 1.57081
1.44485 -2.0246e-05 2.46751e-05 -0.00861738 2.7593e-05 4.13172e-05 1.57081
1.45274 -2.02438e-05 2.44168e-05 -0.00861855 2.72434e-05 4.20545e-05 1.57081
1.46413 -2.0272e-05 2.38137e-05 -0.00862068 2.65967e-05 4.36889e-05 1.57081
1.47219 -2.04288e-05 2.34494e-05 -0.00862174 2.57855e-05 4.33179e-05 1.57081
