Time X Y Z Roll Pitch Yaw
8.45412 0.000691664 -0.00299296 nan 0.000356209 -0.00811107 -1.57097
8.45874 0.000693248 -0.00304554 nan 0.000334806 -0.00805583 -1.57097
8.46242 0.00069422 -0.00309825 nan 0.000313714 -0.00799814 -1.57097
8.46617 0.000694978 -0.00315108 nan 0.000294046 -0.00793848 -1.57097
8.47011 0.000695629 -0.003204 nan 0.000275336 -0.0078783 -1.57097
8.47493 0.000696234 -0.00325701 nan 0.000257063 -0.00781717 -1.57097
8.47889 0.000696824 -0.00331009 nan 0.000239161 -0.00775514 -1.57097
8.49697 0.000662797 -0.00352271 nan 0.000167133 -0.00750473 -1.57096
8.49918 0.000672544 -0.00357593 nan 0.000149847 -0.00744066 -1.57096
8.50283 0.00068058 -0.00362981 nan 0.000132031 -0.00742304 -1.57096
8.50712 0.000687361 -0.00368424 nan 0.000114533 -0.007404 -1.57096
8.5106 0.000693206 -0.00373778 nan 9.79929e-05 -0.00733574 -1.57096
8.51452 0.000698345 -0.00379032 nan 8.04271e-05 -0.0072643 -1.57096
8.51857 0.000702939 -0.00384248 nan 6.3547e-05 -0.00718778 -1.57096
8.5233 0.000707088 -0.00389426 nan 4.74233e-05 -0.00710608 -1.57096
8.52681 0.000710899 -0.00394505 nan 3.13307e-05 -0.00699197 -1.57096
8.53076 0.00071444 -0.00399491 nan 1.54818e-05 -0.00687697 -1.57096
8.53722 0.00071778 -0.0040452 nan -5.58587e-07 -0.00679251 -1.57095
8.54089 0.000720987 -0.00409602 nan -1.7109e-05 -0.00671143 -1.57095
8.54328 0.000724085 -0.00414745 nan -3.4241e-05 -0.00669456 -1.57095
8.54697 0.00069111 -0.00527437 nan -5.05601e-05 -0.00668013 -1.57095
8.55095 0.000661175 -0.00532793 nan -6.54706e-05 -0.0066072 -1.57095
8.55513 0.000633918 -0.0053804 nan -8.06792e-05 -0.00653449 -1.57095
8.55924 0.000609024 -0.00543238 nan -9.60579e-05 -0.00645789 -1.57095
8.56291 0.000586235 -0.00548387 nan -0.000110327 -0.00637544 -1.57095
8.56676 0.000565328 -0.00553485 nan -0.000124861 -0.00628898 -1.57095
8.57127 0.000546115 -0.00558531 nan -0.000140479 -0.00620127 -1.57094
8.57494 0.000528428 -0.00563471 nan -0.000156121 -0.00608964 -1.57094
8.57956 0.000512122 -0.00568313 nan -0.000170631 -0.00597846 -1.57094
8.59605 0.000453728 -0.005872 nan -0.000224393 -0.00566643 -1.57094
8.5996 0.000443507 -0.00591727 nan -0.000237965 -0.00559852 -1.57094
8.60366 0.000434198 -0.00596131 nan -0.000251784 -0.00553203 -1.57094
8.60727 0.000591346 -0.00600474 nan -0.000265581 -0.00546345 -1.57093
8.61116 0.000605651 -0.00604756 nan -0.000279157 -0.00539056 -1.57093
8.6151 0.000619878 -0.00608973 nan -0.000292187 -0.00531503 -1.57093
8.61955 0.000634032 -0.00613128 nan -0.000305341 -0.00523832 -1.57093
8.62349 0.000648128 -0.00617218 nan -0.000318545 -0.00516082 -1.57093
8.6272 0.000662152 -0.00621245 nan -0.000331013 -0.0050841 -1.57093
8.63124 0.0006761 -0.00625209 nan -0.000343255 -0.00500959 -1.57092
8.63755 0.000689982 -0.00629107 nan -0.000355178 -0.00493709 -1.57092
8.64124 0.000703798 -0.00632938 nan -0.000366346 -0.00486662 -1.57092
8.64401 0.000717546 -0.006367 nan -0.000376857 -0.00479872 -1.57092
8.64783 0.000548784 -0.0071804 nan -0.000386437 -0.00473371 -1.57092
8.65184 0.000561866 -0.00721834 nan -0.000396169 -0.00467201 -1.57092
8.65564 0.000574839 -0.00725557 nan -0.000405572 -0.00461211 -1.57092
8.65974 0.000587689 -0.00729208 nan -0.000414431 -0.00455379 -1.57091
8.66368 0.000600434 -0.00732723 nan -0.000422407 -0.00444825 -1.57091
8.66801 0.000613109 -0.00736108 nan -0.000429914 -0.00434358 -1.57091
8.67185 0.000625725 -0.00739564 nan -0.000438515 -0.00432734 -1.57091
8.67579 0.00063829 -0.0074309 nan -0.000447073 -0.00431426 -1.5709
8.68025 0.000650825 -0.00746487 nan -0.000454969 -0.0042674 -1.5709
8.68477 0.000663326 -0.00749749 nan -0.000463259 -0.00422289 -1.5709
8.69051 0.000675761 -0.00752934 nan -0.000471057 -0.00417793 -1.5709
8.6924 0.000688106 -0.00756043 nan -0.00047869 -0.00413118 -1.5709
8.69929 0.000700363 -0.00759074 nan -0.00048748 -0.00408205 -1.57089
8.70116 0.000712527 -0.00762025 nan -0.000495565 -0.00403038 -1.57089
8.70448 0.000724609 -0.00764894 nan -0.000503433 -0.00397729 -1.57089
8.70811 0.000736625 -0.00767681 nan -0.000511891 -0.00392309 -1.57089
8.71194 0.000748573 -0.00770385 nan -0.000520729 -0.0038682 -1.57089
8.71636 0.000760457 -0.00773004 nan -0.00052935 -0.00381343 -1.57089
8.71999 0.000772267 -0.00775537 nan -0.000537824 -0.00375938 -1.57089
8.724 0.000783985 -0.00777985 nan -0.000547175 -0.00370495 -1.57088
8.72795 0.000795613 -0.00780346 nan -0.000556568 -0.00365047 -1.57088
