Time LX LY LZ
8.16465 1597.61 385.661 12389.5
8.26397 705.021 386.575 2760.4
8.36573 6186.29 9693.73 33368.9
8.46773 5828.38 3327.56 23918.5
8.61062 1179.35 2555.12 8243.2
8.66446 1188.76 2584.82 8235.45
8.76272 1199.85 2614.13 8244.36
8.86409 1211.76 2641.06 8263.64
8.96562 1224.11 2668.89 8287.74
9.06557 1235.12 2692.69 8309.17
9.27043 1245.21 2714.95 8333.29
9.27571 792.435 1616.48 7113.82
9.41941 793.219 1616.4 7117.45
9.47585 793.943 1616.25 7122.22
9.5712 477.132 364.939 863.695
9.67333 853.097 1699.21 7945.98
9.77941 493.949 367.845 1025.35
9.88462 479.676 370.317 825.695
9.97418 657.877 376.328 2169.07
10.1358 608.461 377.565 1934.24
10.1852 483.186 378.219 890.897
10.3298 3026.49 7830.99 15569.5
10.3796 573.53 374.389 1380.1
10.484 623.468 380.862 1981.42
10.7886 541.372 376.657 1252.05
10.7956 2705.02 9929.25 15691.2
10.8023 2704.2 9907.79 15687.5
10.8822 699.979 385.948 3118.41
10.9879 550.77 379.029 1454.69
11.0868 626.022 385.698 2247.79
11.1878 3708.08 14503.3 18196.1
11.2885 3706.94 14455.2 18190.1
11.3882 590.893 386.834 2082.86
11.4893 3695.03 14591.4 18285.8
11.5912 3694.55 14557.2 18276.1
11.6894 3693.85 14523.4 18266.4
11.7917 3341.46 12856.2 17543.6
11.8963 3340.94 12834.3 17535.1
12.0482 624.686 385.885 2169.44
12.0987 3434.73 13331.3 17859.8
12.201 549.048 388.093 1419.46
12.3979 467.862 385.821 801.525
12.4517 653.71 387.371 2282.91
12.4982 449.73 917.67 2997.96
12.604 709.715 391.398 2982.68
12.6969 482.512 1044.94 3634.11
12.7982 482.989 1044.89 3639.61
12.9009 483.437 1044.87 3644.48
13.0025 651.58 390.797 2824.59
13.1615 509.101 1234.02 4038.85
13.2046 509.487 1234.59 4040.51
13.3545 509.761 1235.13 4041.92
13.455 509.956 1235.68 4043.16
13.5063 510.039 1236.13 4043.9
13.6651 510.055 1236.57 4044.71
13.7046 509.985 1237.06 4045.02
13.8154 509.87 1237.44 4045.41
13.9084 509.742 1237.91 4046.11
14.0064 509.603 1238.46 4046.98
14.2107 509.467 1239.05 4048.08
14.2638 509.352 1239.72 4049.47
14.3096 509.271 1240.45 4051.18
14.4131 509.225 1241.2 4053
14.5177 509.233 1242.06 4055.13
14.6122 509.295 1243.04 4057.59
14.8172 509.413 1244.14 4060.35
14.8277 509.588 1245.31 4063.48
14.9127 509.838 1246.69 4067.12
15.0177 510.155 1248.38 4071.32
15.1174 510.515 1250.23 4075.87
15.9147 511.091 1253.25 4082.9
15.968 511.526 1255.49 4088.37
16.4188 512.458 1260.55 4099.84
16.4521 513.507 1266.33 4113.14
16.4766 513.817 1268.07 4117.46
16.552 514.497 1271.54 4126.38
16.5694 515.243 1275.73 4136.45
16.7906 516.463 1282.93 4152.86
16.8002 516.921 1285.68 4159.16
16.8122 517.824 1291.31 4171.68
16.8264 518.763 1297.16 4184.68
16.8429 519.743 1303.29 4198.13
16.8918 520.76 1309.7 4212.14
16.9041 521.801 1316.27 4226.4
17.0728 522.918 1323.2 4241.63
17.1355 524.112 1330.55 4257.83
17.3287 525.371 1338.48 4275.03
17.3417 526.694 1346.87 4293.22
17.4783 528.104 1355.83 4312.55
17.59 529.568 1365.22 4332.68
17.6316 531.107 1375.19 4353.88
17.7328 510.475 1161.81 3965.86
17.8318 512.049 1170.26 3987.8
17.9348 513.64 1179.09 4010.23
18.0338 515.382 1188.1 4033.78
18.1866 517.316 1197.67 4059.21
18.281 697.604 395.019 2870.87
18.4341 703.124 395.01 2893.77
18.4454 708.964 394.998 2918.12
18.5382 4929.48 20298.4 25910.4
18.6353 4991.99 20609.7 26282.9
18.7916 5057.18 20930.6 26681.1
18.8442 5125.52 21261.3 27103.6
18.9898 5105.26 21052.5 26795
19.1378 4762.13 20198.5 24677.4
19.1494 4829.13 20570.5 25053.8
19.2406 4900.4 20963.5 25460.2
19.3383 4975.38 21372.8 25901.3
19.4449 5053.39 21791.7 26378.6
19.5431 723.298 393.109 2795.36
19.6424 5390.93 28056.6 23826
19.7436 5290.25 27022.5 23716.4
19.8451 5166.78 22935.4 25859
19.9457 5148.95 22465 26026.9
20.0447 5180.83 22767 26396.9
20.2136 5281.05 23449.5 26911.7
20.3589 5388.58 24178.4 27488
20.3768 845.438 390.993 3547.55
20.6078 5913.48 30068.4 27696.2
20.6197 6045.85 31142.3 28367.5
20.6538 6183.65 32334.6 29023.3
21.0028 678.516 390.352 1821.77
21.0157 5767.19 30771.8 27663.3
21.0277 588.811 390.707 1176.29
21.1043 6148.03 33415.2 29159.8
