Time X Y Z Roll Pitch Yaw
0.522304 0.000240127 -6.33883e-05 -0.0166163 0.00142902 -0.0031918 1.55655
0.528294 0.000239718 -6.25342e-05 -0.0166106 0.00142782 -0.00319095 1.55655
0.543077 0.000238809 -6.0911e-05 -0.016597 0.00142885 -0.00319145 1.55656
0.553037 0.000238306 -6.02311e-05 -0.0165907 0.00142803 -0.00319017 1.55657
0.563654 0.000237828 -5.97987e-05 -0.0165848 0.00142889 -0.00318872 1.55658
0.568769 0.000237279 -5.93923e-05 -0.0165792 0.0014298 -0.00318772 1.55658
0.58827 0.000235803 -5.87459e-05 -0.0165676 0.00142852 -0.00318664 1.55659
0.597354 0.000234963 -5.83825e-05 -0.0165616 0.00142916 -0.00318607 1.5566
0.613118 0.000233571 -5.77837e-05 -0.0165504 0.00142969 -0.00318526 1.55661
0.621989 0.000232777 -5.73732e-05 -0.016545 0.00143114 -0.00318503 1.55662
0.633584 0.000232022 -5.70353e-05 -0.01654 0.00143113 -0.00318478 1.55662
0.64322 0.000231256 -5.66745e-05 -0.0165338 0.00143111 -0.00318346 1.55662
0.665952 0.0002306 -5.64547e-05 -0.0165278 0.00142973 -0.00318176 1.55662
0.669959 0.000229962 -5.63003e-05 -0.0165221 0.00142986 -0.00318132 1.55663
0.691567 0.000228587 -5.61345e-05 -0.0165115 0.0014279 -0.00318169 1.55663
0.701621 0.000227781 -5.59445e-05 -0.0165063 0.00142873 -0.0031811 1.55663
0.719606 0.000226122 -5.58113e-05 -0.0164946 0.00142626 -0.00318215 1.55663
0.728822 0.000225379 -5.57226e-05 -0.0164892 0.00142627 -0.00318263 1.55663
0.736649 0.000224705 -5.5681e-05 -0.016484 0.00142485 -0.00318341 1.55663
0.744403 0.000224023 -5.55731e-05 -0.0164791 0.00142579 -0.0031847 1.55663
0.761411 0.000222505 -5.55093e-05 -0.0164695 0.00142613 -0.0031867 1.55663
0.769985 0.000221684 -5.53888e-05 -0.0164636 0.00142269 -0.00318631 1.55663
0.780931 0.000220952 -5.54092e-05 -0.016458 0.00142153 -0.00318517 1.55664
0.793603 0.000220159 -5.54215e-05 -0.0164527 0.00142153 -0.00318616 1.55665
0.814292 0.000219356 -5.54667e-05 -0.0164475 0.00142288 -0.00318787 1.55666
0.81894 0.000218328 -5.54528e-05 -0.0164424 0.00142281 -0.00318868 1.55667
0.829685 0.000215953 -5.53953e-05 -0.0164312 0.00142315 -0.00318846 1.55668
0.845657 0.00021466 -5.53169e-05 -0.0164252 0.00142258 -0.00318718 1.55669
0.860734 0.000212139 -5.5133e-05 -0.0164138 0.00142095 -0.00318546 1.5567
0.8702 0.000210762 -5.51233e-05 -0.0164084 0.00142036 -0.00318743 1.5567
0.877453 0.000209346 -5.52327e-05 -0.0164031 0.00142169 -0.00318809 1.55671
0.891917 0.000207753 -5.53445e-05 -0.0163966 0.00142111 -0.00318713 1.55671
0.908722 0.000206246 -5.55503e-05 -0.0163904 0.00142137 -0.00318728 1.55671
0.913592 0.000204782 -5.57804e-05 -0.0163842 0.00142136 -0.00318905 1.55671
0.928168 0.000201944 -5.62276e-05 -0.0163727 0.00142246 -0.00319135 1.55672
0.936267 0.000200647 -5.64858e-05 -0.0163672 0.00142183 -0.00319127 1.55672
0.946655 0.000199437 -5.68016e-05 -0.0163604 0.00142152 -0.00319078 1.55671
0.963094 0.000198181 -5.71387e-05 -0.0163538 0.00142074 -0.00319032 1.55671
0.975156 0.000195931 -5.75872e-05 -0.0163412 0.00142239 -0.00318739 1.55671
0.983792 0.000194911 -5.78111e-05 -0.016335 0.00142313 -0.00318814 1.55671
1.00132 0.000193994 -5.81256e-05 -0.016329 0.00142287 -0.00318842 1.55671
1.00657 0.000193053 -5.85213e-05 -0.0163231 0.00142315 -0.00318911 1.55671
1.04657 0.000190827 -5.92871e-05 -0.0163089 0.00142298 -0.00318998 1.55672
1.05239 0.00018964 -5.95848e-05 -0.0163022 0.00142409 -0.00318929 1.55673
1.09477 0.000187285 -6.03206e-05 -0.0162891 0.00142431 -0.00318924 1.55674
1.11064 0.000186022 -6.06458e-05 -0.0162829 0.00142421 -0.00318881 1.55675
1.122 0.000184823 -6.09778e-05 -0.0162756 0.00142268 -0.00318849 1.55675
1.1298 0.000183541 -6.12714e-05 -0.0162685 0.00142298 -0.00318924 1.55676
1.15206 0.000180965 -6.21742e-05 -0.0162551 0.00142277 -0.00318983 1.55677
1.16052 0.000179556 -6.26459e-05 -0.0162487 0.00142267 -0.00318916 1.55678
1.16812 0.000178262 -6.31474e-05 -0.0162424 0.00142367 -0.00318693 1.55678
1.17973 0.000176945 -6.35324e-05 -0.0162355 0.001425 -0.00318635 1.55678
1.19695 0.000174584 -6.42607e-05 -0.0162223 0.00142748 -0.00318977 1.55679
1.20652 0.000173426 -6.45491e-05 -0.016216 0.00142659 -0.00318927 1.55679
1.21715 0.000172307 -6.49323e-05 -0.0162099 0.00142694 -0.00318882 1.55679
1.22489 0.000171189 -6.52976e-05 -0.0162039 0.00142617 -0.00318949 1.55679
1.24827 0.000169009 -6.5652e-05 -0.0161898 0.0014231 -0.0031919 1.55679
1.27885 0.00016787 -6.57272e-05 -0.016183 0.00142241 -0.0031934 1.55679
1.29073 0.000166896 -6.58203e-05 -0.0161764 0.00142255 -0.00319475 1.55679
1.30241 0.000165857 -6.58427e-05 -0.01617 0.00142221 -0.00319459 1.55679
1.32963 0.000163715 -6.55495e-05 -0.0161583 0.00142139 -0.0031965 1.55678
1.33835 0.000162502 -6.53554e-05 -0.0161515 0.00142129 -0.00319598 1.55679
1.34508 0.000161375 -6.52759e-05 -0.0161449 0.00141976 -0.00319559 1.5568
1.35359 0.000160179 -6.52989e-05 -0.0161385 0.0014188 -0.00319528 1.5568
1.37057 0.000157801 -6.55353e-05 -0.0161264 0.00141813 -0.00319662 1.55682
1.37923 0.00015638 -6.54746e-05 -0.0161206 0.00141721 -0.00319839 1.55682
1.39029 0.000154939 -6.54067e-05 -0.0161137 0.00141692 -0.00319706 1.55683
1.40001 0.000153467 -6.52879e-05 -0.0161071 0.00141683 -0.00319881 1.55684
1.41484 0.000152134 -6.50819e-05 -0.0161007 0.00141692 -0.00319949 1.55684
1.42446 0.000150768 -6.4788e-05 -0.0160946 0.00141748 -0.00319975 1.55685
1.43797 0.00014814 -6.40979e-05 -0.016083 0.00141755 -0.00319989 1.55686
1.44852 0.000146985 -6.35888e-05 -0.0160762 0.00141746 -0.00320005 1.55686
1.46831 0.000145132 -6.24871e-05 -0.0160633 0.00141933 -0.00320039 1.55687
1.48111 0.000144179 -6.19122e-05 -0.0160572 0.00141804 -0.00319952 1.55687
1.48861 0.000143416 -6.13766e-05 -0.0160514 0.00141625 -0.00320036 1.55687
1.50492 0.000142546 -6.0824e-05 -0.0160458 0.00141665 -0.00320139 1.55687
1.52037 0.000141806 -6.03704e-05 -0.016039 0.00141699 -0.00320135 1.55687
1.53159 0.000141024 -5.98826e-05 -0.0160324 0.00141632 -0.00320364 1.55687
1.54941 0.000139528 -5.89752e-05 -0.0160201 0.00141514 -0.00320429 1.55687
1.55768 0.000138816 -5.84257e-05 -0.0160143 0.00141483 -0.00320406 1.55687
1.5761 0.000138067 -5.79806e-05 -0.0160087 0.0014153 -0.00320379 1.55687
1.5809 0.000137169 -5.74698e-05 -0.0160032 0.00141574 -0.00320353 1.55687
1.59627 0.00013618 -5.68924e-05 -0.0159965 0.00141535 -0.00320495 1.55688
1.60917 0.000134386 -5.56894e-05 -0.0159839 0.00141675 -0.00320504 1.55689
1.62679 0.000133112 -5.45538e-05 -0.0159723 0.00141524 -0.00320346 1.55691
1.63461 0.00013245 -5.39744e-05 -0.0159668 0.00141502 -0.00320418 1.55691
1.64504 0.000131854 -5.34764e-05 -0.01596 0.00141331 -0.00320571 1.55692
1.65721 0.000131239 -5.28497e-05 -0.0159534 0.00141315 -0.00320557 1.55692
1.67273 0.000130064 -5.14298e-05 -0.0159408 0.00141227 -0.00320572 1.55693
