Time X Y Z Roll Pitch Yaw
8.17201 -0.00565706 -0.0001749 -0.0974078 -0.000131004 -0.0124398 3.14151
8.17569 -0.00577006 -0.000175184 -0.0999109 -0.000136286 -0.0124018 3.14151
8.18025 -0.00588405 -0.000175453 -0.10245 -0.000142152 -0.0123628 3.14151
8.18378 -0.00599902 -0.000175701 -0.105024 -0.000149593 -0.0123228 3.14151
8.18782 -0.00611499 -0.000175939 -0.107634 -0.000157461 -0.0122831 3.14151
8.19252 -0.00623195 -0.000176168 -0.110279 -0.000164886 -0.0122441 3.14151
8.19609 -0.00634988 -0.000176354 -0.112961 -0.000172088 -0.0122046 3.14151
8.20246 -0.00646876 -0.000176497 -0.115678 -0.000179933 -0.0121639 3.14151
8.20454 -0.00658858 -0.000176614 -0.118431 -0.000187716 -0.0121226 3.14151
8.2085 -0.00670934 -0.000176704 -0.12122 -0.000195224 -0.0120807 3.1415
8.21264 -0.00683103 -0.000176767 -0.124044 -0.000201432 -0.0120377 3.1415
8.21616 -0.00695364 -0.000176793 -0.126904 -0.000206259 -0.0119934 3.1415
8.22274 -0.00707773 -0.000176778 -0.1298 -0.000210753 -0.0119748 3.1415
8.22474 -0.00720315 -0.000176727 -0.13273 -0.000214722 -0.0119566 3.1415
8.22856 -0.00732857 -0.000176636 -0.135694 -0.000217564 -0.0119122 3.14151
8.23242 -0.00745389 -0.0001765 -0.138691 -0.000220168 -0.0118681 3.14151
8.23605 -0.00757967 -0.000176317 -0.141722 -0.000221771 -0.011822 3.14151
8.24011 -0.00770589 -0.000176095 -0.144784 -0.000222475 -0.0117719 3.14151
8.24453 -0.00783254 -0.000175831 -0.147878 -0.000224269 -0.0117185 3.14151
8.25051 -0.00795962 -0.000175522 -0.151001 -0.000226818 -0.0116621 3.14151
8.25364 -0.00808713 -0.000175178 -0.154155 -0.000229352 -0.0116042 3.14151
8.25653 -0.00821503 -0.000174797 -0.157336 -0.00023254 -0.0115454 3.14151
8.26074 -0.00834327 -0.00017438 -0.160545 -0.0002362 -0.0114857 3.14151
8.26454 -0.00540565 0.00463877 -0.16496 -0.000240799 -0.0114262 3.14151
8.26838 -0.00552644 0.004652 -0.168224 -0.000246419 -0.0113681 3.14151
8.27241 -0.00564762 0.00466528 -0.171513 -0.00025166 -0.0113119 3.14151
8.27694 -0.00576919 0.00467863 -0.174827 -0.0002576 -0.011256 3.14151
8.28078 -0.00589109 0.00469202 -0.178163 -0.000264773 -0.0112005 3.14151
8.28459 -0.00601329 0.00470544 -0.18152 -0.000271264 -0.0111456 3.14151
8.28868 -0.00613577 0.00471891 -0.184899 -0.000277563 -0.0110908 3.14151
8.29341 -0.00625855 0.00473245 -0.188298 -0.000284381 -0.0110362 3.14151
8.29934 -0.00638162 0.00474607 -0.191716 -0.000291859 -0.0109806 3.14151
8.31159 -0.00675212 0.00478732 -0.202075 -0.000313079 -0.0108031 3.14151
8.31312 -0.00687602 0.00480123 -0.205561 -0.000319163 -0.010741 3.14151
8.31685 -0.00700012 0.00481522 -0.209062 -0.000324674 -0.0106784 3.14151
8.32069 -0.00712443 0.00482925 -0.212577 -0.000329488 -0.0106154 3.14151
8.32507 -0.00724895 0.00484333 -0.216105 -0.000334471 -0.0105525 3.14151
8.32871 -0.00737365 0.00485747 -0.219646 -0.000338922 -0.0104899 3.14151
8.33284 -0.00749854 0.0048717 -0.223198 -0.000343123 -0.0104278 3.14152
8.33687 -0.00762361 0.00488602 -0.226762 -0.000347642 -0.0103659 3.14152
8.3412 -0.00774887 0.00490041 -0.230336 -0.000352156 -0.0103035 3.14152
8.34488 -0.0078743 0.00491485 -0.233919 -0.000357429 -0.0102411 3.14152
8.34896 -0.00799989 0.00492934 -0.237512 -0.000363413 -0.0101787 3.14152
8.35456 -0.00812559 0.00494392 -0.241113 -0.000369489 -0.010115 3.14152
8.35788 -0.0082514 0.00495859 -0.244721 -0.000375798 -0.0100495 3.14152
8.36125 -0.00837729 0.00497332 -0.248336 -0.000382308 -0.00998293 3.14152
8.36556 -0.00631618 0.00701268 -0.252697 -0.000389661 -0.00991534 3.14152
8.36961 -0.00643667 0.00703258 -0.256326 -0.000398341 -0.0098484 3.14152
8.37372 -0.00655724 0.00705256 -0.259961 -0.000408074 -0.00978234 3.14152
8.37748 -0.00667789 0.0070726 -0.2636 -0.000418521 -0.00971647 3.14152
8.38151 -0.0067986 0.00709268 -0.267243 -0.000428393 -0.00965148 3.14152
8.38534 -0.00691935 0.00711281 -0.270889 -0.000437889 -0.0095879 3.14152
8.3896 -0.00704011 0.007133 -0.274539 -0.000447591 -0.00952573 3.14152
8.39353 -0.00716088 0.00715331 -0.278191 -0.000456139 -0.00946483 3.14152
8.3997 -0.00728166 0.00717372 -0.281845 -0.000464174 -0.0094046 3.14152
8.4104 -0.00764388 0.00723525 -0.292813 -0.000486074 -0.00922527 3.14152
8.41636 -0.00776454 0.00725585 -0.296471 -0.000492538 -0.0091663 3.14152
8.41805 -0.00788515 0.0072765 -0.300129 -0.000499374 -0.00910739 3.14152
8.42188 -0.00800568 0.00729722 -0.303785 -0.000506842 -0.00904777 3.14152
8.42583 -0.00812614 0.00731799 -0.307441 -0.00051401 -0.00898959 3.14152
8.42949 -0.00824652 0.00733881 -0.311096 -0.000520737 -0.00893339 3.14152
8.43378 -0.00836682 0.00735969 -0.314749 -0.000527964 -0.00887953 3.14152
8.43783 -0.00848705 0.00738065 -0.318399 -0.000535076 -0.0088276 3.14152
8.4417 -0.00860719 0.00740172 -0.322047 -0.000540608 -0.00877589 3.14152
8.44562 -0.00872722 0.00742286 -0.325693 -0.000545333 -0.00872512 3.14152
8.44995 -0.00884713 0.00744406 -0.329335 -0.000550541 -0.00867508 3.14152
8.45414 -0.00896693 0.00746534 -0.332974 -0.000555343 -0.00862466 3.14152
8.45866 -0.0090866 0.0074867 -0.336609 -0.000559695 -0.00857432 3.14152
8.46284 -0.00920613 0.00750815 -0.34024 -0.000563578 -0.0085233 3.14153
8.46638 -0.00932296 0.00753005 -0.343868 -0.00056687 -0.00847178 3.14153
8.47017 -0.0100689 0.00724363 -0.347958 -0.000570258 -0.00842045 3.14153
8.47403 -0.0101893 0.00726465 -0.351577 -0.000573944 -0.00836868 3.14153
8.47806 -0.0103095 0.00728578 -0.35519 -0.000577547 -0.00831721 3.14153
8.48235 -0.0104296 0.00730702 -0.358798 -0.000580842 -0.00826688 3.14153
8.48637 -0.0105494 0.00732837 -0.3624 -0.00058378 -0.00821749 3.14153
8.49003 -0.010669 0.00734984 -0.365997 -0.000587037 -0.00816873 3.14153
8.49425 -0.0107884 0.00737141 -0.369588 -0.000590442 -0.0081204 3.14153
8.50085 -0.0109075 0.00739308 -0.373172 -0.000593347 -0.008073 3.14153
8.50451 -0.0110265 0.00741482 -0.37675 -0.000596012 -0.00802735 3.14153
