Time X Y Z Roll Pitch Yaw
8.40414 0.000664279 -0.00374956 0.135912 -0.000249021 0.00909187 -1.57075
8.40788 0.000666748 -0.00380678 0.138922 -0.00025472 0.00903841 -1.57076
8.41195 0.000669271 -0.00386393 0.141961 -0.000260172 0.00898455 -1.57076
8.41644 0.000671837 -0.00392098 0.145029 -0.000266256 0.00892864 -1.57075
8.42026 0.00067444 -0.00397791 0.148125 -0.000271812 0.00887141 -1.57075
8.42396 0.000677086 -0.00403471 0.151247 -0.000276742 0.0088134 -1.57075
8.42787 0.000679791 -0.00409139 0.154394 -0.00028121 0.00875392 -1.57075
8.43245 0.000682577 -0.00414795 0.157567 -0.000286691 0.00869396 -1.57075
8.43653 0.000685435 -0.00420438 0.160763 -0.000292942 0.00863325 -1.57076
8.4403 0.000688348 -0.00426069 0.163982 -0.000299 0.00857181 -1.57076
8.44741 0.000691321 -0.00431687 0.167224 -0.000306233 0.00851015 -1.57075
8.44982 0.000694347 -0.0043729 0.170485 -0.000313765 0.0084491 -1.57075
8.45309 0.000697423 -0.00442876 0.173767 -0.000320448 0.00838811 -1.57075
8.45712 0.00070056 -0.00448442 0.177069 -0.000327885 0.00832577 -1.57075
8.46039 0.000703766 -0.00453987 0.180388 -0.000335933 0.00826161 -1.57075
8.46455 0.00070703 -0.00459508 0.183724 -0.000342847 0.00819515 -1.57075
8.46862 0.000710325 -0.00465003 0.187077 -0.000349565 0.00812587 -1.57076
8.47226 0.00071366 -0.00470472 0.190446 -0.000356564 0.00805464 -1.57076
8.47607 0.000717059 -0.00475918 0.193829 -0.000363089 0.00798229 -1.57076
8.48059 0.000720519 -0.00481339 0.197226 -0.000369243 0.00790832 -1.57076
8.48431 0.000724034 -0.00486735 0.200636 -0.000374674 0.00783403 -1.57075
8.49069 0.000727599 -0.00492107 0.204058 -0.000379987 0.00775987 -1.57075
8.49305 0.000731188 -0.00497452 0.207492 -0.000385699 0.00768609 -1.57075
8.49694 0.000734805 -0.00502769 0.210937 -0.000390892 0.00761406 -1.57075
8.50062 0.00073848 -0.00508057 0.214392 -0.000395647 0.00754303 -1.57075
8.50483 0.000789616 -0.00256434 0.216879 -0.000399957 0.00747183 -1.57075
8.50851 0.000793553 -0.00260961 0.220348 -0.000403661 0.00740089 -1.57075
8.51295 0.000797572 -0.00265453 0.223826 -0.000406884 0.00733015 -1.57075
8.51676 0.000801675 -0.0026991 0.227311 -0.000409599 0.00725871 -1.57075
8.52063 0.000805851 -0.00274333 0.230803 -0.000412213 0.00718733 -1.57075
8.52456 0.000810091 -0.00278721 0.234301 -0.000414291 0.00711551 -1.57075
8.52962 0.000814407 -0.00283071 0.237804 -0.000416224 0.00704319 -1.57075
8.53301 0.000818812 -0.00287383 0.241313 -0.000417867 0.00697173 -1.57075
8.54969 0.000832434 -0.00300091 0.251862 -0.000423558 0.00676401 -1.57076
8.55019 0.000837093 -0.00304248 0.255385 -0.000426007 0.00669757 -1.57076
8.55328 0.00084182 -0.00308362 0.25891 -0.00042801 0.00663216 -1.57076
8.55723 0.000846625 -0.00312431 0.262437 -0.000430519 0.00656807 -1.57076
8.56183 0.000851497 -0.00316453 0.265966 -0.000433414 0.0065054 -1.57076
8.56551 0.000856437 -0.00320429 0.269495 -0.000436516 0.00644314 -1.57076
8.56932 0.000861452 -0.00324359 0.273025 -0.00044044 0.00638172 -1.57076
8.57313 0.000866554 -0.00328241 0.276555 -0.000445057 0.00632216 -1.57076
8.57756 0.000871746 -0.00332075 0.280085 -0.00044916 0.0062651 -1.57076
8.58125 0.000877037 -0.0033586 0.283614 -0.000452676 0.0062104 -1.57076
8.58522 0.000882428 -0.00339596 0.287142 -0.000455276 0.00615872 -1.57076
8.59079 0.000887891 -0.0034328 0.290668 -0.000457724 0.00610951 -1.57076
8.59496 0.000893426 -0.00346912 0.294192 -0.000460926 0.0060612 -1.57076
8.59771 0.000899052 -0.00350488 0.297714 -0.000464166 0.00601562 -1.57076
