experiment,duration_s,n_samples,mean_3d_err_m,rmse_3d_m,max_3d_err_m,final_3d_err_m,rmse_x_m,rmse_y_m,rmse_z_m,ATE_rmse,ATE_mean,ATE_max,map_precision,map_recall,map_f1,map_coverage
corridor_baseline_05,223.2,47775,0.4566,0.5572,1.2657,0.7657,0.5546,0.0296,0.0449,0.5572,0.4566,1.2657,0.0475,0.004,0.0074,0.4
corridor_baseline_1,244.0,42161,0.5044,0.6196,1.3651,0.9264,0.6009,0.1002,0.1128,0.6196,0.5044,1.3651,0.1002,0.0088,0.0162,0.88
corridor_baseline_3,218.8,40728,0.6823,0.8781,1.9654,1.4342,0.8708,0.0637,0.0934,0.8781,0.6823,1.9654,0.0237,0.002,0.0037,0.2
corridor_drop_05,311.1,49069,0.1644,0.2076,0.4841,0.2543,0.1993,0.0375,0.0444,0.2076,0.1644,0.4841,0.0296,0.0027,0.0049,0.27
corridor_drop_1,224.8,40203,0.1951,0.2362,0.5117,0.1591,0.2276,0.0542,0.0324,0.2362,0.1951,0.5117,0.0507,0.0044,0.0081,0.44
corridor_drop_3,185.0,38614,0.2288,0.3977,1.3032,0.8476,0.3899,0.0366,0.0692,0.3977,0.2288,1.3032,0.0621,0.004,0.0075,0.4
corridor_inc_05,327.8,67537,0.2243,0.2878,0.7233,0.5109,0.2751,0.0639,0.0556,0.2878,0.2243,0.7233,0.0508,0.0053,0.0097,0.53
corridor_inc_1,360.5,75692,0.1564,0.1772,0.3351,0.2838,0.1741,0.0293,0.0147,0.1772,0.1564,0.3351,0.0776,0.0075,0.0137,0.75
corridor_inc_3,326.0,54579,0.3739,1.4938,11.1992,11.1992,1.4711,0.2561,0.0416,1.4938,0.3739,11.1992,0.0701,0.007,0.0126,0.7
corridor_potinc_05,407.1,88058,0.056,0.0635,0.1463,0.0885,0.055,0.0253,0.0191,0.0635,0.056,0.1463,0.1206,0.0147,0.0262,1.47
corridor_potinc_1,365.6,81001,0.0921,0.1057,0.2093,0.1457,0.0898,0.0457,0.0318,0.1057,0.0921,0.2093,0.0434,0.0055,0.0097,0.55
corridor_potinc_3,300.4,68861,0.1714,0.2179,0.4174,0.3835,0.1563,0.1455,0.0433,0.2179,0.1714,0.4174,0.0877,0.0071,0.0131,0.71
corridor_swipe_05,333.6,70174,0.1499,0.1836,0.4422,0.1909,0.162,0.0788,0.0356,0.1836,0.1499,0.4422,0.0786,0.0087,0.0156,0.87
corridor_swipe_1,365.2,66825,0.1449,0.1581,0.3258,0.2313,0.1075,0.1066,0.0454,0.1581,0.1449,0.3258,0.0683,0.0075,0.0135,0.75
corridor_swipe_3,253.6,50352,0.2138,0.4625,2.4979,2.2958,0.4567,0.0629,0.0375,0.4625,0.2138,2.4979,0.1139,0.0098,0.018,0.98
